time,open,high,low,close,volume
1576267200,96.729,96.784,96.727,96.757,87.0
1576454400,96.692,96.702,96.667,96.672,51.0
1576468800,96.669,96.672,96.607,96.612,184.0
1576483200,96.614,96.692,96.496,96.632,513.0
1576497600,96.627,96.637,96.492,96.499,352.0
1576512000,96.502,96.657,96.482,96.621,532.0
1576526400,96.619,96.637,96.567,96.604,265.0
1576540800,96.704,96.712,96.677,96.702,69.0
1576555200,96.697,96.697,96.617,96.644,178.0
1576569600,96.642,96.857,96.642,96.727,592.0
1576584000,96.732,96.782,96.572,96.767,614.0
1576598400,96.762,96.789,96.672,96.712,423.0
1576612800,96.707,96.782,96.707,96.712,309.0
1576627200,96.774,96.832,96.772,96.817,78.0
1576641600,96.819,96.887,96.809,96.847,268.0
1576656000,96.852,96.912,96.792,96.849,531.0
1576670400,96.852,97.032,96.819,96.962,452.0
1576684800,96.957,96.987,96.842,96.947,516.0
1576699200,96.949,96.967,96.919,96.957,241.0
1576713600,96.974,96.979,96.914,96.922,79.0
1576728000,96.924,96.927,96.877,96.912,167.0
1576742400,96.917,96.927,96.822,96.839,340.0
1576756800,96.837,97.037,96.797,96.977,703.0
1576771200,96.979,97.047,96.887,96.907,646.0
1576785600,96.902,97.007,96.887,96.966,267.0
1576800000,96.989,97.007,96.982,96.992,48.0
1576814400,96.996,97.027,96.992,96.996,151.0
1576828800,97.002,97.037,96.967,96.972,296.0
1576843200,96.974,97.179,96.962,97.112,533.0
1576857600,97.107,97.312,97.107,97.309,422.0
1576872000,97.312,97.337,97.244,97.259,194.0
1577059200,97.269,97.274,97.246,97.252,40.0
1577073600,97.249,97.272,97.222,97.237,186.0
1577088000,97.232,97.246,97.162,97.212,301.0
1577102400,97.214,97.397,97.207,97.322,438.0
1577116800,97.327,97.347,97.212,97.257,481.0
1577131200,97.259,97.292,97.212,97.244,222.0
1577145600,97.259,97.282,97.246,97.277,55.0
1577160000,97.274,97.287,97.262,97.272,132.0
1577174400,97.277,97.352,97.262,97.352,277.0
1577188800,97.357,97.382,97.269,97.317,356.0
1577203200,97.322,97.322,97.187,97.232,319.0
1577217600,97.229,97.254,97.222,97.254,40.0
1577318400,97.242,97.242,97.187,97.197,66.0
1577332800,97.199,97.222,97.182,97.207,163.0
1577347200,97.212,97.227,97.182,97.212,138.0
1577361600,97.207,97.282,97.167,97.182,291.0
1577376000,97.184,97.227,97.097,97.117,341.0
1577390400,97.114,97.167,97.062,97.159,250.0
1577404800,97.144,97.152,97.092,97.112,89.0
1577419200,97.114,97.114,97.012,97.032,199.0
