time,open,high,low,close,volume
1274227200,1.22027,1.243,1.2149,1.2422,35123.0
1274313600,1.2421,1.25969,1.22957,1.24683,43592.0
1274400000,1.2471,1.26711,1.24628,1.25712,61466.0
1274659200,1.25461,1.25622,1.23316,1.2344,51026.0
1274745600,1.23491,1.23877,1.21776,1.23704,51934.0
1274832000,1.23709,1.23709,1.21537,1.21609,49658.0
1274918400,1.21615,1.23937,1.21534,1.23563,58782.0
1275004800,1.23565,1.24518,1.22651,1.2272,54622.0
1275264000,1.22807,1.23341,1.22665,1.2308,34834.0
1275350400,1.23061,1.23487,1.21107,1.22115,66264.0
1275436800,1.22113,1.22726,1.21749,1.22492,61439.0
1275523200,1.22494,1.23252,1.2152,1.21614,55593.0
1275609600,1.21616,1.2215,1.19551,1.19671,54110.0
1275868800,1.1946,1.19907,1.18758,1.19166,63132.0
1275955200,1.19165,1.2008,1.19022,1.1964,63108.0
1276041600,1.19636,1.20724,1.19236,1.1984,55570.0
1276128000,1.19834,1.21411,1.19565,1.21081,63926.0
1276214400,1.21074,1.21521,1.20452,1.21112,70668.0
1276473600,1.21188,1.22975,1.21155,1.2213,50129.0
1276560000,1.22135,1.2349,1.21679,1.23228,91751.0
1276646400,1.23222,1.23525,1.22552,1.22989,43868.0
1276732800,1.22985,1.24095,1.22422,1.23794,46359.0
1276819200,1.23794,1.24156,1.23529,1.23875,38601.0
1277078400,1.24291,1.24664,1.23038,1.23232,50850.0
1277164800,1.23239,1.23531,1.22521,1.22674,45172.0
1277251200,1.22673,1.23431,1.2209,1.23102,33229.0
1277337600,1.231,1.23869,1.22614,1.23276,48903.0
1277424000,1.23276,1.23942,1.22538,1.23681,39618.0
1277683200,1.23781,1.23966,1.22651,1.22803,41553.0
1277769600,1.22805,1.22902,1.21495,1.21886,40938.0
1277856000,1.21898,1.23038,1.21662,1.22302,50649.0
1277942400,1.223,1.25328,1.2193,1.25163,54000.0
1278028800,1.25163,1.26106,1.24824,1.25655,47050.0
1278288000,1.25558,1.25619,1.251,1.2538,23183.0
1278374400,1.2538,1.26623,1.24796,1.26261,46452.0
1278460800,1.26261,1.2663,1.25531,1.26316,43825.0
1278547200,1.26312,1.27105,1.26199,1.26931,41556.0
1278633600,1.26924,1.27218,1.26085,1.26404,34626.0
1278892800,1.26413,1.26463,1.25506,1.25887,33112.0
1278979200,1.25889,1.27381,1.25219,1.27265,111442.0
1279065600,1.27271,1.27768,1.26822,1.27414,39982.0
1279152000,1.27411,1.2954,1.27092,1.2931,77992.0
1279238400,1.29321,1.30063,1.28894,1.29296,46349.0
1279497600,1.2904,1.29908,1.28711,1.29472,37159.0
1279584000,1.29465,1.30275,1.28389,1.28911,42661.0
1279670400,1.2891,1.29123,1.27318,1.27528,43357.0
1279756800,1.27529,1.29302,1.27368,1.28865,44411.0
1279843200,1.28868,1.29642,1.27932,1.29086,45808.0
1280102400,1.2894,1.30046,1.28761,1.29865,40074.0
1280188800,1.29869,1.30453,1.29516,1.30001,42808.0
1280275200,1.29995,1.30412,1.29662,1.29868,42164.0
1280361600,1.2988,1.3106,1.29774,1.30795,40083.0
1280448000,1.30798,1.3093,1.29802,1.30504,41809.0
1280707200,1.30596,1.31945,1.30533,1.31753,35275.0
1280793600,1.31741,1.3261,1.31464,1.3226,35605.0
1280880000,1.32258,1.32382,1.31308,1.31538,34858.0
1280966400,1.31542,1.32344,1.31186,1.31841,35801.0
1281052800,1.31844,1.33327,1.31573,1.32781,34237.0
1281312000,1.3288,1.3307,1.32163,1.32242,26966.0
1281398400,1.32242,1.32306,1.30742,1.31745,40183.0
1281484800,1.31745,1.3186,1.28299,1.28447,47859.0
1281571200,1.28442,1.2932,1.27805,1.28269,44967.0
1281657600,1.28263,1.29052,1.27494,1.27531,41520.0
1281916800,1.2765,1.28705,1.27336,1.28219,38714.0
1282003200,1.28211,1.29152,1.28038,1.28787,41361.0
1282089600,1.28787,1.29214,1.28233,1.28518,38743.0
1282176000,1.28522,1.29021,1.27721,1.28152,46086.0
1282262400,1.28171,1.28315,1.26634,1.27105,41117.0
1282521600,1.2705,1.27287,1.26458,1.26461,36582.0
1282608000,1.26484,1.27157,1.25874,1.26307,45831.0
1282694400,1.26317,1.27254,1.2609,1.2663,44508.0
1282780800,1.26632,1.27634,1.26501,1.27161,44506.0
1282867200,1.27159,1.27778,1.2681,1.27617,39015.0
1283126400,1.27641,1.27647,1.26585,1.26631,30703.0
1283212800,1.2663,1.27422,1.2625,1.26889,42040.0
1283299200,1.26892,1.28546,1.2663,1.28026,34286.0
1283385600,1.2801,1.28474,1.27764,1.28251,29145.0
1283472000,1.28246,1.28969,1.28082,1.28951,26054.0
1283731200,1.28934,1.29167,1.28666,1.2875,17840.0
1283817600,1.28747,1.28757,1.26767,1.26821,34184.0
1283904000,1.26831,1.27624,1.26588,1.27234,40664.0
