time,open,high,low,close,volume
1274241600,1.22027,1.22237,1.2183,1.21925,7046.0
1274256000,1.21924,1.22276,1.2149,1.21816,16708.0
1274270400,1.2182,1.2327,1.2164,1.2318,4544.0
1274284800,1.2319,1.2396,1.2259,1.2379,4198.0
1274299200,1.238,1.243,1.236,1.2422,2627.0
1274313600,1.2421,1.2421,1.2322,1.2328,1640.0
1274328000,1.2327,1.237,1.2325,1.2342,2013.0
1274342400,1.2343,1.2436,1.2329,1.23629,4601.0
1274356800,1.23616,1.23886,1.23071,1.23426,13359.0
1274371200,1.23381,1.25089,1.22957,1.24945,11677.0
1274385600,1.24925,1.25969,1.2455,1.24683,10302.0
1274400000,1.2471,1.25728,1.24628,1.25646,9775.0
1274414400,1.25651,1.26711,1.25581,1.26166,11461.0
1274428800,1.26174,1.26176,1.24712,1.25094,12707.0
1274443200,1.25104,1.25805,1.24846,1.25649,10749.0
1274457600,1.25652,1.25966,1.25181,1.25942,10582.0
1274472000,1.2594,1.25964,1.25563,1.25712,6192.0
1274659200,1.25461,1.25622,1.24803,1.25052,6786.0
1274673600,1.25054,1.25245,1.24816,1.24942,6326.0
1274688000,1.24946,1.25205,1.23989,1.2401,10628.0
1274702400,1.24009,1.2401,1.23503,1.23664,11136.0
1274716800,1.23685,1.24157,1.23476,1.24079,10355.0
1274731200,1.24076,1.24108,1.23316,1.2344,5795.0
1274745600,1.23491,1.23535,1.22828,1.23139,6307.0
1274760000,1.23142,1.2322,1.22706,1.2293,6981.0
1274774400,1.22928,1.23002,1.21919,1.21929,13092.0
1274788800,1.21927,1.22366,1.21776,1.22322,9858.0
1274803200,1.22349,1.2293,1.22227,1.2273,7782.0
1274817600,1.22729,1.23877,1.22612,1.23704,7914.0
1274832000,1.23709,1.23709,1.22708,1.22822,7782.0
1274846400,1.22805,1.23106,1.22623,1.22714,7426.0
1274860800,1.22718,1.23432,1.22678,1.23195,8698.0
1274875200,1.23197,1.23292,1.22472,1.22694,8249.0
1274889600,1.22709,1.22712,1.21924,1.22375,7960.0
1274904000,1.22373,1.22381,1.21537,1.21609,9543.0
1274918400,1.21615,1.22207,1.21534,1.219,7123.0
