signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
106,107,113,long,1362.85,1355.0676827954774,loss,-81.12317204522542,77.82317204522494,6
125,126,133,long,1371.8,1383.1684343510872,win,110.38434351087217,75.78956234058205,7
150,151,154,long,1411.0,1403.5863796801516,loss,-77.43620319848405,74.13620319848317,3
166,167,172,long,1432.65,1424.988208769692,loss,-79.91791230308154,76.61791230308067,5
193,194,194,short,1406.05,1414.0511845554017,loss,-83.31184555401778,80.01184555401689,0
205,206,209,short,1394.8,1403.3606463496324,loss,-88.90646349632406,85.60646349632486,3
217,218,221,long,1417.4,1430.1767050489964,win,124.46705048996292,85.1780336599746,3
241,242,252,short,1422.75,1431.0729023119245,loss,-86.52902311924508,83.2290231192462,10
253,254,257,long,1436.45,1428.1357045833486,loss,-86.44295416651475,83.14295416651476,3
266,267,276,long,1456.3,1468.8144232114178,win,121.84423211417807,83.42948807611869,9
276,277,282,long,1469.3,1461.048560031754,loss,-85.81439968245904,82.51439968245849,5
295,296,297,long,1474.1,1486.5881535084932,win,121.5815350849327,83.25435672328794,1
327,328,333,long,1526.45,1539.234543816905,win,124.54543816904943,85.23029211269905,5
346,347,349,short,1515.1,1500.5187211358682,win,142.51278864131717,97.20852576087798,2
394,395,401,long,1510.2,1526.3807706601194,win,158.50770660119377,107.87180440079653,6
437,438,438,long,1552.6,1542.7764511859132,loss,-101.53548814086734,98.23548814086824,0
455,456,458,short,1530.1,1515.7149816567999,win,140.55018343200044,95.90012228800093,2
474,475,485,long,1540.05,1554.3133539025214,win,139.3335390252143,95.08902601680934,10
485,486,486,long,1555.55,1546.3638273717509,loss,-95.16172628249096,91.8617262824904,0
490,491,493,short,1522.5,1508.4563628453473,win,137.1363715465274,93.62424769768566,2
514,515,515,short,1583.8,1592.9712350426,loss,-95.01235042600074,91.7123504260014,0
516,517,524,long,1585.9,1601.1723886978787,win,149.42388697878567,101.81592465252396,7
569,570,576,long,1661.0,1676.2846951846445,win,149.54695184644532,101.89796789763002,6
583,584,584,long,1707.65,1696.5649458548146,loss,-114.15054145185495,110.85054145185433,0
