signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
2218,2219,2219,long,1335.15,1341.231773482764,win,57.51773482763993,40.54515655175932,0
2685,2686,2780,long,1350.8,1346.8572577315126,loss,-42.72742268487336,39.42742268487344,94
2986,2987,2997,long,1355.3,1352.8705128463173,loss,-27.594871536826577,24.294871536826744,10
3019,3020,3025,long,1361.85,1366.3314246985874,win,41.51424698587489,29.87616465725066,5
3484,3485,3487,long,1364.6,1362.0031724547139,loss,-29.268275452860326,25.968275452859285,2
3576,3577,3590,long,1372.15,1375.5359435609448,win,30.559435609447245,22.572957072964098,13
3961,3962,3963,long,1390.25,1387.746908063765,loss,-28.330919362350233,25.030919362350982,1
4277,4278,4286,long,1411.4,1415.769729439572,win,40.39729439571984,29.131529597145967,8
5085,5086,5118,long,1428.95,1434.024584833823,win,47.44584833822883,33.83056555881892,32
6544,6545,6557,long,1432.65,1430.3080087039923,loss,-26.71991296007791,23.419912960076797,12
6683,6684,6688,long,1445.65,1443.0041473603105,loss,-29.75852639689565,26.458526396895795,4
7128,7129,7131,long,1427.4,1424.8157199396876,loss,-29.142800603124943,25.84280060312385,2
7605,7606,7610,long,1448.3,1452.8353684815108,win,42.053684815108866,30.235789876738778,4
7890,7891,7920,long,1465.45,1469.574487365722,win,37.94487365721962,27.496582438146028,29
8533,8534,8621,long,1486.2,1482.8407651570994,loss,-36.89234842900605,33.59234842900542,87
9028,9029,9056,long,1512.5,1517.1372728832523,win,43.07272883252308,30.915152555015705,27
9352,9353,9354,long,1522.65,1519.1532686532973,loss,-38.26731346702745,34.967313467027196,1
9585,9586,9588,long,1560.7,1566.0276510889023,win,49.97651088902258,35.51767392601435,2
11314,11315,11319,long,1513.0,1508.975372056378,loss,-43.54627943621908,40.24627943621878,4
12215,12216,12220,long,1548.6,1545.8327617611099,loss,-30.972382388900588,27.67238238889992,4
12441,12442,12444,long,1539.75,1535.9483060829286,loss,-41.31693917071361,38.01693917071257,2
12564,12565,12569,long,1552.9,1549.7155517450578,loss,-35.144482549422534,31.84448254942189,4
12905,12906,12910,long,1537.05,1541.160687809136,win,37.806878091361526,27.404585394241703,4
12911,12912,12912,long,1544.3,1548.5885842987864,win,39.58584298786418,28.59056199190909,0
13600,13601,13605,long,1535.3,1539.7448001306202,win,41.14800130620252,29.63200087080211,4
13947,13948,13958,long,1555.25,1552.983162757531,loss,-25.968372424689097,22.668372424690126,10
14794,14795,14800,long,1583.9,1591.6268407810494,win,73.96840781049305,51.51227187366171,5
15512,15513,15520,long,1601.15,1606.0853180105037,win,46.05318010503579,32.90212007002328,7
16094,16095,16095,long,1624.55,1629.2616556407017,win,43.81655640701793,31.41103760467803,0
16556,16557,16558,long,1672.1,1678.9720271467004,win,65.42027146700475,45.813514311335986,1
16716,16717,16739,long,1686.3,1697.5657371780746,win,109.35737178074687,75.10491452049834,22
17386,17387,17404,long,1753.75,1765.0296987105282,win,109.49698710528237,75.19799140352102,17
17705,17706,17708,long,1807.0,1813.2183567963637,win,58.88356796363651,41.45571197575743,2
18445,18446,18460,long,1825.35,1813.150717502655,loss,-125.29282497344938,121.99282497344946,14
18639,18640,18644,long,1824.7,1816.4521465400207,loss,-85.77853459979296,82.4785345997927,4
18961,18962,18963,long,1853.9,1848.5686178696167,loss,-56.61382130383417,53.313821303834324,1
21377,21378,21408,long,1656.85,1648.1382862944874,loss,-90.41713705512466,87.11713705512531,30
22535,22536,22541,long,1691.8,1686.8748455368989,loss,-52.5515446310108,49.25154463101149,5
23022,23023,23030,long,1642.35,1635.4881472730556,loss,-71.91852726944335,68.61852726944346,7
23263,23264,23267,long,1684.0,1693.4662931399405,win,91.3629313994049,63.10862093293622,3
23502,23503,23568,long,1743.55,1735.9720881888836,loss,-79.07911811116337,75.7791181111634,65
24055,24056,24059,long,1752.15,1763.3264788646252,win,108.46478864625097,74.50985909750128,3
24231,24232,24279,long,1765.85,1774.75996481729,win,85.79964817290075,59.399765448600284,47
24760,24761,24821,long,1786.9,1780.3635367052573,loss,-68.66463294742816,65.36463294742754,60
26210,26211,26211,long,1748.1,1742.1703115679077,loss,-62.59688432092234,59.296884320921706,0
26420,26421,26435,long,1752.2,1759.098495737302,win,65.68495737302028,45.98997158201368,14
29844,29845,29857,long,1653.06,1658.116544055333,win,47.265440553330066,33.7102937022206,12
30624,30625,30626,long,1700.94,1696.1266226483683,loss,-51.43377351631743,48.13377351631812,1
31161,31162,31172,long,1744.29,1750.4255084322476,win,58.05508432247662,40.90338954831724,10
31307,31308,31309,long,1759.7,1755.399472880696,loss,-46.305271193039786,43.00527119304077,1
31655,31656,31659,long,1737.22,1744.6329512337418,win,70.82951233741751,49.41967489161146,3
31878,31879,31890,long,1743.6,1738.6162968695317,loss,-53.137031304682566,49.837031304683364,11
32758,32759,32766,long,1741.72,1738.7996700889544,loss,-32.50329911045655,29.203299110456808,7
32804,32805,32828,long,1754.71,1759.8996868979411,win,48.59686897941101,34.59791265294015,23
32935,32936,32938,long,1771.49,1776.9976488357204,win,51.776488357203746,36.71765890480254,2
34174,34175,34189,long,1700.8,1697.0663910415967,loss,-40.636089584032376,37.33608958403151,14
34793,34794,34806,long,1661.61,1656.2474272617176,loss,-56.92572738282324,53.625727382823214,12
35571,35572,35577,long,1679.89,1685.98016806079,win,57.60168060789893,40.60112040526526,5
36163,36164,36170,long,1682.55,1679.1409940387143,loss,-37.39005961285629,34.090059612855924,6
36550,36551,36560,long,1644.2,1640.1277356778412,loss,-44.02264322158844,40.72264322158946,9
36684,36685,36707,long,1651.17,1647.718506830799,loss,-37.814931692010575,34.51493169201136,22
36981,36982,36992,long,1672.15,1677.7973830806616,win,53.173830806614845,37.64922053774356,10
37566,37567,37570,long,1645.13,1640.963911787844,loss,-44.96088212156182,41.660882121562665,3
38252,38253,38253,long,1664.68,1661.5216310959845,loss,-34.8836890401556,31.583689040156518,0
39877,39878,39882,long,1571.76,1579.792898623353,win,77.02898623353049,53.552657489020504,4
40920,40921,41018,long,1563.7,1571.595689003895,win,75.65689003894859,52.63792669263212,97
41134,41135,41135,long,1601.97,1595.8704983006141,loss,-64.29501699385882,60.99501699385972,0
41422,41423,41455,long,1626.92,1633.2557529756666,win,60.057529756665375,42.238353171110184,32
41952,41953,41959,long,1604.62,1611.690655000238,win,67.40655000238048,47.13770000158695,6
42219,42220,42295,long,1623.35,1629.868244548483,win,61.882445484831536,43.4549636565545,75
43013,43014,43110,long,1582.91,1578.786590549972,loss,-44.534094500280204,41.23409450028,96
44244,44245,44255,long,1593.9,1598.344738274159,win,41.147382741589084,29.63158849439314,10
45650,45651,45652,long,1620.66,1617.2017344475942,loss,-37.88265552405919,34.58265552405999,1
46950,46951,46995,long,1622.32,1619.245907194967,loss,-34.04092805032933,30.740928050329195,44
47415,47416,47441,long,1616.55,1613.7369059447024,loss,-31.430940552975972,28.130940552976888,25
47754,47755,47758,long,1637.12,1640.8076139300863,win,33.576139300864,24.584092867242244,3
47900,47901,47926,long,1653.77,1658.5301650317513,win,44.30165031751285,31.734433545007903,25
