signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
207,208,208,short,1351.05,1360.5235123051148,loss,-98.03512305114809,94.735123051149,0
217,218,247,short,1361.8,1371.161385690377,loss,-96.91385690377119,93.6138569037723,29
255,256,258,short,1372.7,1381.2794811355732,loss,-89.09481135573132,85.7948113557302,2
285,286,296,short,1399.85,1407.9610905768943,loss,-84.41090576894412,81.11090576894424,10
297,298,303,short,1408.7,1416.9876389914448,loss,-86.17638991444737,82.87638991444705,5
304,305,306,short,1410.75,1398.337976791525,win,120.82023208474921,82.74682138983222,1
321,322,325,short,1406.3,1414.9473758968281,loss,-89.7737589682818,86.47375896828181,3
337,338,343,short,1431.8,1418.9485903914144,win,125.21409608585527,85.67606405723743,5
360,361,383,short,1431.45,1418.05417031301,win,130.65829686990054,89.30553124660076,22
492,493,495,short,1416.6,1425.6505656930046,loss,-93.80565693004728,90.50565693004626,2
526,527,528,short,1432.65,1441.5125678673476,loss,-91.92567867347479,88.62567867347435,1
539,540,544,short,1455.7,1464.6007629356134,loss,-92.30762935613329,89.00762935613406,4
558,559,564,short,1467.7,1454.5472661326583,win,128.22733867341793,87.68489244894553,5
576,577,584,short,1455.9,1464.8640865411692,loss,-92.94086541169081,89.6408654116903,7
592,593,600,short,1486.4,1495.4986557796562,loss,-94.28655779656155,90.98655779656175,7
606,607,614,short,1495.15,1504.0613510554977,loss,-92.41351055497562,89.11351055497585,7
617,618,620,short,1498.85,1507.7232748840606,loss,-92.0327488406072,88.7327488406067,2
623,624,627,short,1503.05,1511.8495305437432,loss,-91.2953054374323,87.99530543743302,3
633,634,636,short,1510.2,1496.8725363650694,win,129.97463634930608,88.84975756620479,2
649,650,654,short,1524.75,1533.8676283745167,loss,-94.47628374516698,91.176283745166,4
673,674,675,short,1555.35,1539.797241175802,win,152.22758824198007,103.68505882798678,1
814,815,824,short,1521.8,1532.8259400777015,loss,-113.55940077701534,110.25940077701611,9
835,836,847,short,1536.85,1547.0461752130998,loss,-105.26175213099877,101.96175213099802,11
852,853,855,short,1539.7,1524.7474094683653,win,146.22590531634768,99.68393687756549,2
871,872,879,short,1552.6,1537.5800570856425,win,146.89942914357442,100.13295276238246,7
901,902,902,short,1541.2,1526.9931351735765,win,138.76864826423497,94.71243217615665,0
970,971,974,short,1547.65,1534.3897314436904,win,129.3026855630971,88.40179037539772,3
1051,1052,1053,short,1600.95,1585.606392100629,win,150.13607899371135,102.29071932914138,1
1067,1068,1079,short,1597.5,1607.9307181410588,loss,-107.60718141058832,104.30718141058854,11
1085,1086,1096,short,1612.9,1623.4635181346257,loss,-108.9351813462561,105.63518134625534,10
1101,1102,1115,short,1614.0,1624.3331538266507,loss,-106.63153826650687,103.33153826650741,13
1119,1120,1124,short,1610.55,1620.9761753343855,loss,-107.56175334385561,104.26175334385657,4
1128,1129,1131,short,1620.15,1630.619879209811,loss,-107.9987920981087,104.69879209810813,2
1142,1143,1147,short,1660.15,1671.248674289577,loss,-114.2867428957682,110.98674289576766,4
1174,1175,1175,short,1742.4,1758.9987624576713,loss,-169.2876245767123,165.98762457671154,0
1176,1177,1180,short,1756.2,1773.0677570847636,loss,-171.97757084763526,168.67757084763494,3
1181,1182,1182,short,1774.65,1792.4821675348055,loss,-181.62167534805423,178.32167534805313,0
1185,1186,1189,short,1777.6,1749.8735488208715,win,273.9645117912839,184.8430078608552,3
1219,1220,1227,short,1783.2,1802.444419226576,loss,-195.7441922657593,192.4441922657583,7
1240,1241,1241,short,1870.05,1889.7076493061957,loss,-199.8764930619571,196.57649306195634,0
1243,1244,1244,short,1863.3,1883.4124651891523,loss,-204.42465189152318,201.12465189152317,0
1250,1251,1253,short,1883.05,1852.1399069051724,win,305.80093094827515,206.0672872988494,2
1329,1330,1336,short,1893.1,1857.5916388580997,win,351.78361141900194,236.72240761266727,6
1354,1355,1356,short,1842.05,1867.6653766649804,loss,-259.4537666498043,256.15376664980437,1
1563,1564,1570,short,1678.9,1643.249461694678,win,353.20538305322015,237.67025536881408,6
1634,1635,1639,short,1739.25,1707.6784646922215,win,312.415353077785,210.47690205185683,4
1639,1640,1657,short,1711.3,1732.3679248735068,loss,-213.97924873506855,210.67924873506763,17
1665,1666,1666,short,1735.05,1755.6571363379257,loss,-209.37136337925796,206.07136337925715,0
1675,1676,1682,short,1753.2,1773.6437430193641,loss,-207.73743019364093,204.4374301936402,6
1693,1694,1703,short,1784.75,1755.3732052252642,win,290.467947747358,195.84529849823855,9
1721,1722,1746,short,1779.4,1750.2565744177696,win,288.1342558223052,194.28950388153652,24
1863,1864,1864,short,1736.5,1752.7695129468384,loss,-165.99512946838405,162.69512946838424,0
2052,2053,2069,short,1643.25,1657.873240198401,loss,-149.53240198400937,146.23240198400853,16
2074,2075,2085,short,1651.7,1665.6043105070464,loss,-142.34310507046376,139.0431050704628,10
2088,2089,2101,short,1657.43,1671.2119336054755,loss,-141.1193360547539,137.81933605475325,12
2109,2110,2119,short,1672.79,1652.9072736587616,win,195.52726341238366,132.55150894158922,9
