signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
108,109,140,long,1418.3,1420.9810271914012,win,23.51027191401199,26.810271914012766,31
140,141,166,long,1420.95,1423.1765304278922,win,18.965304278921575,22.26530427892268,25
172,173,173,long,1422.7,1420.657096809183,loss,-23.729031908170146,20.42903190817073,0
209,210,233,long,1419.35,1421.8208985959084,win,21.408985959084657,24.708985959084927,23
243,244,253,long,1416.4,1413.9602237922006,loss,-27.697762077994685,24.397762077995345,9
253,254,385,long,1415.15,1412.7119936948466,loss,-27.680063051535218,24.3800630515363,131
394,395,401,long,1409.8,1408.1192483594273,loss,-20.107516405726802,16.807516405726137,6
403,404,408,long,1407.75,1406.0169326501145,loss,-20.630673498854595,17.330673498854257,4
430,431,435,long,1406.1,1407.8506401896082,win,14.206401896082479,17.506401896082334,4
436,437,449,long,1407.7,1405.9828267557518,loss,-20.471732442482153,17.171732442481538,12
455,456,465,long,1395.4,1393.3553292149888,loss,-23.74670785011249,20.44670785011346,9
467,468,469,long,1386.65,1388.866001864004,win,18.860018640038287,22.16001864003859,1
471,472,474,long,1388.55,1386.2698093982854,loss,-26.10190601714594,22.801906017146695,2
474,475,475,long,1387.25,1384.9541313393468,loss,-26.25868660653241,22.958686606531383,0
477,478,479,long,1382.9,1385.2858058655631,win,20.55805865563043,23.858058655630842,1
504,505,508,long,1376.5,1379.1390812701213,win,23.090812701213235,26.390812701213626,3
515,516,522,long,1377.55,1380.1930123558234,win,23.1301235582343,26.43012355823521,6
536,537,556,long,1380.25,1382.7456739090135,win,21.65673909013476,24.956739090133844,19
561,562,567,long,1382.3,1384.492843379065,win,18.628433790651524,21.928433790652292,5
569,570,588,long,1382.6,1380.3989969672025,loss,-25.310030327974165,22.01003032797366,18
589,590,591,long,1379.6,1377.469551193776,loss,-24.60448806223967,21.30448806223913,1
591,592,595,long,1378.45,1380.59877287498,win,18.18772874980068,21.48772874980056,3
598,599,608,long,1381.05,1383.1932010244082,win,18.132010244081993,21.43201024408203,9
627,628,655,long,1383.1,1381.0553276719713,loss,-23.746723280285824,20.446723280285955,27
655,656,660,long,1382.05,1383.858857386524,win,14.78857386524096,18.088573865240694,4
672,673,682,long,1381.4,1383.21148432984,win,14.814843298399136,18.11484329839879,9
700,701,714,long,1379.75,1381.6075259842837,win,15.275259842837112,18.575259842837916,13
716,717,721,long,1380.15,1378.219289815707,loss,-22.60710184293048,19.307101842929686,4
722,723,723,long,1377.0,1378.9938810939561,win,16.638810939561335,19.938810939561808,0
750,751,761,long,1368.95,1371.6695418704226,win,23.895418704225175,27.195418704226057,10
778,779,784,long,1377.35,1374.6271719404638,loss,-30.528280595361412,27.228280595360616,5
785,786,789,long,1374.95,1372.175879904936,loss,-31.041200950640633,27.741200950640103,3
828,829,838,long,1377.8,1375.3624258678756,loss,-27.675741321243823,24.37574132124442,9
838,839,850,long,1374.65,1376.9747465684757,win,19.947465684755752,23.247465684754953,11
859,860,931,long,1375.45,1377.6409631928414,win,18.60963192841309,21.909631928413226,71
934,935,937,long,1379.55,1377.9025016401972,loss,-19.774983598027394,16.474983598027823,2
980,981,995,long,1373.15,1371.4230929854255,loss,-20.569070145746355,17.269070145747033,14
1004,1005,1007,long,1368.4,1370.28987648094,win,15.598764809398471,18.898764809399466,2
1008,1009,1014,long,1370.95,1372.9604961529838,win,16.804961529837055,20.10496152983751,5
1021,1022,1025,long,1369.4,1367.1195132543855,loss,-26.10486745614553,22.80486745614628,3
1050,1051,1065,long,1373.15,1370.2842477814054,loss,-31.957522185947074,28.657522185947663,14
1070,1071,1122,long,1372.5,1369.6875024085975,loss,-31.424975914024618,28.124975914024972,51
1126,1127,1137,long,1369.5,1367.2187011113015,loss,-26.112988886985296,22.812988886984822,10
1137,1138,1151,long,1368.0,1370.2608689383437,win,19.308689383437194,22.60868938343794,13
1158,1159,1197,long,1370.1,1368.0231057462981,loss,-24.068942537017666,20.768942537016798,38
1229,1230,1235,long,1362.95,1361.111898641296,loss,-21.6810135870408,18.381013587041664,5
1241,1242,1246,long,1358.8,1356.9031683984085,loss,-22.268316015914298,18.968316015913338,4
1246,1247,1252,long,1357.15,1359.0469958846593,win,15.669958846591907,18.969958846592345,5
1267,1268,1282,long,1358.55,1356.686662448445,loss,-21.93337551554878,18.63337551554825,14
1287,1288,1288,long,1363.2,1365.6586198084863,win,21.28619808486219,24.586198084861696,0
1298,1299,1300,long,1368.3,1365.5635581570084,loss,-30.664418429915532,27.364418429915826,1
1322,1323,1333,long,1370.95,1367.796028232694,loss,-34.83971767306075,31.53971767306002,10
1333,1334,1388,long,1368.15,1371.350939206903,win,28.709392069028308,32.00939206902868,54
1390,1391,1393,long,1372.45,1369.935227682379,loss,-28.447723176210093,25.14772317620946,2
1407,1408,1418,long,1370.0,1372.515513562778,win,21.855135627780964,25.155135627781945,10
1424,1425,1511,long,1374.05,1371.6768813377223,loss,-27.031186622776477,23.73118662277654,86
1517,1518,1523,long,1370.9,1369.0717895769117,loss,-21.582104230884216,18.282104230883387,5
1527,1528,1532,long,1367.65,1369.4886061493778,win,15.086061493777105,18.38606149377784,4
1565,1566,1569,long,1371.9,1373.9019511649717,win,16.71951164971615,20.019511649715998,3
1574,1575,1576,long,1368.45,1366.2878859098175,loss,-24.92114090182513,21.621140901825648,1
1576,1577,1578,long,1368.0,1365.815071980212,loss,-25.149280197880035,21.849280197879306,1
1582,1583,1584,long,1369.25,1371.5366655792259,win,19.566655792258825,22.866655792259667,1
1587,1588,1588,long,1371.6,1369.2541816222072,loss,-26.75818377792739,23.458183777927232,0
1591,1592,1599,long,1369.45,1371.8606435218924,win,20.80643521892325,24.10643521892358,7
1602,1603,1605,long,1371.8,1369.386554125211,loss,-27.434458747889767,24.134458747889735,2
1606,1607,1610,long,1370.8,1373.2435665556732,win,21.135665556732146,24.435665556732467,3
