signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
606,607,607,long,1350.55,1351.3751225564795,win,4.951225564795277,5.500817043197071,0
3023,3024,3024,long,1500.85,1500.3453610116057,loss,-8.34638988394163,5.04638988394211,0
3032,3033,3033,long,1500.45,1501.18398055224,win,4.039805522399274,4.893203681599466,0
3910,3911,3911,long,1851.7,1853.6971575757218,win,16.67157575721758,13.314383838145467,0
4520,4521,4521,long,1651.1,1653.2985761843152,win,18.68576184315243,14.6571745621018,0
4795,4796,4796,long,1701.4,1700.3282891802723,loss,-14.017108197277413,10.717108197277607,0
7828,7829,7829,long,1653.54,1653.0011718850185,loss,-8.688281149814703,5.388281149815172,0
13187,13188,13188,long,1602.15,1602.8693556718422,win,3.8935567184209505,4.79570447894723,0
16656,16657,16657,long,1350.25,1349.6717732920995,loss,-9.082267079005124,5.782267079005067,0
19538,19539,19539,long,1300.97,1300.4970609390818,loss,-8.029390609181792,4.729390609180972,0
19540,19541,19541,long,1300.36,1301.0650291354086,win,3.7502913540872216,4.700194236058271,0
19832,19833,19833,long,1304.43,1304.0052440413972,loss,-7.547559586028728,4.247559586027813,0
22981,22982,22982,long,1200.49,1201.484564230436,win,6.645642304360263,6.630428202906273,0
23567,23568,23568,long,1200.55,1200.0264561388265,loss,-8.535438611734936,5.23543861173438,0
26298,26299,26299,long,1200.49,1201.0701372922022,win,2.5013729220215284,3.8675819480137346,0
29562,29563,29563,long,1101.13,1100.7354840647615,loss,-7.245159352385872,3.9451593523851978,0
29602,29603,29603,long,1100.07,1099.637748570319,loss,-7.622514296809459,4.3225142968089445,0
29774,29775,29775,long,1100.63,1100.1851056779694,loss,-7.748943220306773,4.448943220307444,0
30735,30736,30736,long,1255.35,1254.700811130936,loss,-9.791888690638917,6.49188869063879,0
37585,37586,37586,long,1253.18,1252.8015722164737,loss,-7.084277835263765,3.7842778352634445,0
38538,38539,38539,long,1251.21,1251.6257799454418,win,0.8577994544172727,2.771866302944587,0
41529,41530,41530,long,1350.34,1349.8883369415692,loss,-7.816630584307677,4.516630584307428,0
44906,44907,44907,long,1201.94,1201.5906796689424,loss,-6.793203310576973,3.493203310576568,0
49405,49406,49406,long,1405.19,1404.590984136828,loss,-9.290158631720988,5.9901586317219095,0
49489,49490,49490,long,1402.96,1403.9622897680772,win,6.722897680771621,6.681931787181506,0
54540,54541,54541,long,1701.29,1700.3923582653354,loss,-12.276417346646031,8.976417346645572,0
55822,55823,55823,long,1956.13,1955.068153091599,loss,-13.91846908401094,10.61846908401183,0
55825,55826,55826,long,1950.62,1949.553449193125,loss,-13.965508068748296,10.665508068747592,0
56211,56212,56212,long,1950.85,1949.3132114095883,loss,-18.66788590411561,15.367885904115795,0
57267,57268,57268,long,1901.63,1900.9233333027876,loss,-10.366666972125405,7.066666972124304,0
57430,57431,57431,long,1902.36,1901.5063363083636,loss,-11.836636916362568,8.536636916361466,0
57479,57480,57480,long,1953.58,1952.6832306443173,loss,-12.267693556826362,8.967693556827347,0
58688,58689,58689,long,1855.85,1855.0268244040553,loss,-11.531755959445764,8.231755959446428,0
58788,58789,58789,long,1852.04,1851.1660712413384,loss,-12.039287586615774,8.739287586616749,0
59545,59546,59546,long,1754.38,1753.6281791247934,loss,-10.81820875206704,7.51820875206665,0
61298,61299,61299,long,1803.89,1804.817727680072,win,5.977276800719392,6.184851200480297,0
61648,61649,61649,long,1800.29,1799.70415769061,loss,-9.158423093900456,5.858423093901261,0
65038,65039,65039,long,1901.39,1900.6746431453632,loss,-10.453568546368661,7.153568546368264,0
65821,65822,65822,long,1954.82,1955.9990219898766,win,8.490219898766735,7.860146599177645,0
68035,68036,68036,long,1752.0,1751.464222749671,loss,-8.657772503289198,5.357772503289951,0
68640,68641,68641,long,1700.91,1700.1135865696253,loss,-11.264134303747415,7.964134303747841,0
69276,69277,69277,long,1753.96,1753.229742362161,loss,-10.602576378390314,7.3025763783896664,0
69516,69517,69517,long,1752.38,1751.7893582267086,loss,-9.206417732915089,5.906417732915938,0
69525,69526,69526,long,1750.76,1751.646120158219,win,5.561201582190006,5.907467721460229,0
69562,69563,69563,long,1751.48,1750.8757640374474,loss,-9.342359625525933,6.042359625526158,0
69614,69615,69615,long,1803.16,1802.4978122085959,loss,-9.921877914042216,6.6218779140413915,0
72532,72533,72533,long,1951.04,1950.3783563639995,loss,-9.916436360004628,6.61643636000543,0
73835,73836,73836,long,1901.44,1900.9687632874325,loss,-8.012367125675883,4.712367125674934,0
74778,74779,74779,long,1954.35,1953.698088510447,loss,-9.819114895529584,6.519114895528505,0
74780,74781,74781,long,1956.16,1955.4981616490893,loss,-9.918383509107844,6.618383509107486,0
75379,75380,75381,long,2002.25,2001.7284218245322,loss,-8.515781754677665,5.215781754676557,1
77382,77383,77383,long,2255.85,2254.9784153689207,loss,-12.015846310792586,8.71584631079097,0
81578,81579,81579,long,2710.87,2709.785511005389,loss,-14.144889946110926,10.844889946112152,0
81902,81903,81903,long,2653.0,2654.2818071251354,win,9.518071251354012,8.545380834236033,0
81953,81954,81954,long,2662.62,2661.7287234821392,loss,-12.212765178606606,8.912765178607748,0
82113,82114,82114,long,2703.65,2702.794954839637,loss,-11.85045160363261,8.550451603630517,0
82144,82145,82145,long,2701.06,2700.223702428674,loss,-11.662975713257584,8.36297571325953,0
82364,82365,82365,long,2805.91,2805.0858321391306,loss,-11.541678608692383,8.24167860869389,0
82424,82425,82425,long,2852.49,2853.9491105333154,win,11.29110533315652,9.727403555436702,0
82681,82682,82682,long,2951.58,2950.5018477133967,loss,-14.081522866031992,10.781522866032997,0
83085,83086,83086,long,3000.32,3001.9168387945642,win,12.668387945640642,10.645591963761412,0
83307,83308,83308,long,3113.53,3112.3708446049823,loss,-14.891553950179333,11.591553950179465,0
83380,83381,83381,long,3109.53,3107.930415677159,loss,-19.295843228411105,15.995843228408905,0
84312,84313,84313,long,3352.08,3350.324151971484,loss,-20.85848028516084,17.558480285161075,0
84978,84979,84979,long,3351.68,3350.4529464123952,loss,-15.57053587604587,12.270535876045418,0
84979,84980,84980,long,3360.93,3359.6950569482715,loss,-15.649430517283509,12.349430517284958,0
85367,85368,85368,long,3351.39,3350.2003344105187,loss,-15.196655894811375,11.896655894813051,0
85368,85369,85369,long,3366.09,3367.89490340038,win,14.749034003797714,12.032689335864923,0
86498,86499,86499,long,4103.66,4101.363237128371,loss,-26.267628716287437,22.967628716290676,0
86546,86547,86547,long,4210.17,4207.658609504557,loss,-28.413904954432656,25.11390495442902,0
86605,86606,86606,long,4260.47,4257.272055236206,loss,-35.27944763794112,31.979447637944943,0
86945,86946,86946,long,4069.0,4072.7543933656707,win,34.24393365670694,25.029289104470067,0
87333,87334,87334,long,4206.57,4204.298323960692,loss,-26.016760393077494,22.716760393073685,0
87480,87481,87481,long,4273.47,4276.413687327243,win,26.136873272425145,19.624582181618155,0
87510,87511,87511,long,4307.49,4310.602127036649,win,27.821270366493263,20.747513577663323,0
87528,87529,87529,long,4313.08,4311.016144261884,loss,-23.938557381162173,20.6385573811588,0
88128,88129,88129,long,4956.17,4960.744374619502,win,42.443746195021234,30.495830796679947,0
88446,88447,88447,long,5061.43,5055.025990978502,loss,-67.34009021498495,64.0400902149829,0
89207,89208,89208,long,4557.07,4565.6570328190655,win,82.57032819065826,57.246885460437156,0
89251,89252,89252,long,4696.14,4690.790952150197,loss,-56.79047849803355,53.49047849803562,0
89324,89325,89325,long,4827.04,4822.010591236864,loss,-53.59408763136416,50.29408763136655,0
89403,89404,89404,long,4714.53,4710.411867475601,loss,-44.48132524398788,41.181325243986876,0
89450,89451,89451,long,4803.93,4800.3101581578485,loss,-39.498418421518,36.19841842152117,0
89804,89805,89805,long,4707.16,4704.380638139131,loss,-31.093618608684483,27.793618608685975,0
90229,90230,90230,long,4502.17,4499.536766375469,loss,-29.632336245313855,26.332336245314497,0
90732,90733,90733,long,4117.73,4114.678303764297,loss,-33.816962357023655,30.51696235702298,0
90775,90776,90776,long,4161.16,4158.360429423522,loss,-31.295705764778905,27.995705764780016,0
