signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
143,144,146,long,1660.15,1702.9379011235956,win,424.57901123595474,427.87901123595515,2
160,161,161,long,1836.35,1779.701815730337,loss,-569.781842696628,566.4818426966291,0
162,163,166,long,1835.65,1894.57007752809,win,585.9007752808991,589.2007752808988,3
268,269,289,long,1736.25,1767.75,win,311.7,770.3857078651686,20
429,430,437,long,1732.08,1780.6143458426966,win,482.04345842696665,485.34345842696615,7
441,442,453,long,1776.89,1729.8309395505619,loss,-473.8906044943822,470.5906044943821,11
805,806,815,long,1349.57,1388.6192782022472,win,387.1927820224725,390.49278202247206,9
889,890,900,long,1327.13,1294.4468788764045,loss,-330.13121123595585,326.83121123595504,10
1035,1036,1040,long,1301.28,1260.828044494382,loss,-407.8195550561789,404.51955505617985,4
1185,1186,1188,long,1160.56,1130.1582528089887,loss,-307.31747191011283,304.0174719101125,2
1223,1224,1233,long,1183.65,1152.5644880898876,loss,-314.15511910112474,310.8551191011238,9
1304,1305,1307,long,1188.72,1220.1958382022472,win,311.4583820224713,314.7583820224723,2
1403,1404,1411,long,1319.57,1359.9868076404493,win,400.86807640449405,404.16807640449383,7
1548,1549,1556,long,1216.97,1183.9377125842698,loss,-333.62287415730253,330.3228741573033,7
1576,1577,1581,long,1256.62,1223.6027429213482,loss,-333.4725707865171,330.172570786517,4
1608,1609,1623,long,1273.97,1246.2313973033708,loss,-280.6860269662919,277.3860269662922,14
1647,1648,1650,long,1294.52,1268.6851629213484,loss,-261.6483707865162,258.34837078651657,2
1690,1691,1703,long,1276.78,1299.598826516854,win,224.8882651685396,228.18826516853892,12
1705,1706,1709,long,1333.83,1356.0020595505616,win,218.42059550561697,221.72059550561764,3
1789,1790,1792,long,1311.59,1336.4080925842695,win,244.88092584269606,248.18092584269695,2
2039,2040,2059,long,1275.0,1298.8940737078651,win,235.64073707865117,238.94073707865152,19
2076,2077,2082,long,1340.13,1318.1975008988766,loss,-222.6249910112354,219.32499101123616,5
2152,2153,2158,long,1335.02,1358.0843991011236,win,227.34399101123626,230.64399101123598,5
2159,2160,2162,long,1339.8,1363.8235658426966,win,236.93565842696597,240.23565842696632,2
2175,2176,2177,long,1397.46,1425.4263701123596,win,276.36370112359526,279.6637011235955,1
2181,2182,2194,long,1426.38,1455.5635961797755,win,288.5359617977535,291.8359617977529,12
2196,2197,2200,long,1499.74,1532.0688676404495,win,319.98867640449515,323.28867640449437,3
2208,2209,2217,long,1546.07,1509.8346321348315,loss,-365.6536786516843,362.3536786516852,8
2302,2303,2304,long,1564.6,1599.219953483146,win,342.8995348314599,346.1995348314606,1
2308,2309,2317,long,1545.65,1580.5421182022474,win,345.62118202247274,348.9211820224719,8
2336,2337,2338,long,1659.48,1628.9538478651687,loss,-308.56152134831365,305.2615213483144,1
2345,2346,2349,long,1671.42,1634.8509586516855,loss,-368.99041348314614,365.6904134831459,3
2372,2373,2377,long,1727.07,1666.1462629213484,loss,-612.5373707865158,609.2373707865166,4
2446,2447,2452,long,1942.49,1999.62008,win,568.0007999999991,571.3008,5
2460,2461,2462,long,1944.38,2004.4627319101126,win,597.5273191011245,600.8273191011235,1
2659,2660,2673,long,1898.69,1846.9528049438202,loss,-520.6719505617987,517.3719505617977,13
2857,2858,2861,long,1906.81,1951.8367276404495,win,446.96727640449507,450.26727640449434,3
3041,3042,3062,long,1769.0,1820.528388988764,win,511.98388988763935,515.28388988764,20
3085,3086,3099,long,1914.95,1862.6446582022472,loss,-526.3534179775281,523.0534179775279,13
3129,3130,3131,long,1984.25,1935.4767874157303,loss,-491.03212584269687,487.7321258426963,1
3132,3133,3141,long,1969.89,2021.0356934831461,win,508.1569348314603,511.4569348314602,8
3141,3142,3162,long,2020.0,2073.8021321348315,win,534.7213213483149,538.0213213483141,20
3287,3288,3297,long,1984.04,1945.3179206741572,loss,-390.52079325842743,387.2207932584269,9
3379,3380,3390,long,2147.92,2197.4040319101123,win,491.54031910112207,494.8403191011233,10
3615,3616,3620,long,2842.32,2914.2512622471913,win,716.0126224719118,719.31262247191,4
3625,3626,3633,long,2933.93,2859.2354680898875,loss,-750.2453191011234,746.9453191011233,7
3653,3654,3657,long,3085.53,3160.510570786517,win,746.5057078651664,749.8057078651683,3
3662,3663,3666,long,3175.67,3257.9883813483148,win,819.8838134831469,823.1838134831456,3
3679,3680,3681,long,3439.0,3338.084466966292,loss,-1012.4553303370801,1009.1553303370782,1
3769,3770,3778,long,3619.9,3727.7049770786516,win,1074.7497707865152,1078.0497707865165,8
3843,3844,3849,long,4447.45,4295.913910337078,loss,-1518.6608966292176,1515.360896629214,5
3863,3864,3866,long,4835.16,5008.643850337078,win,1731.5385033707837,1734.838503370787,2
