signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
143,144,146,long,1660.15,1702.9379011235956,win,424.57901123595474,427.87901123595515,2
160,161,161,long,1836.35,1779.701815730337,loss,-569.781842696628,566.4818426966291,0
162,163,166,long,1835.65,1894.57007752809,win,585.9007752808991,589.2007752808988,3
268,269,289,long,1736.25,1767.75,win,311.7,770.3857078651686,20
429,430,437,long,1732.08,1780.6143458426966,win,482.04345842696665,485.34345842696615,7
805,806,815,long,1349.57,1388.6192782022472,win,387.1927820224725,390.49278202247206,9
1185,1186,1188,long,1160.56,1130.1582528089887,loss,-307.31747191011283,304.0174719101125,2
1304,1305,1307,long,1188.72,1220.1958382022472,win,311.4583820224713,314.7583820224723,2
1407,1408,1411,long,1321.82,1363.7391476404493,win,415.8914764044941,419.19147640449376,3
1548,1549,1556,long,1216.97,1183.9377125842698,loss,-333.62287415730253,330.3228741573033,7
1576,1577,1581,long,1256.62,1223.6027429213482,loss,-333.4725707865171,330.172570786517,4
1608,1609,1623,long,1273.97,1246.2313973033708,loss,-280.6860269662919,277.3860269662922,14
1647,1648,1650,long,1294.52,1268.6851629213484,loss,-261.6483707865162,258.34837078651657,2
1690,1691,1703,long,1276.78,1299.598826516854,win,224.8882651685396,228.18826516853892,12
1705,1706,1709,long,1333.83,1356.0020595505616,win,218.42059550561697,221.72059550561764,3
1789,1790,1792,long,1311.59,1336.4080925842695,win,244.88092584269606,248.18092584269695,2
2042,2043,2061,long,1285.82,1309.2490582022472,win,230.99058202247232,234.2905820224718,18
2076,2077,2082,long,1340.13,1318.1975008988766,loss,-222.6249910112354,219.32499101123616,5
2152,2153,2158,long,1335.02,1358.0843991011236,win,227.34399101123626,230.64399101123598,5
2159,2160,2162,long,1339.8,1363.8235658426966,win,236.93565842696597,240.23565842696632,2
2175,2176,2177,long,1397.46,1425.4263701123596,win,276.36370112359526,279.6637011235955,1
2181,2182,2194,long,1426.38,1455.5635961797755,win,288.5359617977535,291.8359617977529,12
2302,2303,2304,long,1564.6,1599.219953483146,win,342.8995348314599,346.1995348314606,1
2308,2309,2317,long,1545.65,1580.5421182022474,win,345.62118202247274,348.9211820224719,8
2336,2337,2338,long,1659.48,1628.9538478651687,loss,-308.56152134831365,305.2615213483144,1
2345,2346,2349,long,1671.42,1634.8509586516855,loss,-368.99041348314614,365.6904134831459,3
2376,2377,2396,long,1694.39,1757.1580750561798,win,624.3807505617967,627.6807505617976,19
2446,2447,2452,long,1942.49,1999.62008,win,568.0007999999991,571.3008,5
2460,2461,2462,long,1944.38,2004.4627319101126,win,597.5273191011245,600.8273191011235,1
2659,2660,2673,long,1898.69,1846.9528049438202,loss,-520.6719505617987,517.3719505617977,13
2857,2858,2861,long,1906.81,1951.8367276404495,win,446.96727640449507,450.26727640449434,3
3054,3055,3075,long,1802.22,1823.34,win,207.8999999999989,498.44528764044895,20
3085,3086,3099,long,1914.95,1862.6446582022472,loss,-526.3534179775281,523.0534179775279,13
3133,3134,3147,long,1993.12,2044.9540829213481,win,515.0408292134823,518.3408292134828,13
3293,3294,3296,long,1991.05,1951.9655739325842,loss,-394.14426067415735,390.8442606741574,2
3380,3381,3390,long,2158.99,2208.462007640449,win,491.4200764044919,494.720076404494,9
3615,3616,3620,long,2842.32,2914.2512622471913,win,716.0126224719118,719.31262247191,4
3625,3626,3633,long,2933.93,2859.2354680898875,loss,-750.2453191011234,746.9453191011233,7
3653,3654,3657,long,3085.53,3160.510570786517,win,746.5057078651664,749.8057078651683,3
3769,3770,3778,long,3619.9,3727.7049770786516,win,1074.7497707865152,1078.0497707865165,8
3843,3844,3849,long,4447.45,4295.913910337078,loss,-1518.6608966292176,1515.360896629214,5
3863,3864,3866,long,4835.16,5008.643850337078,win,1731.5385033707837,1734.838503370787,2
