signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held,t_entry,t_exit,src_card
339,2686,2805,short,1529.05,1539.2,loss,-104.8000000000009,159.46428000000003,15,1307721600000000000,1308326400000000000,XAUUSD_H8
366,2900,2939,short,1524.85,1497.4301052879998,win,270.89894712000086,133.23564000000002,5,1308844800000000000,1309161600000000000,XAUUSD_H8
384,3043,3050,short,1483.4,1495.8497,loss,-127.79699999999893,124.49699999999994,1,1309536000000000000,1310630400000000000,XAUUSD_H8
536,4243,4267,short,1720.2,1641.270126936,win,785.9987306400005,383.52708000000007,3,1316707200000000000,1316793600000000000,XAUUSD_H8
590,4671,4790,short,1631.05,1668.472876,loss,-377.5287600000009,374.2287599999999,15,1318953600000000000,1319558400000000000,XAUUSD_H8
606,4798,4916,long,1705.4,1725.6,win,198.69999999999817,353.90855999999974,15,1319587200000000000,1320192000000000000,XAUUSD_H8
633,5010,5058,long,1794.3,1761.023208,loss,-336.0679199999989,332.7679199999999,6,1320710400000000000,1320883200000000000,XAUUSD_H8
645,5106,5162,long,1787.2,1758.5164,loss,-290.1360000000007,286.83599999999984,7,1321228800000000000,1321430400000000000,XAUUSD_H8
656,5194,5241,short,1738.2,1682.040851472,win,558.2914852800006,272.8821599999999,6,1321545600000000000,1321891200000000000,XAUUSD_H8
663,5249,5265,short,1678.45,1705.307008,loss,-271.8700799999995,268.57007999999985,2,1321920000000000000,1321977600000000000,XAUUSD_H8
677,5353,5472,long,1715.85,1719.8,win,36.20000000000046,261.06528,15,1322496000000000000,1323100800000000000,XAUUSD_H8
693,5480,5536,short,1721.75,1747.181096,loss,-257.61096000000026,254.31095999999985,7,1323129600000000000,1323331200000000000,XAUUSD_H8
701,5544,5583,short,1715.4,1663.5745796400001,win,514.9542035999996,251.82419999999988,5,1323360000000000000,1323676800000000000,XAUUSD_H8
711,5622,5638,short,1627.45,1575.2057354800002,win,519.1426451999989,253.8594,2,1323820800000000000,1323878400000000000,XAUUSD_H8
741,5855,5895,short,1555.52,1579.7126768,loss,-245.22676800000073,241.9267680000001,5,1325116800000000000,1325260800000000000,XAUUSD_H8
749,5918,6036,long,1597.53,1632.19,win,343.3000000000008,242.38214400000007,15,1325606400000000000,1326211200000000000,XAUUSD_H8
266,6305,6657,long,1710.51,1728.3,win,174.59999999999962,505.7879040000001,15,1327536000000000000,1329350400000000000,XAUUSD_D1
285,6751,6870,long,1758.98,1717.9442624,loss,-413.6573759999995,410.35737599999993,5,1329868800000000000,1330473600000000000,XAUUSD_D1
291,6894,7246,short,1694.05,1644.3,win,494.2,399.8837279999999,15,1330560000000000000,1332374400000000000,XAUUSD_D1
309,7315,7363,long,1689.95,1651.6868408,loss,-385.9315920000002,382.63159200000007,2,1332806400000000000,1332979200000000000,XAUUSD_D1
315,7458,7814,short,1644.55,1656.91,loss,-126.90000000000127,372.5904240000001,15,1333497600000000000,1335398400000000000,XAUUSD_D1
1007,7947,8009,short,1636.26,1604.8812426432,win,310.4875735679995,152.47209600000008,8,1336060800000000000,1336464000000000000,XAUUSD_H8
1016,8017,8080,short,1605.18,1573.8088341936,win,310.41165806400085,152.43520800000005,8,1336492800000000000,1336723200000000000,XAUUSD_H8
1026,8095,8119,short,1583.24,1552.06883228,win,308.41167720000084,151.46340000000004,3,1336953600000000000,1337040000000000000,XAUUSD_H8
1036,8175,8199,long,1552.93,1584.8899036288,win,316.2990362880002,155.29593599999998,3,1337241600000000000,1337328000000000000,XAUUSD_H8
354,8378,8426,short,1554.27,1586.3055744,loss,-323.6557440000009,320.3557439999999,2,1338336000000000000,1338508800000000000,XAUUSD_D1
357,8449,8521,long,1625.38,1592.4028912,loss,-333.071088,329.771088,3,1338768000000000000,1339027200000000000,XAUUSD_D1
361,8545,8616,short,1588.77,1622.0765568,loss,-336.36556799999954,333.0655679999999,3,1339113600000000000,1339545600000000000,XAUUSD_D1
1112,8775,8894,short,1578.97,1551.4,win,272.39999999999935,201.62471999999994,15,1340294400000000000,1340899200000000000,XAUUSD_H8
1128,8902,8910,short,1551.11,1571.0287567999999,loss,-202.48756799999984,199.1875679999999,1,1340928000000000000,1340956800000000000,XAUUSD_H8
377,8925,9063,long,1598.01,1564.8577368,loss,-334.8226319999988,331.52263199999993,6,1341187200000000000,1341878400000000000,XAUUSD_D1
384,9087,9325,short,1565.61,1599.113208,loss,-338.3320800000009,335.0320799999999,10,1341964800000000000,1343174400000000000,XAUUSD_D1
1184,9341,9460,long,1600.81,1600.0,loss,-11.399999999999455,169.10222399999995,15,1343232000000000000,1343836800000000000,XAUUSD_H8
1241,9792,9839,long,1640.21,1669.0809279488,win,285.40927948800044,140.28633599999978,6,1345564800000000000,1345737600000000000,XAUUSD_H8
1248,9847,9934,long,1669.85,1656.1165976,loss,-140.63402399999933,137.33402399999986,11,1345766400000000000,1346256000000000000,XAUUSD_H8
1266,9989,10088,long,1691.18,1717.9590631472001,win,264.49063147200076,130.1217839999999,13,1346630400000000000,1347004800000000000,XAUUSD_H8
1280,10096,10191,long,1726.57,1753.1003744272,win,262.0037442720006,128.9133839999998,12,1347033600000000000,1347552000000000000,XAUUSD_H8
1293,10199,10238,long,1767.19,1754.2288288,loss,-132.91171200000082,129.6117119999998,5,1347580800000000000,1347897600000000000,XAUUSD_H8
1310,10330,10330,long,1784.25,1770.9209664,loss,-136.59033600000004,133.29033599999988,0,1348243200000000000,1348243200000000000,XAUUSD_H8
1319,10399,10415,short,1746.25,1760.254084,loss,-143.34083999999922,140.04083999999995,2,1348675200000000000,1348732800000000000,XAUUSD_H8
1323,10430,10545,long,1776.89,1791.85,win,146.29999999999808,142.61663999999996,15,1348790400000000000,1349395200000000000,XAUUSD_H8
452,10683,11006,short,1753.32,1694.8608734784,win,581.2912652159996,284.057952,14,1350259200000000000,1351814400000000000,XAUUSD_D1
1400,11022,11067,short,1686.06,1699.4059512,loss,-136.75951199999946,133.4595120000001,6,1351872000000000000,1352217600000000000,XAUUSD_H8
469,11074,11415,long,1715.47,1719.53,win,37.29999999999946,262.78629600000016,15,1352246400000000000,1354060800000000000,XAUUSD_D1
1454,11431,11439,short,1710.05,1722.4251608,loss,-127.05160800000003,123.75160799999982,1,1354118400000000000,1354147200000000000,XAUUSD_H8
1486,11678,11756,short,1699.79,1673.8549078352,win,256.05092164799925,126.02085599999988,10,1355385600000000000,1355846400000000000,XAUUSD_H8
499,11763,11932,short,1670.81,1694.8140392,loss,-243.3403920000008,240.040392,8,1355875200000000000,1357084800000000000,XAUUSD_D1
509,11978,12185,short,1663.24,1687.4400544,loss,-245.300544,242.00054400000005,9,1357257600000000000,1358380800000000000,XAUUSD_D1
1570,12315,12399,short,1667.9,1680.8989496000002,loss,-133.2894960000006,129.98949600000003,11,1359043200000000000,1359532800000000000,XAUUSD_H8
1582,12407,12422,long,1677.32,1664.2751312,loss,-133.74868799999905,130.44868799999998,2,1359561600000000000,1359619200000000000,XAUUSD_H8
1585,12430,12445,short,1662.42,1675.5345744,loss,-134.4457440000004,131.14574399999998,2,1359648000000000000,1359705600000000000,XAUUSD_H8
1606,12591,12676,short,1649.34,1623.1145964768,win,258.9540352319993,127.43150399999992,11,1360598400000000000,1360915200000000000,XAUUSD_H8
1618,12684,12750,short,1610.84,1584.0300470959999,win,264.79952904000055,130.27187999999975,9,1360944000000000000,1361376000000000000,XAUUSD_H8
543,12757,12804,short,1564.83,1588.3355424,loss,-238.3554239999997,235.05542399999996,2,1361404800000000000,1361750400000000000,XAUUSD_D1
1711,13397,13420,short,1582.63,1556.5959559024002,win,257.04044097599916,126.50167199999993,3,1364918400000000000,1365004800000000000,XAUUSD_H8
