signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
25,26,26,long,1351.25,1363.8,win,122.19999999999955,254.49085714285675,0
26,27,27,long,1362.85,1363.5,win,3.2000000000009097,244.7388571428568,0
31,32,32,long,1372.9,1374.5,win,12.69999999999909,237.2885714285713,0
33,34,34,long,1383.95,1389.9,win,56.20000000000046,240.58971428571402,0
35,36,36,long,1408.2,1398.1,loss,-104.30000000000136,228.1725714285712,0
39,40,40,long,1407.75,1411.85,win,37.69999999999909,237.80342857142847,0
41,42,42,long,1432.65,1434.45,win,14.699999999999545,205.97314285714293,0
43,44,44,short,1416.2,1430.55,loss,-146.7999999999991,204.70114285714303,0
44,45,45,long,1433.9,1431.4,loss,-28.3,210.5765714285716,0
48,49,49,short,1410.65,1417.5,loss,-71.79999999999909,203.67142857142858,0
51,52,52,short,1393.0,1394.5,loss,-18.3,216.9971428571426,0
54,55,55,long,1425.25,1426.15,win,5.70000000000091,239.55999999999983,0
66,67,67,long,1456.3,1459.3,win,26.7,236.7737142857142,0
69,70,70,long,1474.75,1462.8,loss,-122.80000000000045,240.92285714285714,0
70,71,71,short,1461.35,1453.2,win,78.19999999999864,234.95657142857146,0
73,74,74,long,1474.05,1486.65,win,122.70000000000137,218.11771428571453,0
74,75,75,long,1486.0,1495.7,win,93.70000000000046,223.35714285714312,0
81,82,82,long,1526.05,1535.75,win,93.70000000000046,211.4245714285714,0
82,83,83,long,1534.35,1563.2,win,285.20000000000135,216.1491428571428,0
83,84,84,long,1569.4,1547.642742857143,loss,-220.87257142857044,217.57257142857134,0
84,85,85,short,1539.95,1538.05,win,15.700000000000909,229.2325714285713,0
87,88,88,short,1475.4,1495.3,loss,-202.29999999999865,256.03542857142844,0
88,89,89,long,1493.8,1512.85,win,187.19999999999953,275.50914285714265,0
89,90,90,long,1510.9,1515.7,win,44.69999999999955,285.50342857142823,0
100,101,101,long,1525.95,1525.7,loss,-5.8,329.2662857142855,0
103,104,104,long,1535.75,1538.4,win,23.20000000000091,319.02971428571414,0
113,114,114,short,1530.65,1515.8,win,145.20000000000135,230.41371428571443,0
114,115,115,short,1515.65,1523.35,loss,-80.29999999999818,224.114285714286,0
120,121,121,long,1546.95,1547.9,win,6.200000000000455,204.36800000000028,0
122,123,123,short,1522.5,1502.35,win,198.2000000000009,202.4902857142861,0
123,124,124,short,1500.25,1497.05,win,28.700000000000454,217.84514285714317,0
126,127,127,long,1511.0,1500.4,loss,-109.29999999999909,225.59828571428588,0
127,128,128,short,1501.15,1487.5,win,133.2000000000009,228.08171428571427,0
131,132,132,long,1604.85,1588.45,loss,-167.29999999999865,278.2045714285715,0
142,143,143,long,1661.0,1662.1,win,7.699999999999091,308.55085714285747,0
146,147,147,long,1715.55,1769.3863000000001,win,535.0630000000017,332.7491428571433,0
148,149,149,long,1797.6,1758.4345142857142,loss,-394.9548571428575,391.6548571428578,0
152,153,153,long,1787.05,1789.25,win,18.700000000000454,429.0880000000003,0
154,155,155,long,1825.2,1851.65,win,261.20000000000044,427.937142857143,0
156,157,157,long,1907.9,1861.4780571428573,loss,-467.5194285714277,464.2194285714287,0
157,158,158,short,1834.55,1757.2034999999998,win,770.1650000000011,478.0600000000001,0
158,159,159,short,1749.75,1772.6,loss,-231.7999999999991,518.2188571428572,0
160,161,161,long,1836.35,1775.724057142857,loss,-609.5594285714294,606.2594285714285,0
161,162,162,short,1786.25,1835.15,loss,-492.3000000000009,638.8468571428572,0
162,163,163,long,1835.65,1825.05,loss,-109.30000000000136,662.7119999999999,0
165,166,166,long,1878.7,1900.1,win,210.69999999999862,670.3137142857141,0
166,167,167,long,1901.1,1873.5,loss,-279.2999999999991,683.0639999999997,0
169,170,170,long,1868.25,1855.35,loss,-132.30000000000092,704.1731428571428,0
171,172,172,short,1815.7,1834.2,loss,-188.3,690.6959999999999,0
176,177,177,short,1777.1,1803.4,loss,-266.30000000000183,746.452,0
177,178,178,long,1803.35,1782.25,loss,-214.2999999999991,747.5725714285713,0
179,180,180,short,1738.65,1641.8,win,965.2000000000014,713.8645714285716,0
180,181,181,short,1651.85,1540.1593999999998,win,1113.6060000000014,690.3325714285719,0
186,187,187,long,1662.55,1625.85,loss,-370.30000000000047,793.6977142857146,0
191,192,192,long,1681.35,1662.6,loss,-190.8,757.2942857142857,0
202,203,203,long,1705.4,1723.55,win,178.19999999999862,585.8165714285713,0
206,207,207,short,1715.0,1718.55,loss,-38.79999999999954,491.5977142857138,0
211,212,212,long,1794.3,1783.55,loss,-110.8,456.3451428571428,0
215,216,216,long,1787.2,1779.1,loss,-84.30000000000136,460.4942857142858,0
219,220,220,short,1722.75,1721.1,win,13.200000000000909,454.86114285714314,0
221,222,222,short,1678.45,1697.85,loss,-197.29999999999865,464.9765714285718,0
226,227,227,long,1711.15,1715.0,win,35.19999999999909,446.2902857142861,0
228,229,229,long,1747.35,1744.35,loss,-33.3,444.291428571429,0
231,232,232,short,1721.75,1727.75,loss,-63.3,429.8451428571432,0
234,235,235,short,1705.25,1708.25,loss,-33.3,424.7874285714288,0
236,237,237,short,1664.05,1630.3,win,334.2,422.39485714285746,0
238,239,239,short,1577.8,1568.8,win,86.7,449.894285714286,0
240,241,241,long,1598.8,1593.15,loss,-59.79999999999863,482.7240000000004,0
242,243,243,long,1614.9,1613.65,loss,-15.8,467.03600000000034,0
246,247,247,short,1592.15,1555.4,win,364.2,433.98822857142903,0
247,248,248,short,1555.52,1544.7,win,104.89999999999937,428.49440000000027,0
250,251,251,long,1603.48,1611.79,win,79.79999999999946,435.56308571428605,0
255,256,256,long,1631.42,1641.41,win,96.6000000000001,436.84720000000016,0
266,267,267,long,1710.51,1720.23,win,93.90000000000028,316.24948571428564,0
268,269,269,long,1736.25,1729.46,loss,-71.19999999999963,354.45188571428565,0
272,273,273,long,1758.43,1727.3138514285715,loss,-314.4614857142854,311.16148571428573,0
273,274,274,short,1727.65,1719.94,win,73.80000000000037,307.6907428571428,0
275,276,276,long,1744.6,1732.86,loss,-120.70000000000009,316.72800000000007,0
284,285,285,long,1733.81,1759.75,win,256.10000000000053,330.8896,0
285,286,286,long,1758.98,1775.4,win,160.90000000000072,326.1286857142858,0
290,291,291,long,1784.4,1754.631565714286,loss,-300.98434285714194,297.6843428571426,0
291,292,292,short,1694.05,1723.8366057142857,loss,-301.1660571428577,297.86605714285685,0
292,293,293,long,1717.66,1712.09,loss,-59.000000000001634,348.2978285714283,0
295,296,296,short,1674.56,1684.25,loss,-100.20000000000054,345.9052571428568,0
297,298,298,long,1699.5,1713.69,win,138.60000000000053,343.72468571428556,0
299,300,300,short,1699.69,1675.86,win,235.00000000000153,346.5109714285712,0
301,302,302,short,1642.94,1655.92,loss,-133.1000000000002,357.5167999999998,0
308,309,309,long,1661.94,1689.35,win,270.79999999999853,377.9293714285713,0
309,310,310,long,1689.95,1679.7,loss,-105.8,383.56857142857143,0
315,316,316,short,1644.55,1620.25,win,239.69999999999953,339.0909714285719,0
316,317,317,short,1620.55,1630.15,loss,-99.30000000000136,350.6480000000005,0
317,318,318,long,1642.65,1640.75,loss,-22.30000000000091,344.30011428571476,0
331,332,332,long,1656.4,1662.26,win,55.299999999999,273.41337142857174,0
336,337,337,short,1635.51,1641.86,loss,-66.79999999999909,268.0770285714284,0
339,340,340,short,1605.3,1589.21,win,157.59999999999917,245.64742857142812,0
342,343,343,short,1583.24,1556.65,win,262.59999999999917,262.22582857142805,0
343,344,344,short,1556.69,1544.1,win,122.60000000000146,257.90708571428524,0
346,347,347,long,1573.64,1592.72,win,187.49999999999926,263.8127999999996,0
347,348,348,long,1591.35,1592.2,win,5.200000000001364,278.967771428571,0
349,350,350,short,1567.56,1561.5,win,57.29999999999946,286.6845714285711,0
352,353,353,long,1573.79,1574.41,win,2.9000000000011825,309.5926857142852,0
357,358,358,long,1625.38,1618.3,loss,-74.10000000000154,333.1791999999997,0
361,362,362,short,1588.77,1592.97,loss,-45.30000000000045,362.9682285714284,0
371,372,372,short,1564.49,1572.37,loss,-82.09999999999881,370.1035428571427,0
374,375,375,short,1572.03,1574.1,loss,-23.999999999999364,367.6625142857141,0
376,377,377,short,1551.11,1587.4474057142857,loss,-366.6740571428575,363.37405714285694,0
377,378,378,long,1598.01,1595.95,loss,-23.899999999999455,358.9038857142856,0
379,380,380,long,1616.74,1614.75,loss,-23.20000000000009,337.4313142857145,0
382,383,383,short,1580.64,1587.05,loss,-67.39999999999854,339.9026285714288,0
395,396,396,long,1605.12,1615.65,win,102.000000000002,301.13085714285734,0
402,403,403,long,1604.5,1611.13,win,63.000000000001094,285.87897142857156,0
411,412,412,long,1614.2,1615.51,win,9.799999999999454,237.4702857142858,0
414,415,415,long,1637.7,1653.87,win,158.39999999999844,230.28651428571442,0
415,416,416,long,1652.63,1670.36,win,173.9999999999979,231.37680000000026,0
416,417,417,long,1669.85,1670.11,loss,-0.7000000000000908,235.06560000000036,0
422,423,423,long,1691.18,1692.42,win,9.10000000000009,216.233942857143,0
427,428,428,long,1735.26,1725.88,loss,-97.09999999999881,222.30925714285684,0
431,432,432,long,1767.19,1769.95,win,24.29999999999991,238.64537142857117,0
441,442,442,long,1776.89,1772.22,loss,-50.000000000000725,276.8659428571428,0
446,447,447,long,1790.24,1779.75,loss,-108.20000000000009,276.4480000000003,0
452,453,453,short,1753.32,1737.16,win,158.29999999999853,257.9373714285716,0
453,454,454,short,1737.56,1747.16,loss,-99.30000000000136,239.5297142857146,0
454,455,455,long,1747.8,1749.79,win,16.60000000000009,247.37977142857176,0
457,458,458,short,1718.04,1728.12,loss,-104.09999999999927,233.060685714286,0
458,459,459,long,1728.86,1704.899154285714,loss,-242.90845714285825,239.6084571428574,0
459,460,460,short,1707.02,1701.57,win,51.20000000000046,235.84091428571435,0
461,462,462,long,1711.13,1710.23,loss,-12.30000000000091,241.14697142857133,0
467,468,468,short,1676.02,1684.7,loss,-90.10000000000063,215.9734857142857,0
468,469,469,long,1684.95,1715.76,win,304.79999999999944,230.83771428571418,0
469,470,470,long,1715.47,1717.49,win,16.899999999999817,224.9683428571429,0
478,479,479,long,1730.15,1726.7,loss,-37.80000000000045,244.3936,0
482,483,483,long,1751.56,1748.45,loss,-34.399999999999,224.90171428571452,0
484,485,485,short,1741.24,1719.53,win,213.80000000000035,224.50194285714318,0
489,490,490,short,1696.11,1693.72,win,20.599999999998726,223.3934857142855,0
496,497,497,short,1697.04,1695.46,win,12.499999999999272,214.24719999999985,0
499,500,500,short,1670.81,1666.98,win,34.999999999999275,210.8006857142857,0
507,508,508,long,1674.56,1686.53,win,116.40000000000028,230.63177142857157,0
509,510,510,short,1663.24,1655.46,win,74.49999999999973,240.52914285714309,0
512,513,513,long,1659.7,1657.56,loss,-24.700000000001,258.25840000000034,0
514,515,515,long,1674.17,1662.59,loss,-119.10000000000154,253.44297142857187,0
521,522,522,long,1689.12,1692.25,win,28.00000000000109,260.60251428571445,0
524,525,525,short,1667.77,1658.15,win,92.89999999999891,232.9879999999999,0
527,528,528,long,1663.11,1677.0,win,135.600000000001,238.11839999999967,0
528,529,529,long,1675.22,1663.25,loss,-123.00000000000027,237.5974857142853,0
536,537,537,short,1647.89,1650.77,loss,-32.099999999998815,206.04582857142805,0
538,539,539,short,1642.17,1634.66,win,71.79999999999991,206.79085714285662,0
543,544,544,short,1564.83,1575.89,loss,-113.90000000000173,215.36171428571396,0
548,549,549,short,1596.75,1579.47,win,169.49999999999972,267.79234285714296,0
564,565,565,long,1615.62,1608.35,loss,-75.99999999999982,256.17474285714314,0
571,572,572,short,1576.09,1557.66,win,180.99999999999835,190.6001142857142,0
572,573,573,short,1557.55,1554.34,win,28.800000000000363,195.31257142857118,0
574,575,575,long,1581.21,1573.22,loss,-83.20000000000009,205.57337142857136,0
576,577,577,long,1584.55,1562.8060685714286,loss,-220.73931428571387,217.4393142857143,0
577,578,578,short,1558.8,1561.17,loss,-27.000000000001183,216.26422857142856,0
579,580,580,short,1478.52,1441.39858,win,367.9141999999994,229.43851428571426,0
