signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
27,28,32,short,1347.15,1322.6108000000002,win,242.09199999999936,151.67085714285733,4
37,38,39,short,1314.3,1330.2,loss,-162.30000000000092,158.99999999999986,1
39,40,41,long,1339.85,1323.477542857143,loss,-167.02457142857003,163.7245714285711,1
47,48,63,long,1351.55,1373.25,win,213.70000000000044,186.19657142857093,15
77,78,80,short,1402.25,1415.324342857143,loss,-134.0434285714294,130.74342857142852,2
83,84,87,long,1432.65,1418.6337714285714,loss,-143.46228571428657,140.16228571428576,3
102,103,109,short,1406.55,1422.761942857143,loss,-165.4194285714296,162.11942857142847,6
133,134,149,long,1456.3,1479.722,win,230.92000000000024,144.76571428571384,15
163,164,167,long,1526.05,1551.4418,win,250.61800000000102,156.94057142857136,3
167,168,168,long,1569.4,1553.4121714285716,loss,-163.1782857142851,159.8782857142853,0
175,176,177,short,1475.4,1497.5146285714286,loss,-224.44628571428512,221.14628571428526,1
245,246,247,short,1522.5,1498.9506000000001,win,232.19399999999877,145.55314285714255,1
247,248,258,short,1500.25,1515.8441142857143,loss,-159.24114285714342,155.94114285714247,10
285,286,289,long,1661.0,1642.5741714285714,loss,-187.55828571428611,184.25828571428656,3
294,295,295,long,1766.2,1740.7357714285713,loss,-257.9422857142875,254.64228571428686,0
297,298,299,long,1797.6,1764.9550285714283,loss,-329.7497142857158,326.4497142857153,1
315,316,317,short,1834.55,1762.0104,win,722.0960000000007,448.3497142857142,1
317,318,321,short,1749.75,1792.5467428571428,loss,-431.2674285714282,427.96742857142846,3
361,362,362,short,1651.85,1580.1336,win,713.8640000000003,443.2617142857144,0
405,406,419,long,1705.4,1753.0329000000002,win,473.0290000000006,294.4074285714287,13
439,440,443,short,1722.75,1674.3527,win,480.67300000000085,299.1320000000002,3
457,458,464,long,1747.35,1716.6554285714285,loss,-310.2457142857141,306.94571428571396,6
469,470,473,short,1705.25,1663.6294,win,412.90599999999966,257.246857142857,3
475,476,477,short,1627.45,1582.1397000000002,win,449.8029999999987,280.0519999999999,1
477,478,485,short,1577.8,1608.6278285714286,loss,-311.57828571428655,308.27828571428574,7
495,496,500,short,1555.52,1584.1636228571429,loss,-289.73622857142874,286.4362285714286,4
533,534,540,long,1710.51,1742.69418,win,318.5417999999997,198.92262857142887,6
547,548,552,short,1727.65,1750.489062857143,loss,-231.69062857142836,228.3906285714287,4
571,572,583,long,1758.98,1737.6861142857142,loss,-216.23885714285808,212.93885714285696,11
583,584,584,short,1694.05,1712.3449942857142,loss,-186.24994285714212,182.94994285714256,0
619,620,623,long,1689.95,1666.1078742857144,loss,-241.7212571428566,238.42125714285692,3
631,632,643,short,1644.55,1664.5325142857143,loss,-203.12514285714389,199.8251428571429,11
679,680,681,short,1605.3,1579.4133,win,255.56700000000018,159.9994285714285,1
686,687,690,short,1562.15,1530.8978000000002,win,309.221999999999,193.16228571428576,3
693,694,700,long,1573.64,1552.1468342857145,loss,-218.23165714285625,214.9316571428571,6
715,716,723,long,1625.38,1601.8110514285715,loss,-238.98948571428565,235.68948571428538,7
723,724,729,short,1588.77,1614.8042057142857,loss,-263.6420571428569,260.34205714285696,5
743,744,747,short,1564.49,1588.16616,loss,-240.06159999999983,236.76159999999976,3
755,756,765,long,1598.01,1577.0201828571428,loss,-213.19817142857192,209.89817142857152,9
769,770,775,short,1565.61,1586.2527428571427,loss,-209.72742857142822,206.4274285714284,5
