entry_bar,exit_bar,outcome,pnl_pip,sl_pip,tp_pip,direction,t_entry,t_exit,src_card
1,73,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1294725600000000000,1294984800000000000,XAUUSD_H6
415,481,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1296216000000000000,1296453600000000000,XAUUSD_H6
559,919,win,342.13584072655766,228.0905604843718,342.13584072655766,long,1296734400000000000,1298030400000000000,XAUUSD_H12
1035,1187,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1298448000000000000,1298995200000000000,XAUUSD_H8
1315,1395,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1299456000000000000,1299744000000000000,XAUUSD_H8
1597,1729,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1300471200000000000,1300946400000000000,XAUUSD_H6
1897,1927,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1301551200000000000,1301659200000000000,XAUUSD_H6
2023,2095,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1302004800000000000,1302264000000000000,XAUUSD_H6
2239,2491,win,342.13584072655766,228.0905604843718,342.13584072655766,long,1302782400000000000,1303689600000000000,XAUUSD_H12
2551,2599,win,342.13584072655766,228.0905604843718,342.13584072655766,long,1303905600000000000,1304078400000000000,XAUUSD_H12
2857,2893,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1305007200000000000,1305136800000000000,XAUUSD_H6
3097,3199,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1305871200000000000,1306238400000000000,XAUUSD_H6
3235,3511,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1306368000000000000,1307361600000000000,XAUUSD_H6
3771,3915,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1308297600000000000,1308816000000000000,XAUUSD_H8
4075,4099,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1309392000000000000,1309478400000000000,XAUUSD_H6
4411,4735,win,342.13584072655766,228.0905604843718,342.13584072655766,long,1310601600000000000,1311768000000000000,XAUUSD_H12
4783,4891,win,342.13584072655766,228.0905604843718,342.13584072655766,long,1311940800000000000,1312329600000000000,XAUUSD_H12
4915,4933,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1312416000000000000,1312480800000000000,XAUUSD_H6
5011,5019,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1312761600000000000,1312790400000000000,XAUUSD_H8
5027,5035,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1312819200000000000,1312848000000000000,XAUUSD_H8
5067,5083,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1312963200000000000,1313020800000000000,XAUUSD_H8
