signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held,bar_dt
9,10,57,long,1417.95,1418.05,loss,-2.3000000000009093,80.0,47,2011-01-03 00:45:00
57,58,71,long,1417.95,1417.9,loss,-3.799999999999545,80.0,13,2011-01-03 04:45:00
115,116,120,long,1419.2,1418.8000000000002,loss,-7.299999999998636,80.0,4,2011-01-03 09:35:00
163,164,167,long,1421.5,1422.6000000000001,win,7.700000000001364,80.0,3,2011-01-03 13:35:00
229,230,234,long,1421.5,1422.1000000000001,win,2.7000000000013644,80.0,4,2011-01-03 19:05:00
335,336,339,long,1416.7,1416.3000000000002,loss,-7.299999999998636,80.0,3,2011-01-04 04:50:00
887,888,917,long,1376.75,1376.6000000000001,loss,-4.799999999998636,80.0,29,2011-01-06 04:30:00
957,958,960,long,1378.05,1377.6000000000001,loss,-7.799999999998181,80.0,2,2011-01-06 10:20:00
1290,1291,1293,long,1368.9,1368.75,loss,-4.800000000000909,80.0,2,2011-01-07 15:00:00
1418,1419,1421,long,1372.45,1373.6000000000001,win,8.200000000000909,80.0,2,2011-01-10 02:40:00
1473,1474,1481,long,1374.15,1375.3000000000002,win,8.200000000000909,80.0,7,2011-01-10 07:15:00
1619,1620,1622,long,1373.95,1373.9,loss,-3.799999999999545,80.0,2,2011-01-10 19:25:00
1673,1674,1678,long,1375.25,1376.8500000000001,win,12.700000000001364,80.0,4,2011-01-11 00:50:00
1746,1747,1749,long,1376.5,1376.0500000000002,loss,-7.799999999998181,80.0,2,2011-01-11 06:55:00
1798,1799,1801,long,1380.0,1380.9,win,5.70000000000091,80.0,2,2011-01-11 11:15:00
1847,1848,1852,long,1383.05,1375.05,loss,-83.3,80.0,4,2011-01-11 15:20:00
1895,1896,1898,long,1383.65,1384.1000000000001,win,1.200000000000455,80.0,2,2011-01-11 19:20:00
1952,1953,1955,long,1383.1,1383.0500000000002,loss,-3.7999999999972713,80.0,2,2011-01-12 01:00:00
