signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held,bar_dt
9,10,12,long,1419.25,1420.4,win,8.200000000000909,80.0,2,2011-01-03 09:00:00
186,187,189,long,1386.1,1387.9,win,14.700000000001818,80.0,2,2011-01-12 19:00:00
296,297,299,long,1375.85,1378.15,win,19.70000000000182,80.0,2,2011-01-19 13:00:00
457,458,459,long,1344.35,1336.35,loss,-83.3,80.0,1,2011-01-28 17:00:00
505,506,510,long,1341.4,1341.5,loss,-2.3000000000009093,80.0,4,2011-02-01 18:00:00
553,554,557,long,1353.75,1355.1000000000001,win,10.200000000001364,80.0,3,2011-02-03 18:00:00
602,603,606,long,1350.4,1351.2,win,4.699999999999545,80.0,3,2011-02-07 20:00:00
670,671,673,long,1362.15,1363.7,win,12.199999999999545,80.0,2,2011-02-10 16:00:00
718,719,721,long,1364.25,1364.15,loss,-4.29999999999909,80.0,2,2011-02-14 17:00:00
766,767,777,long,1377.05,1377.0500000000002,loss,-3.299999999997726,80.0,10,2011-02-16 17:00:00
814,815,817,long,1387.65,1389.8000000000002,win,18.20000000000091,80.0,2,2011-02-18 17:00:00
875,876,878,long,1402.6,1403.95,win,10.200000000001364,80.0,2,2011-02-23 11:00:00
928,929,932,long,1409.7,1409.25,loss,-7.800000000000455,80.0,3,2011-02-25 16:00:00
976,977,979,long,1427.5,1430.3000000000002,win,24.70000000000182,80.0,2,2011-03-01 17:00:00
1040,1041,1043,long,1419.65,1419.6000000000001,loss,-3.799999999999545,80.0,2,2011-03-04 09:00:00
1089,1090,1092,long,1435.45,1435.9,win,1.200000000000455,80.0,2,2011-03-08 11:00:00
1167,1168,1170,long,1421.3,1423.25,win,16.200000000000454,80.0,2,2011-03-11 17:00:00
1278,1279,1281,long,1413.9,1416.3500000000001,win,21.200000000000454,80.0,2,2011-03-18 09:00:00
1349,1350,1352,long,1431.1,1433.25,win,18.20000000000091,80.0,2,2011-03-23 09:00:00
1400,1401,1404,long,1437.2,1437.15,loss,-3.799999999999545,80.0,3,2011-03-25 12:00:00
1473,1474,1475,long,1427.95,1419.95,loss,-83.3,80.0,1,2011-03-30 14:00:00
1540,1541,1544,long,1434.45,1437.3000000000002,win,25.200000000001364,80.0,3,2011-04-04 10:00:00
1590,1591,1593,long,1459.95,1460.2,loss,-0.7999999999999998,80.0,2,2011-04-06 12:00:00
1638,1639,1641,long,1471.45,1471.75,loss,-0.30000000000045457,80.0,2,2011-04-08 12:00:00
1687,1688,1689,long,1465.35,1457.35,loss,-83.3,80.0,1,2011-04-12 14:00:00
1736,1737,1739,long,1466.55,1469.3000000000002,win,24.200000000002273,80.0,2,2011-04-14 15:00:00
1786,1787,1789,long,1494.6,1496.3000000000002,win,13.700000000002728,80.0,2,2011-04-18 18:00:00
1873,1874,1878,long,1517.75,1517.5,loss,-5.8,80.0,4,2011-04-25 09:00:00
1927,1928,1931,long,1510.9,1514.1000000000001,win,28.700000000000454,80.0,3,2011-04-27 15:00:00
1975,1976,1979,long,1539.2,1548.8000000000002,win,92.70000000000137,80.0,3,2011-04-29 15:00:00
2040,2041,2043,long,1536.45,1537.45,win,6.7,80.0,2,2011-05-04 09:00:00
2123,2124,2126,long,1512.0,1513.0,win,6.7,80.0,2,2011-05-09 21:00:00
2207,2208,2211,long,1515.7,1507.7,loss,-83.3,80.0,3,2011-05-13 09:00:00
2326,2327,2330,long,1503.65,1495.65,loss,-83.3,80.0,3,2011-05-20 09:00:00
2374,2375,2377,long,1520.3,1522.65,win,20.200000000001364,80.0,2,2011-05-24 10:00:00
2445,2446,2451,long,1527.35,1530.0,win,23.20000000000091,80.0,5,2011-05-27 09:00:00
2517,2518,2520,long,1537.2,1543.3500000000001,win,58.20000000000091,80.0,2,2011-06-01 14:00:00
2566,2567,2569,long,1541.9,1542.1000000000001,loss,-1.299999999999545,80.0,2,2011-06-03 15:00:00
2660,2661,2663,long,1538.4,1539.1000000000001,win,3.700000000000455,80.0,2,2011-06-09 14:00:00
2756,2757,2758,long,1530.3,1522.3,loss,-83.3,80.0,1,2011-06-15 15:00:00
2804,2805,2807,long,1537.5,1541.4,win,35.70000000000091,80.0,2,2011-06-17 15:00:00
2852,2853,2855,long,1546.3,1546.0500000000002,loss,-5.799999999997726,80.0,2,2011-06-21 16:00:00
3081,3082,3084,long,1588.4,1590.9,win,21.7,80.0,2,2011-07-15 16:00:00
3152,3153,3155,long,1590.7,1599.5,win,84.69999999999955,80.0,2,2011-07-20 16:00:00
3200,3201,3208,long,1605.4,1622.75,win,170.19999999999908,80.0,7,2011-07-22 16:00:00
3249,3250,3252,long,1614.55,1617.95,win,30.70000000000091,80.0,2,2011-07-26 18:00:00
3317,3318,3320,long,1623.15,1631.5500000000002,win,80.70000000000091,80.0,2,2011-07-29 14:00:00
3366,3367,3369,long,1637.8,1643.3500000000001,win,52.20000000000182,80.0,2,2011-08-02 16:00:00
3432,3433,3435,long,1666.8,1666.75,loss,-3.799999999999545,80.0,2,2011-08-05 10:00:00
3480,3481,3482,long,1766.2,1758.2,loss,-83.3,80.0,1,2011-08-09 11:00:00
3581,3582,3584,long,1746.15,1761.0,win,145.19999999999908,80.0,2,2011-08-15 17:00:00
3631,3632,3638,long,1792.85,1784.85,loss,-83.3,80.0,6,2011-08-17 19:00:00
3699,3700,3702,long,1887.35,1890.4,win,27.20000000000182,80.0,2,2011-08-22 16:00:00
3798,3799,3801,long,1802.55,1822.1000000000001,win,192.2000000000018,80.0,2,2011-08-26 19:00:00
3846,3847,3849,long,1833.1,1838.8000000000002,win,53.70000000000273,80.0,2,2011-08-30 20:00:00
3907,3908,3910,long,1852.1,1854.25,win,18.20000000000091,80.0,2,2011-09-02 09:00:00
4002,4003,4003,long,1851.55,1843.55,loss,-83.3,80.0,0,2011-09-08 13:00:00
4080,4081,4081,long,1841.7,1833.7,loss,-83.3,80.0,0,2011-09-13 20:00:00
4485,4486,4492,long,1653.35,1652.8000000000002,loss,-8.799999999997272,80.0,6,2011-10-06 20:00:00
4533,4534,4537,long,1677.25,1682.3000000000002,win,47.20000000000182,80.0,3,2011-10-10 21:00:00
4617,4618,4620,long,1676.7,1677.2,win,1.7000000000000002,80.0,2,2011-10-14 09:00:00
4761,4762,4764,long,1651.5,1658.25,win,64.2,80.0,2,2011-10-24 11:00:00
4815,4816,4818,long,1718.0,1726.0500000000002,win,77.20000000000182,80.0,2,2011-10-26 17:00:00
4925,4926,4928,long,1732.25,1733.8500000000001,win,12.700000000001364,80.0,2,2011-11-02 09:00:00
4999,5000,5002,long,1771.25,1777.0500000000002,win,54.70000000000182,80.0,2,2011-11-07 13:00:00
5048,5049,5050,long,1797.1,1789.1,loss,-83.3,80.0,1,2011-11-09 14:00:00
5096,5097,5097,long,1771.4,1763.4,loss,-83.3,80.0,0,2011-11-11 14:00:00
5145,5146,5147,long,1783.15,1775.15,loss,-83.3,80.0,1,2011-11-15 15:00:00
5346,5347,5349,long,1714.65,1716.45,win,14.699999999999545,80.0,2,2011-11-28 09:00:00
5399,5400,5402,long,1744.4,1748.9,win,41.7,80.0,2,2011-11-30 14:00:00
5500,5501,5505,long,1728.8,1728.9,loss,-2.2999999999986356,80.0,4,2011-12-06 20:00:00
5746,5747,5748,long,1634.08,1626.08,loss,-83.3,80.0,1,2011-12-21 09:00:00
5912,5913,5915,long,1589.31,1596.93,win,72.90000000000119,80.0,2,2012-01-03 10:00:00
5969,5970,5972,long,1622.67,1624.19,win,11.899999999999817,80.0,2,2012-01-05 19:00:00
6029,6030,6032,long,1622.45,1627.8400000000001,win,50.600000000001,80.0,2,2012-01-10 09:00:00
6078,6079,6081,long,1649.41,1655.7800000000002,win,60.400000000001185,80.0,2,2012-01-12 10:00:00
6127,6128,6130,long,1643.22,1645.22,win,16.7,80.0,2,2012-01-16 11:00:00
6180,6181,6184,long,1660.12,1661.65,win,12.000000000002,80.0,3,2012-01-18 18:00:00
6228,6229,6231,long,1663.27,1664.2,win,6.000000000000637,80.0,2,2012-01-20 18:00:00
6299,6300,6302,long,1690.47,1707.4,win,166.00000000000063,80.0,2,2012-01-25 18:00:00
6348,6349,6351,long,1733.77,1737.7,win,36.00000000000064,80.0,2,2012-01-27 19:00:00
6409,6410,6412,long,1742.6,1747.8500000000001,win,49.20000000000228,80.0,2,2012-02-01 09:00:00
6509,6510,6512,long,1736.25,1746.93,win,103.50000000000064,80.0,2,2012-02-07 16:00:00
6594,6595,6599,long,1731.94,1731.8600000000001,loss,-4.099999999999272,80.0,4,2012-02-13 09:00:00
6642,6643,6645,long,1727.51,1727.47,loss,-3.699999999999636,80.0,2,2012-02-15 09:00:00
6741,6742,6744,long,1745.25,1754.98,win,94.00000000000018,80.0,2,2012-02-21 14:00:00
6789,6790,6790,long,1782.4,1774.4,loss,-83.3,80.0,0,2012-02-23 14:00:00
6838,6839,6842,long,1776.56,1768.56,loss,-83.3,80.0,3,2012-02-27 16:00:00
7053,7054,7056,long,1712.13,1712.13,loss,-3.3,80.0,2,2012-03-09 16:00:00
7284,7285,7287,long,1662.19,1664.8000000000002,win,22.800000000001273,80.0,2,2012-03-23 15:00:00
7348,7349,7353,long,1682.56,1674.56,loss,-83.3,80.0,4,2012-03-28 09:00:00
7400,7401,7403,long,1668.6,1660.6,loss,-83.3,80.0,2,2012-03-30 13:00:00
7548,7549,7551,long,1656.55,1661.1000000000001,win,42.20000000000182,80.0,2,2012-04-10 18:00:00
7596,7597,7599,long,1674.79,1678.02,win,29.00000000000018,80.0,2,2012-04-12 18:00:00
7712,7713,7715,long,1651.08,1643.08,loss,-83.3,80.0,2,2012-04-19 15:00:00
7782,7783,7801,long,1645.16,1637.16,loss,-83.3,80.0,18,2012-04-24 15:00:00
7830,7831,7833,long,1656.8,1659.3300000000002,win,22.000000000002,80.0,2,2012-04-26 16:00:00
7880,7881,7883,long,1665.37,1665.5,loss,-1.9999999999989084,80.0,2,2012-04-30 19:00:00
