signal_bar,entry_bar,exit_bar,entry_price,exit_price,direction,outcome,pnl,bars_held,sl_dist,kelly_w
90102,90103,90107,1.14273,1.142257645046813,long,loss,-0.000472354953187093,4,0.00047235495318700575,2.0
90215,90216,90217,1.14335,1.1440700693108177,long,win,0.0007200693108175837,1,0.0006923743373245918,2.0
90217,90218,90221,1.14447,1.1437278506989397,long,loss,-0.0007421493010604241,3,0.0007421493010604707,2.0
90221,90222,90234,1.1435899999999999,1.1428426521843087,long,loss,-0.0007473478156911906,12,0.0007473478156910804,2.0
90249,90250,90251,1.14738,1.1455972387688482,long,loss,-0.0017827612311518415,1,0.0017827612311518079,2.0
90556,90557,90564,1.13587,1.1353361145931646,long,loss,-0.0005338854068352994,7,0.000533885406835349,1.669039441437362
90593,90594,90594,1.1383,1.138967347670461,long,win,0.0006673476704608383,0,0.0006416804523661483,2.0
90600,90601,90611,1.13796,1.1370593622674392,long,loss,-0.0009006377325608828,10,0.0009006377325609254,2.0
90612,90613,90614,1.13719,1.1362202018244913,long,loss,-0.0009697981755085738,1,0.0009697981755084649,2.0
90708,90709,90709,1.137,1.135742597380903,long,loss,-0.0012574026190970145,0,0.001257402619097088,2.0
90761,90762,90773,1.13678,1.1361205907091825,long,loss,-0.0006594092908174254,11,0.0006594092908174076,2.0
90780,90781,90784,1.13705,1.1365857457520319,long,loss,-0.0004642542479680323,3,0.0004642542479679529,2.0
90786,90787,90788,1.13744,1.1369025993344903,long,loss,-0.0005374006655096686,1,0.0005374006655097734,2.0
90788,90789,90789,1.13709,1.1364926366710655,long,loss,-0.0005973633289344527,0,0.0005973633289344232,2.0
90878,90879,90879,1.13661,1.135962750419093,long,loss,-0.0006472495809068946,0,0.0006472495809070026,1.669039441437362
90879,90880,90880,1.13568,1.1363824460394136,long,win,0.0007024460394136067,0,0.0007024460394136437,1.669039441437362
90880,90881,90887,1.13642,1.1354769822756805,long,loss,-0.0009430177243194837,6,0.0009430177243193918,2.0
91082,91083,91091,1.13412,1.1349566016816441,long,win,0.0008366016816441224,8,0.0008044246938886006,2.0
91310,91311,91312,1.12678,1.1254758876020754,long,loss,-0.001304112397924495,1,0.001304112397924503,2.0
92011,92012,92012,1.0916299999999999,1.092332446302559,long,win,0.0007024463025591121,0,0.0007024463025590703,1.669039441437362
92013,92014,92014,1.09252,1.0916480393805326,long,loss,-0.0008719606194673712,0,0.0008719606194673815,2.0
92014,92015,92020,1.09172,1.0926456362553714,long,win,0.0009256362553713426,5,0.0008900348609339882,2.0
92020,92021,92021,1.09293,1.0937866536319976,long,win,0.0008566536319976059,0,0.0008566536319975132,1.669039441437362
92021,92022,92024,1.09503,1.0940481073417165,long,loss,-0.000981892658283412,2,0.0009818926582834053,1.669039441437362
92024,92025,92025,1.09468,1.0956582646393036,long,win,0.0009782646393035055,0,0.000978264639303445,1.669039441437362
