signal_bar,entry_bar,exit_bar,entry_price,exit_price,direction,outcome,pnl,bars_held,sl_dist,kelly_w
66002,66003,66023,1783.34,1786.078506102592,short,loss,-2.738506102592055,20,2.7385061025920723,1.5439236881906218
66200,66201,66207,1790.78,1795.541078171033,short,loss,-4.7610781710329775,6,4.761078171032944,1.8768500333860971
66209,66210,66213,1795.06,1789.6978120656527,short,win,5.362187934347276,3,4.537235944447629,1.8768500333860971
66214,66215,66216,1782.03,1774.5960738741528,short,win,7.433926125847165,1,6.290245183409092,1.8768500333860971
66217,66218,66239,1777.48,1784.5790148206813,short,loss,-7.099014820681305,21,7.099014820681397,1.8768500333860971
66247,66248,66284,1776.11,1783.6251904277387,short,loss,-7.515190427738844,36,7.51519042773894,1.5439236881906218
66294,66295,66299,1778.23,1780.965514849538,short,loss,-2.735514849538049,4,2.7355148495380615,1.5439236881906218
66312,66313,66315,1775.81,1780.1341326110394,short,loss,-4.324132611039431,2,4.324132611039405,1.5439236881906218
66448,66449,66466,1786.93,1789.8506253292785,short,loss,-2.9206253292784368,17,2.9206253292785136,1.8768500333860971
66713,66714,66719,1785.35,1791.355086081991,short,loss,-6.005086081991067,5,6.0050860819911165,1.8768500333860971
66727,66728,66758,1793.1,1797.4447905082316,short,loss,-4.344790508231654,30,4.344790508231725,1.8768500333860971
66801,66802,66814,1796.87,1800.9939901577966,short,loss,-4.1239901577966975,12,4.123990157796797,1.5439236881906218
66985,66986,67009,1803.27,1808.274104733312,short,loss,-5.004104733312033,23,5.004104733312122,1.5439236881906218
67438,67439,67471,1833.53,1840.1990186877613,short,loss,-6.669018687761309,32,6.669018687761303,1.8768500333860971
68190,68191,68192,1904.87,1899.9801990420408,short,win,4.889800957959096,1,4.334141758190994,1.5439236881906218
68195,68196,68203,1898.1599999999999,1903.2568499306155,short,loss,-5.09684993061569,7,5.0968499306157495,1.8768500333860971
68203,68204,68207,1902.3799999999999,1907.1765868429925,short,loss,-4.79658684299261,3,4.796586842992532,1.8768500333860971
68266,68267,68272,1903.8799999999999,1908.3758009189557,short,loss,-4.495800918955865,5,4.495800918955842,1.8768500333860971
68279,68280,68281,1902.9199999999998,1907.4569146970807,short,loss,-4.536914697080874,1,4.536914697080967,1.8768500333860971
68678,68679,68692,1925.28,1930.3241812956076,short,loss,-5.044181295607586,13,5.044181295607616,1.8768500333860971
68804,68805,68834,1930.3999999999999,1923.6338992522462,short,win,6.766100747753626,29,5.9972256627816005,1.5439236881906218
68875,68876,68881,1927.23,1921.414060141085,short,win,5.815939858915044,5,5.15503760222006,1.5439236881906218
68945,68946,68948,1924.28,1928.2753186684677,short,loss,-3.9953186684676893,2,3.995318668467665,1.5439236881906218
68976,68977,69016,1924.1699999999998,1918.9439132148714,short,win,5.226086785128473,39,4.632213286818429,1.5439236881906218
69257,69258,69305,1917.34,1913.57,short,win,3.769999999999982,47,8.396369539230697,1.8768500333860971
69306,69307,69324,1912.52,1916.5208605922605,short,loss,-4.000860592260551,17,4.000860592260658,1.5439236881906218
69389,69390,69395,1876.05,1880.6335802358478,short,loss,-4.583580235847876,5,4.583580235847899,1.8768500333860971
69399,69400,69424,1873.74,1867.521240985727,short,win,6.218759014273019,24,5.512081853560098,1.5439236881906218
69435,69436,69461,1866.2,1872.2679877192081,short,loss,-6.067987719208077,25,6.0679877192081735,1.8768500333860971
69496,69497,69499,1872.6699999999998,1867.6094192306928,short,win,5.06058076930708,2,4.485514772794846,1.5439236881906218
69502,69503,69517,1869.75,1874.9643238614517,short,loss,-5.214323861451703,14,5.214323861451657,1.5439236881906218
69611,69612,69659,1874.78,1879.36,short,loss,-4.579999999999927,47,6.555266228109806,1.5439236881906218
69721,69722,69762,1860.37,1867.8339861925606,short,loss,-7.4639861925606965,40,7.463986192560763,1.8768500333860971
69819,69820,69838,1861.75,1857.563125023003,short,win,4.186874976996933,18,3.71109372961085,1.5439236881906218
69838,69839,69843,1858.71,1862.3263994080069,short,loss,-3.616399408006828,4,3.6163994080069073,1.8768500333860971
69854,69855,69856,1859.83,1855.0020526960225,short,win,4.827947303977453,1,4.279316928525385,1.5439236881906218
69869,69870,69876,1860.46,1855.3940020194425,short,win,5.06599798055754,6,4.490316391857733,1.5439236881906218
69903,69904,69918,1853.35,1857.4152180566468,short,loss,-4.065218056646927,14,4.0652180566469704,1.8768500333860971
69960,69961,69964,1857.96,1862.0763221941306,short,loss,-4.116322194130589,3,4.116322194130652,1.5439236881906218
69966,69967,69967,1858.54,1848.873667030978,short,win,9.66633296902205,0,8.567886040724074,1.5439236881906218
69967,69968,69970,1849.01,1858.6233941806724,short,loss,-9.613394180672458,2,9.613394180672369,1.5439236881906218
69972,69973,70020,1854.69,1847.63,short,win,7.059999999999945,47,11.569925616975807,1.5439236881906218
70026,70027,70032,1844.73,1839.8728859554324,short,win,4.857114044567652,5,4.10986573001879,1.8768500333860971
70034,70035,70082,1833.51,1835.06,short,loss,-1.5499999999999545,47,5.687324683831626,1.8768500333860971
70128,70129,70148,1838.19,1832.379677364792,short,win,5.810322635207967,19,4.916426845176023,1.8768500333860971
70148,70149,70149,1834.75,1829.3808030452121,short,win,5.369196954787867,0,4.759060937198294,1.5439236881906218
70149,70150,70150,1830.5,1835.9540208702556,short,loss,-5.45402087025559,0,5.454020870255568,1.5439236881906218
70157,70158,70161,1834.28,1840.7270128879347,short,loss,-6.447012887934761,3,6.4470128879347675,1.5439236881906218
70187,70188,70194,1831.37,1826.1763151424739,short,win,5.193684857526023,6,4.603493396443573,1.5439236881906218
70196,70197,70214,1828.48,1822.520086403586,short,win,5.959913596414026,17,5.043003812350266,1.8768500333860971
70218,70219,70225,1820.94,1825.9150668516888,short,loss,-4.97506685168878,6,4.975066851688796,1.8768500333860971
70228,70229,70235,1822.33,1827.4261045693277,short,loss,-5.096104569327736,6,5.0961045693277205,1.5439236881906218
70405,70406,70410,1830.98,1835.4952467637181,short,loss,-4.515246763718096,4,4.515246763718008,1.8768500333860971
70422,70423,70470,1836.29,1835.53,short,win,0.7599999999999909,47,5.951171340157015,1.5439236881906218
70470,70471,70479,1835.31,1837.7742141627702,short,loss,-2.464214162770304,8,2.4642141627702916,1.5439236881906218
70483,70484,70493,1833.02,1836.539151532061,short,loss,-3.5191515320609597,9,3.5191515320608513,1.5439236881906218
70514,70515,70525,1834.3799999999999,1828.196939278336,short,win,6.183060721663878,10,5.4804401851111875,1.5439236881906218
70526,70527,70569,1827.58,1833.6516228396883,short,loss,-6.071622839688416,42,6.071622839688394,1.8768500333860971
