tf,sigset,thr,sl_atr,tp_atr,sl_pip,tp_pip,n,wr,be,lift,z,net_pip
M30,trendflex,0.97,1.87,1.87,40.2,40.2,2945,50.8,50.0,0.8,0.87,-7857.5
M30,trendflex,0.97,1.87,2.24,40.2,48.2,2858,46.5,45.48,1.03,1.1,-6875.8
M30,trendflex,0.97,1.87,2.61,40.2,56.1,2771,43.16,41.74,1.42,1.51,-5408.0
M30,trendflex,0.97,1.53,1.91,32.9,41.1,3016,44.76,44.46,0.3,0.33,-9308.5
M30,trendflex,0.97,2.23,2.68,47.9,57.6,2648,45.92,45.4,0.52,0.54,-7349.7
M30,trendflex,1.17,1.87,1.87,40.2,40.2,2587,51.18,50.0,1.18,1.2,-6046.2
M30,trendflex,1.17,1.87,2.24,40.2,48.2,2521,46.01,45.48,0.54,0.54,-7080.8
M30,trendflex,1.17,1.87,2.61,40.2,56.1,2441,42.56,41.74,0.82,0.82,-6089.1
M30,trendflex,1.17,1.53,1.91,32.9,41.1,2629,44.69,44.46,0.23,0.24,-8188.4
M30,trendflex,1.17,2.23,2.68,47.9,57.6,2362,46.02,45.4,0.62,0.6,-6209.5
M30,trendflex,1.38,1.87,1.87,40.2,40.2,2126,50.66,50.0,0.66,0.61,-5924.4
M30,trendflex,1.38,1.87,2.24,40.2,48.2,2092,46.41,45.48,0.94,0.86,-5207.8
M30,trendflex,1.38,1.87,2.61,40.2,56.1,2048,43.02,41.74,1.27,1.17,-4297.8
M30,trendflex,1.38,1.53,1.91,32.9,41.1,2142,45.47,44.46,1.01,0.94,-5499.5
M30,trendflex,1.38,2.23,2.68,47.9,57.6,1999,46.27,45.4,0.87,0.78,-4812.9
M30,trendflex,1.61,1.87,1.87,40.2,40.2,1646,50.85,50.0,0.85,0.69,-4263.6
M30,trendflex,1.61,1.87,2.24,40.2,48.2,1625,47.08,45.48,1.6,1.3,-3018.9
M30,trendflex,1.61,1.87,2.61,40.2,56.1,1607,43.68,41.74,1.94,1.58,-2259.3
M30,trendflex,1.61,1.53,1.91,32.9,41.1,1645,45.71,44.46,1.25,1.02,-3865.7
M30,trendflex,1.61,2.23,2.68,47.9,57.6,1593,47.52,45.4,2.12,1.7,-1676.9
M30,trendflex,1.83,1.87,1.87,40.2,40.2,1183,52.83,50.0,2.83,1.95,-1184.0
M30,trendflex,1.83,1.87,2.24,40.2,48.2,1180,49.24,45.48,3.76,2.6,56.9
M30,trendflex,1.83,1.87,2.61,40.2,56.1,1177,45.88,41.74,4.13,2.88,829.0
M30,trendflex,1.83,1.53,1.91,32.9,41.1,1186,46.96,44.46,2.51,1.74,-1696.0
M30,trendflex,1.83,2.23,2.68,47.9,57.6,1172,49.83,45.4,4.43,3.04,1612.2
M30,trendflex,2.07,1.87,1.87,40.2,40.2,804,53.36,50.0,3.36,1.9,-482.4
M30,trendflex,2.07,1.87,2.24,40.2,48.2,802,48.13,45.48,2.65,1.51,-764.6
M30,trendflex,2.07,1.87,2.61,40.2,56.1,801,46.07,41.74,4.32,2.48,691.2
M30,trendflex,2.07,1.53,1.91,32.9,41.1,804,47.26,44.46,2.8,1.6,-984.8
M30,trendflex,2.07,2.23,2.68,47.9,57.6,800,49.62,45.4,4.22,2.4,923.5
M30,trendflex,2.31,1.87,1.87,40.2,40.2,520,52.31,50.0,2.31,1.05,-751.2
M30,trendflex,2.31,1.87,2.24,40.2,48.2,520,47.12,45.48,1.64,0.75,-962.0
M30,trendflex,2.31,1.87,2.61,40.2,56.1,520,44.04,41.74,2.29,1.06,-567.3
M30,trendflex,2.31,1.53,1.91,32.9,41.1,520,45.96,44.46,1.5,0.69,-1138.0
M30,trendflex,2.31,2.23,2.68,47.9,57.6,520,49.04,45.4,3.64,1.67,278.5
M30,reflex,0.97,1.87,1.87,40.2,40.2,4093,51.36,50.0,1.36,1.74,-9078.9
M30,reflex,0.97,1.87,2.24,40.2,48.2,3884,46.63,45.48,1.15,1.44,-8903.8
M30,reflex,0.97,1.87,2.61,40.2,56.1,3715,42.77,41.74,1.03,1.27,-8631.9
M30,reflex,0.97,1.53,1.91,32.9,41.1,4307,45.16,44.46,0.7,0.92,-12018.5
M30,reflex,0.97,2.23,2.68,47.9,57.6,3466,45.96,45.4,0.56,0.66,-9517.2
M30,reflex,1.17,1.87,1.87,40.2,40.2,3571,50.46,50.0,0.46,0.55,-10427.5
M30,reflex,1.17,1.87,2.24,40.2,48.2,3418,45.7,45.48,0.22,0.26,-10572.0
M30,reflex,1.17,1.87,2.61,40.2,56.1,3317,42.54,41.74,0.79,0.93,-8400.1
M30,reflex,1.17,1.53,1.91,32.9,41.1,3697,44.28,44.46,-0.18,-0.22,-12670.5
M30,reflex,1.17,2.23,2.68,47.9,57.6,3124,45.36,45.4,-0.04,-0.05,-10479.3
M30,reflex,1.38,1.87,1.87,40.2,40.2,2921,50.26,50.0,0.26,0.28,-9036.3
M30,reflex,1.38,1.87,2.24,40.2,48.2,2826,45.22,45.48,-0.25,-0.27,-9955.8
M30,reflex,1.38,1.87,2.61,40.2,56.1,2748,41.41,41.74,-0.33,-0.35,-9924.8
M30,reflex,1.38,1.53,1.91,32.9,41.1,3005,44.06,44.46,-0.4,-0.44,-10805.0
M30,reflex,1.38,2.23,2.68,47.9,57.6,2629,45.53,45.4,0.13,0.13,-8289.8
M30,reflex,1.61,1.87,1.87,40.2,40.2,2198,50.14,50.0,0.14,0.13,-7012.2
M30,reflex,1.61,1.87,2.24,40.2,48.2,2151,45.33,45.48,-0.15,-0.14,-7378.5
M30,reflex,1.61,1.87,2.61,40.2,56.1,2115,41.94,41.74,0.19,0.18,-6584.4
M30,reflex,1.61,1.53,1.91,32.9,41.1,2244,44.07,44.46,-0.39,-0.37,-8046.8
M30,reflex,1.61,2.23,2.68,47.9,57.6,2043,46.6,45.4,1.2,1.09,-4165.6
M30,reflex,1.83,1.87,1.87,40.2,40.2,1492,50.13,50.0,0.13,0.1,-4762.8
M30,reflex,1.83,1.87,2.24,40.2,48.2,1470,44.42,45.48,-1.05,-0.81,-6219.8
M30,reflex,1.83,1.87,2.61,40.2,56.1,1460,41.58,41.74,-0.17,-0.13,-5055.9
M30,reflex,1.83,1.53,1.91,32.9,41.1,1508,43.37,44.46,-1.09,-0.85,-6193.6
M30,reflex,1.83,2.23,2.68,47.9,57.6,1434,45.89,45.4,0.48,0.37,-4001.8
M30,reflex,2.07,1.87,1.87,40.2,40.2,902,49.22,50.0,-0.78,-0.47,-3539.4
M30,reflex,2.07,1.87,2.24,40.2,48.2,897,43.7,45.48,-1.77,-1.07,-4366.7
M30,reflex,2.07,1.87,2.61,40.2,56.1,895,41.12,41.74,-0.63,-0.38,-3494.1
M30,reflex,2.07,1.53,1.91,32.9,41.1,907,42.56,44.46,-1.9,-1.15,-4269.4
M30,reflex,2.07,2.23,2.68,47.9,57.6,886,45.37,45.4,-0.03,-0.02,-2952.2
M30,reflex,2.31,1.87,1.87,40.2,40.2,493,49.49,50.0,-0.51,-0.23,-1827.9
M30,reflex,2.31,1.87,2.24,40.2,48.2,491,43.58,45.48,-1.89,-0.84,-2440.9
M30,reflex,2.31,1.87,2.61,40.2,56.1,490,40.82,41.74,-0.93,-0.42,-2055.0
M30,reflex,2.31,1.53,1.91,32.9,41.1,493,42.6,44.46,-1.86,-0.83,-2306.6
M30,reflex,2.31,2.23,2.68,47.9,57.6,489,44.99,45.4,-0.41,-0.18,-1826.8
M30,union,0.97,1.87,1.87,40.2,40.2,5259,50.48,50.0,0.48,0.7,-15332.9
M30,union,0.97,1.87,2.24,40.2,48.2,4931,46.14,45.48,0.66,0.93,-13424.9
M30,union,0.97,1.87,2.61,40.2,56.1,4628,42.65,41.74,0.91,1.25,-11266.1
M30,union,0.97,1.53,1.91,32.9,41.1,5567,44.39,44.46,-0.07,-0.11,-18700.7
M30,union,0.97,2.23,2.68,47.9,57.6,4290,45.8,45.4,0.4,0.53,-12454.2
M30,union,1.17,1.87,1.87,40.2,40.2,4650,50.56,50.0,0.56,0.76,-13215.9
M30,union,1.17,1.87,2.24,40.2,48.2,4402,46.05,45.48,0.57,0.76,-12261.5
M30,union,1.17,1.87,2.61,40.2,56.1,4195,42.86,41.74,1.12,1.47,-9316.5
M30,union,1.17,1.53,1.91,32.9,41.1,4861,43.96,44.46,-0.5,-0.7,-17798.8
M30,union,1.17,2.23,2.68,47.9,57.6,3899,45.68,45.4,0.28,0.35,-11748.8
M30,union,1.38,1.87,1.87,40.2,40.2,3916,50.2,50.0,0.2,0.26,-12313.8
M30,union,1.38,1.87,2.24,40.2,48.2,3727,45.61,45.48,0.14,0.17,-11886.7
M30,union,1.38,1.87,2.61,40.2,56.1,3570,41.71,41.74,-0.04,-0.04,-11930.6
M30,union,1.38,1.53,1.91,32.9,41.1,4060,44.58,44.46,0.12,0.16,-13067.1
M30,union,1.38,2.23,2.68,47.9,57.6,3368,45.52,45.4,0.11,0.13,-10730.2
M30,union,1.61,1.87,1.87,40.2,40.2,2997,49.92,50.0,-0.08,-0.09,-10048.5
M30,union,1.61,1.87,2.24,40.2,48.2,2878,45.62,45.48,0.15,0.16,-9081.2
M30,union,1.61,1.87,2.61,40.2,56.1,2791,42.28,41.74,0.53,0.57,-7731.9
