n,wr,be,lift,z,sl_pip,tp_pip,net_pip,tf,ind,thr,mode,sl_atr,tp_atr
21774,47.71,50.0,-2.29,-6.76,10.2,10.2,-82033.8,M5,trendflex,0.83,continuation,1.31,1.31
21309,43.05,44.74,-1.68,-4.95,10.2,12.6,-78504.3,M5,trendflex,0.83,continuation,1.31,1.62
19528,48.49,50.0,-1.51,-4.21,14.6,14.6,-73027.2,M5,trendflex,0.83,continuation,1.87,1.87
18854,44.19,45.48,-1.29,-3.56,14.6,17.5,-70019.0,M5,trendflex,0.83,continuation,1.87,2.24
21774,50.3,50.0,0.3,0.88,10.2,10.2,-70528.2,M5,trendflex,0.83,reversion,1.31,1.31
21221,45.39,44.74,0.65,1.91,10.2,12.6,-66873.9,M5,trendflex,0.83,reversion,1.31,1.62
19528,50.77,50.0,0.77,2.16,14.6,14.6,-60033.2,M5,trendflex,0.83,reversion,1.87,1.87
18638,46.72,45.48,1.23,3.38,14.6,17.5,-54125.5,M5,trendflex,0.83,reversion,1.87,2.24
16709,47.5,50.0,-2.5,-6.46,10.2,10.2,-63656.7,M5,trendflex,1.17,continuation,1.31,1.31
16469,42.72,44.74,-2.01,-5.2,10.2,12.6,-61910.7,M5,trendflex,1.17,continuation,1.31,1.62
15697,48.1,50.0,-1.9,-4.75,14.6,14.6,-60487.1,M5,trendflex,1.17,continuation,1.87,1.87
15243,43.76,45.48,-1.73,-4.28,14.6,17.5,-58742.7,M5,trendflex,1.17,continuation,1.87,2.24
16709,50.18,50.0,0.18,0.46,10.2,10.2,-54537.9,M5,trendflex,1.17,reversion,1.31,1.31
16518,45.45,44.74,0.72,1.85,10.2,12.6,-51810.6,M5,trendflex,1.17,reversion,1.31,1.62
15697,51.0,50.0,1.0,2.51,14.6,14.6,-47201.1,M5,trendflex,1.17,reversion,1.87,1.87
15260,46.61,45.48,1.13,2.8,14.6,17.5,-44830.1,M5,trendflex,1.17,reversion,1.87,2.24
12327,47.59,50.0,-2.41,-5.36,10.2,10.2,-46748.1,M5,trendflex,1.46,continuation,1.31,1.31
12234,42.78,44.74,-1.95,-4.35,10.2,12.6,-45823.8,M5,trendflex,1.46,continuation,1.31,1.62
11918,48.49,50.0,-1.51,-3.3,14.6,14.6,-44585.4,M5,trendflex,1.46,continuation,1.87,1.87
11691,44.56,45.48,-0.93,-2.01,14.6,17.5,-42060.0,M5,trendflex,1.46,continuation,1.87,2.24
12327,49.57,50.0,-0.43,-0.95,10.2,10.2,-41750.1,M5,trendflex,1.46,reversion,1.31,1.31
12268,44.84,44.74,0.1,0.23,10.2,12.6,-40195.2,M5,trendflex,1.46,reversion,1.31,1.62
11918,50.42,50.0,0.42,0.92,14.6,14.6,-37869.4,M5,trendflex,1.46,reversion,1.87,1.87
11729,46.21,45.48,0.73,1.58,14.6,17.5,-35969.1,M5,trendflex,1.46,reversion,1.87,2.24
8628,47.0,50.0,-3.0,-5.58,10.2,10.2,-33756.0,M5,trendflex,1.73,continuation,1.31,1.31
8604,42.55,44.74,-2.19,-4.08,10.2,12.6,-32683.2,M5,trendflex,1.73,continuation,1.31,1.62
8512,48.81,50.0,-1.19,-2.19,14.6,14.6,-31038.8,M5,trendflex,1.73,continuation,1.87,1.87
8430,44.83,45.48,-0.65,-1.21,14.6,17.5,-29591.1,M5,trendflex,1.73,continuation,1.87,2.24
