signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
382,383,453,long,1229.47,1221.76,loss,-80.40000000000036,77.1,70
553,554,602,short,1214.85,1222.56,loss,-80.40000000000036,77.1,48
918,919,1062,long,1245.4,1244.58,loss,-11.500000000001638,77.1,143
1143,1144,1189,short,1234.38,1242.0900000000001,loss,-80.40000000000036,77.1,45
1333,1334,1380,long,1262.56,1254.85,loss,-80.40000000000036,77.1,46
2172,2173,2316,short,1284.43,1285.4,loss,-13.000000000000274,77.1,143
2402,2403,2416,long,1291.14,1300.4,win,89.29999999999991,77.1,13
2776,2777,2857,short,1307.23,1314.94,loss,-80.40000000000036,77.1,80
3446,3447,3517,short,1321.31,1312.05,win,89.29999999999991,77.1,70
3544,3545,3579,short,1292.77,1283.51,win,89.29999999999991,77.1,34
3746,3747,3863,long,1292.7,1301.96,win,89.29999999999991,77.1,116
4138,4139,4180,long,1315.09,1307.3799999999999,loss,-80.40000000000036,77.1,41
4403,4404,4409,short,1300.3,1291.04,win,89.29999999999991,77.1,5
4634,4635,4642,short,1282.55,1290.26,loss,-80.40000000000036,77.1,7
4723,4724,4861,long,1303.19,1295.48,loss,-80.40000000000036,77.1,137
4870,4871,4996,short,1290.11,1280.85,win,89.29999999999991,77.1,125
4998,4999,5142,short,1274.74,1274.35,win,0.6000000000010006,77.1,143
5181,5182,5232,short,1267.6,1275.31,loss,-80.40000000000036,77.1,50
5275,5276,5419,long,1281.84,1284.03,win,18.600000000000545,77.1,143
5820,5821,5957,long,1298.66,1290.95,loss,-80.40000000000036,77.1,136
5961,5962,6006,short,1287.24,1277.98,win,89.29999999999991,77.1,44
6007,6008,6151,short,1275.91,1273.66,win,19.2,77.1,143
6184,6185,6328,long,1282.85,1279.57,loss,-36.099999999999724,77.1,143
6896,6897,6909,long,1355.22,1347.51,loss,-80.40000000000036,77.1,12
7059,7060,7066,long,1360.15,1369.41,win,89.29999999999991,77.1,6
7382,7383,7396,short,1391.98,1382.72,win,89.29999999999991,77.1,13
7731,7732,7741,long,1414.64,1423.9,win,89.29999999999991,77.1,9
7741,7742,7766,long,1425.18,1417.47,loss,-80.40000000000036,77.1,24
8007,8008,8028,long,1445.13,1437.42,loss,-80.40000000000036,77.1,20
8425,8426,8455,short,1407.84,1415.55,loss,-80.40000000000036,77.1,29
8792,8793,8804,long,1517.58,1526.84,win,89.29999999999991,77.1,11
8804,8805,8814,long,1525.76,1518.05,loss,-80.40000000000036,77.1,9
9183,9184,9185,long,1512.98,1522.24,win,89.29999999999991,77.1,1
9495,9496,9523,long,1546.24,1538.53,loss,-80.40000000000036,77.1,27
9809,9810,9813,long,1517.32,1509.61,loss,-80.40000000000036,77.1,3
10097,10098,10132,long,1515.72,1524.98,win,89.29999999999991,77.1,34
10713,10714,10750,short,1482.58,1490.29,loss,-80.40000000000036,77.1,36
11128,11129,11170,long,1501.5,1510.76,win,89.29999999999991,77.1,41
11355,11356,11399,long,1511.72,1504.01,loss,-80.40000000000036,77.1,43
11489,11490,11491,short,1499.71,1490.45,win,89.29999999999991,77.1,1
11589,11590,11595,short,1461.37,1469.08,loss,-80.40000000000036,77.1,5
12311,12312,12334,long,1464.06,1456.35,loss,-80.40000000000036,77.1,22
