tf,ind,thr,mode,sl_atr,tp_atr,sl,tp,n,alpha,z_alpha,net,L,S
M30,zscore_fib_55,2.17,reversion,1.87,1.87,40.2,40.2,2229,-2.99,-2.83,-13799.5,"(1169, 46.45, -2.13, np.float64(-1.46))","(1060, 46.32, -3.94, np.float64(-2.57))"
M30,zscore_fib_55,2.17,reversion,1.87,2.24,40.2,48.2,2186,-2.99,-2.82,-13999.8,"(1141, 41.37, -2.69, np.float64(-1.83))","(1045, 42.58, -3.33, np.float64(-2.16))"
M30,zscore_fib_55,2.17,reversion,2.23,2.68,47.9,57.6,2056,-2.35,-2.14,-12285.6,"(1074, 42.36, -1.76, np.float64(-1.16))","(982, 43.38, -3.0, np.float64(-1.88))"
M30,zscore_fib_55,2.17,reversion,1.53,1.91,32.9,41.1,2307,-1.79,-1.72,-11437.4,"(1197, 42.02, -1.21, np.float64(-0.84))","(1110, 42.43, -2.41, np.float64(-1.61))"
M30,zscore_fib_55,2.17,continuation,1.87,1.87,40.2,40.2,2229,2.89,2.73,-3163.1,"(1060, 52.64, 4.06, np.float64(2.64))","(1169, 52.1, 1.83, np.float64(1.25))"
M30,zscore_fib_55,2.17,continuation,1.87,2.24,40.2,48.2,2145,3.27,3.05,-1761.5,"(1025, 48.88, 4.82, np.float64(3.11))","(1120, 47.77, 1.86, np.float64(1.25))"
M30,zscore_fib_55,2.17,continuation,2.23,2.68,47.9,57.6,2016,3.13,2.82,-297.0,"(980, 47.86, 3.73, np.float64(2.35))","(1036, 48.94, 2.56, np.float64(1.65))"
M30,zscore_fib_55,2.17,continuation,1.53,1.91,32.9,41.1,2263,2.81,2.7,-3435.9,"(1078, 47.12, 3.89, np.float64(2.58))","(1185, 46.67, 1.83, np.float64(1.27))"
M30,zscore_fib_55,2.63,reversion,1.87,1.87,40.2,40.2,1487,-4.62,-3.56,-11176.8,"(820, 45.49, -3.1, np.float64(-1.77))","(667, 43.78, -6.49, np.float64(-3.35))"
M30,zscore_fib_55,2.63,reversion,1.87,2.24,40.2,48.2,1476,-4.24,-3.27,-11124.3,"(812, 40.89, -3.17, np.float64(-1.82))","(664, 40.36, -5.55, np.float64(-2.87))"
M30,zscore_fib_55,2.63,reversion,2.23,2.68,47.9,57.6,1428,-2.57,-1.94,-8900.8,"(782, 43.61, -0.52, np.float64(-0.29))","(646, 41.33, -5.05, np.float64(-2.57))"
M30,zscore_fib_55,2.63,reversion,1.53,1.91,32.9,41.1,1523,-2.98,-2.35,-8922.2,"(838, 41.17, -2.06, np.float64(-1.21))","(685, 40.73, -4.11, np.float64(-2.16))"
M30,zscore_fib_55,2.63,continuation,1.87,1.87,40.2,40.2,1487,4.02,3.11,-647.4,"(667, 55.02, 6.44, np.float64(3.33))","(820, 52.32, 2.05, np.float64(1.18))"
M30,zscore_fib_55,2.63,continuation,1.87,2.24,40.2,48.2,1452,3.83,2.94,-359.3,"(657, 51.29, 7.24, np.float64(3.74))","(795, 46.92, 1.01, np.float64(0.57))"
M30,zscore_fib_55,2.63,continuation,2.23,2.68,47.9,57.6,1397,4.25,3.19,1650.4,"(634, 50.79, 6.66, np.float64(3.38))","(763, 48.62, 2.25, np.float64(1.24))"
M30,zscore_fib_55,2.63,continuation,1.53,1.91,32.9,41.1,1495,4.05,3.15,-807.6,"(675, 48.59, 5.36, np.float64(2.81))","(820, 47.8, 2.97, np.float64(1.71))"
M30,zscore_fib_55,3.08,reversion,1.87,1.87,40.2,40.2,947,-5.43,-3.34,-7771.6,"(508, 45.47, -3.11, np.float64(-1.4))","(439, 42.14, -8.12, np.float64(-3.4))"
M30,zscore_fib_55,3.08,reversion,1.87,2.24,40.2,48.2,943,-4.83,-2.98,-7636.8,"(507, 41.62, -2.44, np.float64(-1.11))","(436, 38.3, -7.61, np.float64(-3.19))"
