tf,fam,sl_atr,tp_atr,sl,tp,n,alpha,z_alpha,net,L,S
M30,marubozu,1.87,1.87,53.6,53.6,452,2.29,0.97,-591.9,"(226, 49.56, 0.25, np.float64(0.07))","(226, 53.98, 4.33, np.float64(1.3))"
M30,marubozu,1.87,2.24,53.6,64.2,435,1.57,0.66,-670.3,"(222, 44.14, -1.38, np.float64(-0.41))","(213, 49.77, 4.64, np.float64(1.36))"
M30,marubozu,2.23,2.68,63.9,76.8,411,0.74,0.31,-1296.5,"(212, 43.4, -2.21, np.float64(-0.65))","(199, 47.74, 3.89, np.float64(1.11))"
M30,marubozu,1.53,1.91,43.9,54.7,457,2.41,1.04,-765.8,"(227, 43.61, -0.27, np.float64(-0.08))","(230, 48.7, 5.06, np.float64(1.55))"
M30,engulf,1.87,1.87,53.6,53.6,2899,-1.95,-2.1,-17155.2,"(1441, 48.99, -0.32, np.float64(-0.24))","(1458, 46.09, -3.56, np.float64(-2.72))"
M30,engulf,1.87,2.24,53.6,64.2,2663,-2.06,-2.14,-15766.9,"(1322, 43.95, -1.58, np.float64(-1.15))","(1341, 42.58, -2.54, np.float64(-1.87))"
M30,engulf,2.23,2.68,63.9,76.8,2209,-1.22,-1.16,-13236.2,"(1101, 44.05, -1.56, np.float64(-1.04))","(1108, 42.96, -0.89, np.float64(-0.6))"
M30,engulf,1.53,1.91,43.9,54.7,3124,-1.66,-1.88,-17855.8,"(1554, 43.69, -0.18, np.float64(-0.15))","(1570, 40.51, -3.13, np.float64(-2.5))"
M30,3whitesoldiers,1.87,1.87,53.6,53.6,3482,-0.97,-1.15,-17170.9,"(1759, 49.8, 0.49, np.float64(0.41))","(1723, 47.19, -2.47, np.float64(-2.05))"
M30,3whitesoldiers,1.87,2.24,53.6,64.2,3139,-0.76,-0.85,-13944.6,"(1581, 46.11, 0.58, np.float64(0.47))","(1558, 43.0, -2.12, np.float64(-1.68))"
M30,3whitesoldiers,2.23,2.68,63.9,76.8,2584,-0.13,-0.13,-11535.4,"(1320, 45.83, 0.23, np.float64(0.16))","(1264, 43.35, -0.5, np.float64(-0.35))"
M30,3whitesoldiers,1.53,1.91,43.9,54.7,3763,-0.55,-0.68,-17252.0,"(1905, 44.41, 0.53, np.float64(0.47))","(1858, 41.98, -1.66, np.float64(-1.44))"
M30,beltuphold,1.87,1.87,53.6,53.6,878,0.64,0.38,-2758.1,"(463, 53.56, 4.25, np.float64(1.83))","(415, 46.27, -3.39, np.float64(-1.38))"
M30,beltuphold,1.87,2.24,53.6,64.2,845,-0.24,-0.14,-3177.2,"(441, 47.85, 2.32, np.float64(0.98))","(404, 42.08, -3.04, np.float64(-1.23))"
M30,beltuphold,2.23,2.68,63.9,76.8,785,0.06,0.04,-3229.4,"(414, 47.58, 1.98, np.float64(0.81))","(371, 41.78, -2.07, np.float64(-0.8))"
M30,beltuphold,1.53,1.91,43.9,54.7,916,0.13,0.08,-3569.3,"(474, 47.47, 3.59, np.float64(1.58))","(442, 40.05, -3.59, np.float64(-1.52))"
H1,marubozu,1.87,1.87,77.7,77.7,182,2.24,0.6,-153.4,"(94, 59.57, 8.91, np.float64(1.73))","(88, 43.18, -4.88, np.float64(-0.92))"
H1,marubozu,1.87,2.24,77.7,93.0,181,3.07,0.82,75.8,"(93, 55.91, 9.41, np.float64(1.82))","(88, 39.77, -3.63, np.float64(-0.69))"
H1,marubozu,2.23,2.68,92.6,111.3,173,3.78,0.99,631.7,"(90, 56.67, 10.01, np.float64(1.9))","(83, 40.96, -2.97, np.float64(-0.55))"
H1,marubozu,1.53,1.91,63.5,79.3,183,2.8,0.77,-229.2,"(95, 52.63, 8.39, np.float64(1.65))","(88, 38.64, -3.22, np.float64(-0.61))"
H1,engulf,1.87,1.87,77.7,77.7,1469,1.39,1.06,-3249.7,"(752, 53.46, 2.8, np.float64(1.53))","(717, 47.98, -0.09, np.float64(-0.05))"
H1,engulf,1.87,2.24,77.7,93.0,1359,1.66,1.23,-2228.3,"(697, 48.92, 2.42, np.float64(1.28))","(662, 44.26, 0.86, np.float64(0.45))"
H1,engulf,2.23,2.68,92.6,111.3,1137,0.3,0.2,-3661.5,"(590, 46.95, 0.3, np.float64(0.14))","(547, 44.24, 0.3, np.float64(0.14))"
H1,engulf,1.53,1.91,63.5,79.3,1608,1.7,1.38,-4754.0,"(820, 45.12, 0.88, np.float64(0.51))","(788, 44.42, 2.56, np.float64(1.45))"
H1,3whitesoldiers,1.87,1.87,77.7,77.7,1771,0.3,0.25,-6660.1,"(903, 52.05, 1.39, np.float64(0.83))","(868, 47.24, -0.83, np.float64(-0.49))"
H1,3whitesoldiers,1.87,2.24,77.7,93.0,1578,0.01,0.01,-6639.3,"(804, 47.26, 0.76, np.float64(0.43))","(774, 42.64, -0.76, np.float64(-0.43))"
H1,3whitesoldiers,2.23,2.68,92.6,111.3,1320,2.18,1.59,512.0,"(673, 50.67, 4.01, np.float64(2.09))","(647, 44.2, 0.27, np.float64(0.14))"
H1,3whitesoldiers,1.53,1.91,63.5,79.3,1912,1.53,1.35,-6181.7,"(978, 47.75, 3.51, np.float64(2.21))","(934, 41.33, -0.53, np.float64(-0.33))"
H1,beltuphold,1.87,1.87,77.7,77.7,364,-1.73,-0.66,-2461.2,"(206, 50.49, -0.17, np.float64(-0.05))","(158, 44.3, -3.76, np.float64(-0.95))"
H1,beltuphold,1.87,2.24,77.7,93.0,355,-0.38,-0.14,-1659.0,"(202, 46.53, 0.03, np.float64(0.01))","(153, 42.48, -0.92, np.float64(-0.23))"
H1,beltuphold,2.23,2.68,92.6,111.3,328,3.89,1.41,1523.6,"(189, 50.79, 4.14, np.float64(1.14))","(139, 47.48, 3.54, np.float64(0.84))"
H1,beltuphold,1.53,1.91,63.5,79.3,378,-1.94,-0.76,-3145.1,"(214, 43.93, -0.32, np.float64(-0.09))","(164, 37.8, -4.05, np.float64(-1.05))"
