tf,sig,sl_atr,tp_atr,sl,tp,n,alpha,z_alpha,two_sided,net,L,S
M30,elder_impulse,1.87,1.87,53.6,53.6,3453,0.54,0.63,False,-11393.0,"(1760, 50.91, 1.6, np.float64(1.34))","(1693, 49.08, -0.57, np.float64(-0.47))"
M30,elder_impulse,1.87,2.24,53.6,64.2,3129,-0.65,-0.73,False,-13423.0,"(1582, 45.26, -0.27, np.float64(-0.21))","(1547, 44.09, -1.04, np.float64(-0.82))"
M30,elder_impulse,2.23,2.68,63.9,76.8,2562,0.07,0.07,False,-10510.5,"(1299, 45.11, -0.5, np.float64(-0.36))","(1263, 44.5, 0.65, np.float64(0.46))"
M30,elder_impulse,1.53,1.91,43.9,54.7,3864,0.44,0.56,False,-13972.0,"(1971, 45.0, 1.12, np.float64(1.01))","(1893, 43.37, -0.27, np.float64(-0.23))"
M30,er11@0.31,1.87,1.87,53.6,53.6,2538,-0.82,-0.82,False,-11961.8,"(1317, 49.28, -0.03, np.float64(-0.02))","(1221, 47.99, -1.66, np.float64(-1.16))"
M30,er11@0.31,1.87,2.24,53.6,64.2,2361,-0.99,-0.97,False,-10876.1,"(1221, 44.96, -0.56, np.float64(-0.4))","(1140, 43.68, -1.44, np.float64(-0.98))"
M30,er11@0.31,2.23,2.68,63.9,76.8,2005,-0.12,-0.11,False,-8702.6,"(1032, 45.74, 0.13, np.float64(0.08))","(973, 43.47, -0.38, np.float64(-0.24))"
M30,er11@0.31,1.53,1.91,43.9,54.7,2740,-0.59,-0.62,False,-12646.2,"(1427, 44.29, 0.41, np.float64(0.31))","(1313, 41.96, -1.67, np.float64(-1.22))"
M30,er11@0.42,1.87,1.87,53.6,53.6,2253,-0.74,-0.7,False,-10392.7,"(1175, 50.38, 1.07, np.float64(0.74))","(1078, 46.94, -2.72, np.float64(-1.78))"
M30,er11@0.42,1.87,2.24,53.6,64.2,2110,-0.36,-0.33,False,-8084.2,"(1095, 46.58, 1.05, np.float64(0.7))","(1015, 43.25, -1.87, np.float64(-1.2))"
M30,er11@0.42,2.23,2.68,63.9,76.8,1805,-0.66,-0.57,False,-9249.4,"(934, 46.36, 0.75, np.float64(0.46))","(871, 41.68, -2.17, np.float64(-1.29))"
M30,er11@0.42,1.53,1.91,43.9,54.7,2367,-0.37,-0.37,False,-10425.3,"(1227, 45.15, 1.27, np.float64(0.9))","(1140, 41.49, -2.15, np.float64(-1.46))"
M30,er11@0.53,1.87,1.87,53.6,53.6,1698,-1.24,-1.03,False,-8730.5,"(887, 50.96, 1.65, np.float64(0.98))","(811, 45.25, -4.4, np.float64(-2.51))"
M30,er11@0.53,1.87,2.24,53.6,64.2,1614,-1.71,-1.38,False,-8767.6,"(836, 46.05, 0.53, np.float64(0.31))","(778, 41.0, -4.12, np.float64(-2.31))"
M30,er11@0.53,2.23,2.68,63.9,76.8,1463,-0.48,-0.37,False,-6971.5,"(767, 45.11, -0.5, np.float64(-0.28))","(696, 43.39, -0.46, np.float64(-0.24))"
M30,er11@0.53,1.53,1.91,43.9,54.7,1779,-0.37,-0.31,False,-7814.7,"(925, 45.73, 1.85, np.float64(1.14))","(854, 40.87, -2.77, np.float64(-1.63))"
M30,er18@0.31,1.87,1.87,53.6,53.6,1893,-0.93,-0.81,False,-9230.4,"(979, 49.64, 0.33, np.float64(0.21))","(914, 47.37, -2.28, np.float64(-1.38))"
M30,er18@0.31,1.87,2.24,53.6,64.2,1805,-0.62,-0.53,False,-7694.1,"(931, 45.44, -0.09, np.float64(-0.06))","(874, 43.94, -1.19, np.float64(-0.7))"
M30,er18@0.31,2.23,2.68,63.9,76.8,1575,0.76,0.61,False,-5115.8,"(818, 45.35, -0.25, np.float64(-0.15))","(757, 45.71, 1.86, np.float64(1.03))"
M30,er18@0.31,1.53,1.91,43.9,54.7,1995,-0.55,-0.49,False,-9233.1,"(1025, 44.59, 0.71, np.float64(0.46))","(970, 41.75, -1.88, np.float64(-1.18))"
M30,er18@0.42,1.87,1.87,53.6,53.6,1376,-0.49,-0.36,False,-6041.9,"(736, 49.46, 0.15, np.float64(0.08))","(640, 48.44, -1.22, np.float64(-0.62))"
M30,er18@0.42,1.87,2.24,53.6,64.2,1311,-0.64,-0.47,False,-5576.0,"(688, 46.08, 0.55, np.float64(0.29))","(623, 43.18, -1.94, np.float64(-0.98))"
M30,er18@0.42,2.23,2.68,63.9,76.8,1203,-0.21,-0.15,False,-5319.4,"(624, 46.47, 0.87, np.float64(0.43))","(579, 42.49, -1.36, np.float64(-0.66))"
M30,er18@0.42,1.53,1.91,43.9,54.7,1423,-0.9,-0.68,False,-7019.6,"(755, 43.71, -0.17, np.float64(-0.09))","(668, 41.92, -1.72, np.float64(-0.9))"
M30,er18@0.53,1.87,1.87,53.6,53.6,799,3.23,1.83,False,-356.6,"(448, 56.25, 6.94, np.float64(2.94))","(351, 48.15, -1.51, np.float64(-0.56))"
M30,er18@0.53,1.87,2.24,53.6,64.2,776,3.49,1.95,True,505.4,"(432, 51.39, 5.86, np.float64(2.45))","(344, 45.64, 0.52, np.float64(0.19))"
M30,er18@0.53,2.23,2.68,63.9,76.8,734,3.68,2.0,True,796.4,"(407, 51.35, 5.74, np.float64(2.33))","(327, 44.95, 1.1, np.float64(0.4))"
M30,er18@0.53,1.53,1.91,43.9,54.7,812,3.15,1.81,False,-759.8,"(459, 49.46, 5.58, np.float64(2.41))","(353, 43.63, -0.01, np.float64(-0.0))"
M30,er29@0.31,1.87,1.87,53.6,53.6,1200,1.19,0.83,False,-3049.6,"(628, 53.03, 3.72, np.float64(1.86))","(572, 48.08, -1.58, np.float64(-0.75))"
M30,er29@0.31,1.87,2.24,53.6,64.2,1134,1.49,1.01,False,-2025.5,"(594, 48.82, 3.29, np.float64(1.61))","(540, 44.63, -0.49, np.float64(-0.23))"
M30,er29@0.31,2.23,2.68,63.9,76.8,1032,1.65,1.06,False,-2054.2,"(539, 49.54, 3.93, np.float64(1.83))","(493, 43.0, -0.85, np.float64(-0.38))"
M30,er29@0.31,1.53,1.91,43.9,54.7,1231,1.73,1.22,False,-2844.1,"(645, 47.44, 3.56, np.float64(1.82))","(586, 43.34, -0.29, np.float64(-0.14))"
M30,er29@0.42,1.87,1.87,53.6,53.6,652,3.14,1.6,True,-276.4,"(362, 52.76, 3.45, np.float64(1.31))","(290, 52.41, 2.76, np.float64(0.94))"
M30,er29@0.42,1.87,2.24,53.6,64.2,626,3.85,1.94,True,672.1,"(347, 48.99, 3.46, np.float64(1.3))","(279, 49.46, 4.34, np.float64(1.46))"
M30,er29@0.42,2.23,2.68,63.9,76.8,586,5.02,2.45,True,1615.7,"(320, 49.38, 3.77, np.float64(1.35))","(266, 50.38, 6.53, np.float64(2.15))"
M30,er29@0.42,1.53,1.91,43.9,54.7,662,4.57,2.37,True,305.6,"(367, 48.5, 4.62, np.float64(1.78))","(295, 48.14, 4.5, np.float64(1.56))"
M30,er29@0.53,1.87,1.87,53.6,53.6,244,5.88,1.84,True,538.7,"(144, 55.56, 6.25, np.float64(1.5))","(100, 55.0, 5.35, np.float64(1.07))"
