signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
15,16,37,short,1698.75,1712.73,loss,-143.1000000000002,139.8,21
40,41,84,long,1716.02,1702.04,loss,-143.1000000000002,139.8,43
94,95,106,short,1694.97,1708.95,loss,-143.1000000000002,139.8,11
148,149,151,long,1726.71,1712.73,loss,-143.1000000000002,139.8,2
234,235,243,short,1688.71,1671.91,win,164.69999999999953,139.8,8
438,439,446,short,1623.28,1637.26,loss,-143.1000000000002,139.8,7
455,456,462,long,1657.45,1643.47,loss,-143.1000000000002,139.8,6
523,524,539,long,1700.26,1717.06,win,164.69999999999953,139.8,15
541,542,557,long,1723.12,1709.1399999999999,loss,-143.1000000000002,139.8,15
576,577,585,long,1723.02,1709.04,loss,-143.1000000000002,139.8,8
622,623,630,short,1685.11,1668.31,win,164.69999999999953,139.8,7
741,742,782,long,1657.82,1643.84,loss,-143.1000000000002,139.8,40
787,788,829,short,1635.09,1618.29,win,164.69999999999953,139.8,41
841,842,875,long,1657.69,1643.71,loss,-143.1000000000002,139.8,33
991,992,1022,long,1650.81,1667.61,win,164.69999999999953,139.8,30
1054,1055,1063,long,1646.66,1663.46,win,164.69999999999953,139.8,8
1073,1074,1110,long,1672.2,1689.0,win,164.69999999999953,139.8,36
1156,1157,1183,long,1750.75,1767.55,win,164.69999999999953,139.8,26
1372,1373,1426,long,1756.17,1742.19,loss,-143.1000000000002,139.8,53
1485,1486,1493,long,1782.5,1799.3,win,164.69999999999953,139.8,7
1495,1496,1515,long,1802.23,1788.25,loss,-143.1000000000002,139.8,19
1540,1541,1584,short,1773.18,1787.16,loss,-143.1000000000002,139.8,43
1774,1775,1783,short,1787.08,1801.06,loss,-143.1000000000002,139.8,8
1794,1795,1835,long,1818.5,1804.52,loss,-143.1000000000002,139.8,40
2055,2056,2127,long,1877.8,1884.17,win,60.400000000001185,139.8,71
2251,2252,2284,long,1933.09,1919.11,loss,-143.1000000000002,139.8,32
2333,2334,2339,short,1925.78,1939.76,loss,-143.1000000000002,139.8,5
2349,2350,2358,long,1946.48,1932.5,loss,-143.1000000000002,139.8,8
2481,2482,2495,short,1914.95,1898.15,win,164.69999999999953,139.8,13
2600,2601,2604,short,1853.94,1867.92,loss,-143.1000000000002,139.8,3
2718,2719,2725,short,1822.26,1836.24,loss,-143.1000000000002,139.8,6
2738,2739,2795,long,1843.9,1829.92,loss,-143.1000000000002,139.8,56
2797,2798,2848,short,1824.87,1808.07,win,164.69999999999953,139.8,50
2894,2895,2948,long,1831.01,1847.81,win,164.69999999999953,139.8,53
2997,2998,3042,short,1817.68,1831.66,loss,-143.1000000000002,139.8,44
3043,3044,3065,long,1828.67,1845.47,win,164.69999999999953,139.8,21
3093,3094,3109,long,1913.15,1899.17,loss,-143.1000000000002,139.8,15
3180,3181,3184,long,1962.16,1978.96,win,164.69999999999953,139.8,3
3227,3228,3253,short,1948.06,1962.04,loss,-143.1000000000002,139.8,25
3348,3349,3357,long,1972.88,1958.9,loss,-143.1000000000002,139.8,8
3434,3435,3455,long,1986.91,2003.71,win,164.69999999999953,139.8,20
3456,3457,3500,long,2020.15,2006.17,loss,-143.1000000000002,139.8,43
3538,3539,3558,long,1998.99,2015.79,win,164.69999999999953,139.8,19
3560,3561,3568,long,2020.32,2006.34,loss,-143.1000000000002,139.8,7
3652,3653,3678,long,2000.47,1986.49,loss,-143.1000000000002,139.8,25
3678,3679,3684,short,1979.97,1993.95,loss,-143.1000000000002,139.8,5
3860,3861,3864,short,1977.23,1991.21,loss,-143.1000000000002,139.8,3
3956,3957,3970,short,2010.35,2024.33,loss,-143.1000000000002,139.8,13
4225,4226,4233,short,1959.75,1973.73,loss,-143.1000000000002,139.8,7
4284,4285,4293,short,1942.1,1956.08,loss,-143.1000000000002,139.8,8
4381,4382,4389,short,1961.5,1975.48,loss,-143.1000000000002,139.8,7
4414,4415,4455,short,1952.21,1966.19,loss,-143.1000000000002,139.8,40
4610,4611,4616,short,1933.44,1947.42,loss,-143.1000000000002,139.8,5
4625,4626,4681,long,1958.15,1944.17,loss,-143.1000000000002,139.8,55
4905,4906,4939,long,1928.45,1914.47,loss,-143.1000000000002,139.8,33
4975,4976,4979,long,1917.52,1934.32,win,164.69999999999953,139.8,3
5012,5013,5044,long,1926.64,1943.44,win,164.69999999999953,139.8,31
5127,5128,5137,long,1959.96,1976.76,win,164.69999999999953,139.8,9
5217,5218,5271,short,1960.1,1974.08,loss,-143.1000000000002,139.8,53
5450,5451,5502,short,1936.06,1919.26,win,164.69999999999953,139.8,51
5507,5508,5523,short,1915.35,1929.33,loss,-143.1000000000002,139.8,15
5586,5587,5641,short,1904.84,1888.04,win,164.69999999999953,139.8,54
5844,5845,5916,long,1946.52,1938.36,loss,-84.90000000000082,139.8,71
5918,5919,5956,short,1937.46,1920.66,win,164.69999999999953,139.8,37
