tf,mode,lo,hi,slk,tpk,sl,tp,n,alpha,z,net,detail
H1,continuation,17.3,82.7,2.23,2.68,92.6,111.3,313,9.88,3.51,5133,"{'long': (167, 58.7, 46.7, 12.0), 'short': (146, 51.4, 43.9, 7.4)}"
H1,continuation,17.3,82.7,1.87,2.24,77.7,93.0,320,8.09,2.91,3071,"{'long': (168, 54.8, 46.5, 8.3), 'short': (152, 51.3, 43.4, 7.9)}"
H1,continuation,17.3,82.7,1.53,1.91,63.5,79.3,334,6.89,2.54,1459,"{'long': (175, 50.9, 44.2, 6.6), 'short': (159, 49.1, 41.9, 7.2)}"
H2,continuation,12.9,87.1,1.87,2.24,108.5,130.0,90,7.48,1.42,1255,"{'long': (52, 50.0, 47.4, 2.6), 'short': (38, 57.9, 43.8, 14.1)}"
H2,continuation,17.3,82.7,1.87,2.24,108.5,130.0,168,5.36,1.39,1706,"{'long': (96, 52.1, 47.4, 4.7), 'short': (72, 50.0, 43.8, 6.2)}"
M30,continuation,9.4,90.6,1.87,2.24,53.6,64.2,119,5.91,1.3,415,"{'long': (67, 56.7, 45.5, 11.2), 'short': (52, 44.2, 45.1, -0.9)}"
M30,reversal,17.3,82.7,1.53,1.91,43.9,54.7,591,2.62,1.28,-864,"{'long': (260, 49.6, 43.9, 5.7), 'short': (331, 43.8, 43.6, 0.2)}"
H2,continuation,17.3,82.7,2.23,2.68,129.4,155.5,163,4.76,1.22,1822,"{'long': (92, 52.2, 47.1, 5.1), 'short': (71, 47.9, 43.6, 4.3)}"
H3,reversal,12.9,87.1,1.53,1.91,108.9,136.0,67,6.89,1.14,742,"{'long': (24, 45.8, 46.0, -0.1), 'short': (43, 53.5, 42.7, 10.8)}"
M30,reversal,12.9,87.1,1.87,2.24,53.6,64.2,272,3.24,1.07,37,"{'long': (113, 52.2, 45.5, 6.7), 'short': (159, 45.9, 45.1, 0.8)}"
M30,reversal,17.3,82.7,2.23,2.68,63.9,76.8,540,2.23,1.04,-596,"{'long': (237, 50.6, 45.6, 5.0), 'short': (303, 43.9, 43.8, 0.0)}"
H1,continuation,12.9,87.1,1.87,2.24,77.7,93.0,165,3.86,1.0,486,"{'long': (97, 53.6, 46.5, 7.1), 'short': (68, 42.6, 43.4, -0.8)}"
M30,continuation,9.4,90.6,2.23,2.68,63.9,76.8,118,4.3,0.94,231,"{'long': (67, 55.2, 45.6, 9.6), 'short': (51, 41.2, 43.8, -2.7)}"
H1,continuation,12.9,87.1,2.23,2.68,92.6,111.3,163,3.53,0.9,685,"{'long': (97, 53.6, 46.7, 7.0), 'short': (66, 42.4, 43.9, -1.5)}"
H2,continuation,17.3,82.7,1.53,1.91,88.8,110.9,174,3.13,0.83,638,"{'long': (97, 50.5, 46.7, 3.8), 'short': (77, 44.2, 41.9, 2.3)}"
M30,reversal,12.9,87.1,1.53,1.91,43.9,54.7,277,2.47,0.83,-454,"{'long': (114, 49.1, 43.9, 5.2), 'short': (163, 44.2, 43.6, 0.5)}"
M30,reversal,17.3,82.7,1.87,2.24,53.6,64.2,570,1.54,0.74,-923,"{'long': (250, 49.6, 45.5, 4.1), 'short': (320, 44.7, 45.1, -0.4)}"
H2,continuation,12.9,87.1,1.53,1.91,88.8,110.9,94,3.22,0.63,311,"{'long': (54, 46.3, 46.7, -0.4), 'short': (40, 50.0, 41.9, 8.1)}"
H2,continuation,12.9,87.1,2.23,2.68,129.4,155.5,88,3.3,0.62,438,"{'long': (50, 48.0, 47.1, 0.9), 'short': (38, 50.0, 43.6, 6.4)}"
H1,continuation,12.9,87.1,1.53,1.91,63.5,79.3,167,2.26,0.59,-303,"{'long': (97, 47.4, 44.2, 3.2), 'short': (70, 42.9, 41.9, 1.0)}"
H1,continuation,9.4,90.6,1.87,2.24,77.7,93.0,89,2.89,0.55,131,"{'long': (58, 51.7, 46.5, 5.2), 'short': (31, 41.9, 43.4, -1.5)}"
H1,reversal,9.4,90.6,1.87,2.24,77.7,93.0,89,2.71,0.51,-237,"{'long': (31, 54.8, 46.5, 8.3), 'short': (58, 43.1, 43.4, -0.3)}"
H3,continuation,12.9,87.1,2.23,2.68,158.8,190.8,63,3.12,0.5,110,"{'long': (39, 51.3, 47.3, 3.9), 'short': (24, 45.8, 44.0, 1.8)}"
H1,continuation,9.4,90.6,2.23,2.68,92.6,111.3,89,2.61,0.49,348,"{'long': (58, 53.4, 46.7, 6.8), 'short': (31, 38.7, 43.9, -5.2)}"
M30,reversal,12.9,87.1,2.23,2.68,63.9,76.8,266,1.27,0.42,-710,"{'long': (113, 48.7, 45.6, 3.1), 'short': (153, 43.8, 43.8, -0.1)}"
H3,reversal,17.3,82.7,1.87,2.24,133.2,159.5,113,1.95,0.42,-303,"{'long': (45, 51.1, 48.0, 3.1), 'short': (68, 44.1, 42.9, 1.2)}"
H3,reversal,17.3,82.7,1.53,1.91,108.9,136.0,121,1.5,0.33,-365,"{'long': (47, 46.8, 46.0, 0.9), 'short': (74, 44.6, 42.7, 1.9)}"
H3,reversal,12.9,87.1,2.23,2.68,158.8,190.8,64,1.59,0.26,223,"{'long': (24, 50.0, 47.3, 2.7), 'short': (40, 45.0, 44.0, 1.0)}"
H3,continuation,12.9,87.1,1.53,1.91,108.9,136.0,65,1.41,0.23,-26,"{'long': (41, 41.5, 46.0, -4.5), 'short': (24, 54.2, 42.7, 11.5)}"
H1,reversal,9.4,90.6,2.23,2.68,92.6,111.3,89,1.18,0.22,-477,"{'long': (31, 54.8, 46.7, 8.2), 'short': (58, 41.4, 43.9, -2.6)}"
H1,reversal,12.9,87.1,1.87,2.24,77.7,93.0,166,0.49,0.13,-867,"{'long': (69, 50.7, 46.5, 4.2), 'short': (97, 41.2, 43.4, -2.2)}"
H1,reversal,9.4,90.6,1.53,1.91,63.5,79.3,90,0.65,0.12,-443,"{'long': (31, 54.8, 44.2, 10.6), 'short': (59, 37.3, 41.9, -4.6)}"
M30,continuation,9.4,90.6,1.53,1.91,43.9,54.7,120,0.4,0.09,-438,"{'long': (67, 50.7, 43.9, 6.9), 'short': (53, 35.8, 43.6, -7.8)}"
H3,reversal,12.9,87.1,1.87,2.24,133.2,159.5,64,0.48,0.08,-327,"{'long': (24, 41.7, 48.0, -6.3), 'short': (40, 47.5, 42.9, 4.6)}"
H3,reversal,17.3,82.7,2.23,2.68,158.8,190.8,108,-0.02,-0.0,-345,"{'long': (44, 47.7, 47.3, 0.4), 'short': (64, 43.8, 44.0, -0.3)}"
H1,reversal,12.9,87.1,1.53,1.91,63.5,79.3,166,-0.08,-0.02,-1033,"{'long': (69, 49.3, 44.2, 5.0), 'short': (97, 38.1, 41.9, -3.7)}"
H3,continuation,12.9,87.1,1.87,2.24,133.2,159.5,64,-0.8,-0.13,-215,"{'long': (40, 45.0, 48.0, -3.0), 'short': (24, 45.8, 42.9, 2.9)}"
M30,continuation,12.9,87.1,2.23,2.68,63.9,76.8,268,-0.47,-0.15,-1231,"{'long': (156, 46.8, 45.6, 1.2), 'short': (112, 41.1, 43.8, -2.8)}"
