tf,q,D,k_sl,rr,sl,tp,n,alpha,z,net,detail
H6,0.943,55,2.058,1.0,165.3,165.3,256,6.64,2.13,3812,"{'long': (146, 56.8, 48.8, 8.1), 'short': (110, 54.5, 49.8, 4.7)}"
H6,0.977,55,1.618,1.272,129.9,165.2,143,7.01,1.69,1967,"{'long': (78, 55.1, 43.3, 11.8), 'short': (65, 44.6, 43.4, 1.2)}"
H6,0.977,55,2.058,1.0,165.3,165.3,139,6.87,1.62,2119,"{'long': (76, 60.5, 48.8, 11.7), 'short': (63, 50.8, 49.8, 1.0)}"
H6,0.943,89,2.058,1.0,165.3,165.3,266,4.88,1.59,2623,"{'long': (141, 56.7, 48.8, 8.0), 'short': (125, 51.2, 49.8, 1.4)}"
H6,0.943,55,2.058,1.272,165.3,210.3,236,4.95,1.53,2592,"{'long': (132, 47.0, 43.3, 3.7), 'short': (104, 51.0, 44.4, 6.5)}"
H6,0.943,55,1.618,1.272,129.9,165.2,265,4.58,1.51,1910,"{'long': (153, 48.4, 43.3, 5.1), 'short': (112, 47.3, 43.4, 3.9)}"
H3,0.943,89,2.058,1.0,112.4,112.4,503,3.16,1.42,792,"{'long': (277, 52.3, 49.6, 2.8), 'short': (226, 53.1, 49.5, 3.6)}"
H2,0.943,89,2.058,1.272,90.2,114.7,730,2.39,1.3,719,"{'long': (407, 44.2, 43.7, 0.5), 'short': (323, 49.5, 44.8, 4.8)}"
H2,0.977,89,1.618,1.272,70.9,90.2,421,3.04,1.26,419,"{'long': (246, 43.5, 43.5, -0.0), 'short': (175, 51.4, 44.1, 7.3)}"
H6,0.943,55,1.618,1.0,129.9,129.9,284,3.71,1.25,1031,"{'long': (163, 53.4, 49.2, 4.2), 'short': (121, 52.1, 49.0, 3.0)}"
H6,0.943,89,1.618,1.272,129.9,165.2,279,3.61,1.22,1381,"{'long': (148, 49.3, 43.3, 6.0), 'short': (131, 44.3, 43.4, 0.9)}"
H3,0.943,89,1.618,1.272,88.3,112.3,524,2.56,1.18,44,"{'long': (289, 46.0, 44.1, 1.9), 'short': (235, 46.8, 43.5, 3.3)}"
H6,0.977,89,1.618,1.272,129.9,165.2,154,4.7,1.18,1241,"{'long': (79, 54.4, 43.3, 11.1), 'short': (75, 41.3, 43.4, -2.1)}"
H6,0.977,89,2.058,1.0,165.3,165.3,147,4.48,1.09,1316,"{'long': (77, 59.7, 48.8, 11.0), 'short': (70, 47.1, 49.8, -2.7)}"
H6,0.943,89,2.058,1.272,165.3,210.3,240,3.27,1.02,1244,"{'long': (126, 46.8, 43.3, 3.6), 'short': (114, 47.4, 44.4, 2.9)}"
H6,0.977,55,2.058,1.272,165.3,210.3,133,4.33,1.01,1116,"{'long': (73, 47.9, 43.3, 4.7), 'short': (60, 48.3, 44.4, 3.9)}"
H2,0.977,89,2.058,1.272,90.2,114.7,390,2.51,1.0,483,"{'long': (228, 43.9, 43.7, 0.1), 'short': (162, 50.6, 44.8, 5.9)}"
H3,0.943,89,1.618,1.0,88.3,88.3,551,2.0,0.94,-1046,"{'long': (304, 49.7, 49.1, 0.6), 'short': (247, 52.6, 48.9, 3.7)}"
H3,0.943,89,2.058,1.272,112.4,143.0,477,1.93,0.85,-269,"{'long': (262, 45.8, 43.8, 2.0), 'short': (215, 46.5, 44.6, 1.9)}"
H2,0.943,55,2.058,1.272,90.2,114.7,742,1.48,0.81,-883,"{'long': (401, 43.4, 43.7, -0.3), 'short': (341, 48.4, 44.8, 3.6)}"
H2,0.977,55,1.618,1.272,70.9,90.2,409,1.94,0.79,-332,"{'long': (223, 43.0, 43.5, -0.5), 'short': (186, 48.9, 44.1, 4.8)}"
H6,0.977,89,2.058,1.272,165.3,210.3,138,3.3,0.78,601,"{'long': (74, 48.6, 43.3, 5.4), 'short': (64, 45.3, 44.4, 0.9)}"
H8,0.943,89,1.618,1.0,157.6,157.6,234,2.37,0.73,594,"{'long': (131, 52.7, 49.6, 3.1), 'short': (103, 50.5, 49.0, 1.4)}"
H4,0.943,89,1.618,1.272,103.7,131.9,418,1.76,0.73,-222,"{'long': (246, 45.1, 44.1, 1.0), 'short': (172, 45.9, 43.1, 2.8)}"
H3,0.943,55,1.618,1.272,88.3,112.3,526,1.44,0.67,-881,"{'long': (285, 43.5, 44.1, -0.6), 'short': (241, 47.3, 43.5, 3.8)}"
H6,0.943,89,1.618,1.0,129.9,129.9,298,1.9,0.66,-83,"{'long': (161, 54.7, 49.2, 5.5), 'short': (137, 46.7, 49.0, -2.3)}"
H3,0.943,55,1.618,1.0,88.3,88.3,550,1.37,0.64,-1520,"{'long': (298, 48.3, 49.1, -0.8), 'short': (252, 52.8, 48.9, 3.9)}"
H8,0.977,89,1.618,1.272,157.6,200.5,133,2.76,0.64,833,"{'long': (76, 50.0, 44.0, 6.0), 'short': (57, 42.1, 43.6, -1.5)}"
H6,0.977,55,1.618,1.0,129.9,129.9,149,2.57,0.63,45,"{'long': (83, 56.6, 49.2, 7.5), 'short': (66, 45.5, 49.0, -3.6)}"
H3,0.977,89,2.058,1.272,112.4,143.0,258,1.95,0.63,-280,"{'long': (148, 44.6, 43.8, 0.8), 'short': (110, 48.2, 44.6, 3.5)}"
H2,0.943,89,1.618,1.272,70.9,90.2,813,1.0,0.58,-1824,"{'long': (453, 43.3, 43.5, -0.2), 'short': (360, 46.7, 44.1, 2.6)}"
H8,0.977,55,1.618,1.0,157.6,157.6,135,2.49,0.58,448,"{'long': (81, 54.3, 49.6, 4.7), 'short': (54, 48.1, 49.0, -0.9)}"
H3,0.943,55,2.058,1.0,112.4,112.4,506,1.27,0.57,-1240,"{'long': (274, 48.9, 49.6, -0.7), 'short': (232, 53.0, 49.5, 3.6)}"
