tf,ws,rk,drift,k_sl,rr,sl,tp,n,alpha,z,net,detail
H2,0.618,1.272,align89,2.058,1.272,90.2,114.7,332,5.26,1.93,2133,"{'long': (199, 46.7, 43.7, 3.0), 'short': (133, 53.4, 44.8, 8.6)}"
H8,0.618,1.272,none,1.618,1.0,157.6,157.6,125,8.2,1.83,2787,"{'long': (85, 61.2, 49.6, 11.6), 'short': (40, 50.0, 49.0, 1.0)}"
H3,0.618,1.272,none,2.058,1.272,112.4,143.0,348,4.38,1.64,703,"{'long': (196, 45.4, 43.8, 1.6), 'short': (152, 52.6, 44.6, 8.0)}"
H3,0.708,1.272,none,2.058,1.272,112.4,143.0,181,5.56,1.51,1256,"{'long': (106, 47.2, 43.8, 3.3), 'short': (75, 53.3, 44.6, 8.7)}"
H6,0.618,1.272,align89,1.618,1.0,129.9,129.9,80,8.38,1.5,1342,"{'long': (48, 52.1, 49.2, 2.9), 'short': (32, 65.6, 49.0, 16.6)}"
H2,0.618,1.272,align89,2.058,1.0,90.2,90.2,335,3.09,1.13,541,"{'long': (200, 49.0, 49.2, -0.2), 'short': (135, 57.8, 49.8, 7.9)}"
H2,0.618,1.272,align89,1.618,1.272,70.9,90.2,340,3.02,1.12,292,"{'long': (204, 44.6, 43.5, 1.1), 'short': (136, 50.0, 44.1, 5.9)}"
H8,0.618,1.272,none,1.618,1.272,157.6,200.5,122,4.46,0.99,1596,"{'long': (83, 51.8, 44.0, 7.8), 'short': (39, 41.0, 43.6, -2.6)}"
H3,0.708,1.272,none,1.618,1.272,88.3,112.3,187,3.23,0.89,379,"{'long': (109, 45.0, 44.1, 0.9), 'short': (78, 50.0, 43.5, 6.5)}"
H3,0.618,1.272,align89,2.058,1.272,112.4,143.0,201,3.09,0.88,-134,"{'long': (117, 39.3, 43.8, -4.5), 'short': (84, 58.3, 44.6, 13.7)}"
H3,0.618,1.272,none,2.058,1.0,112.4,112.4,361,2.28,0.87,-578,"{'long': (206, 49.5, 49.6, -0.1), 'short': (155, 54.8, 49.5, 5.4)}"
H3,0.708,1.272,none,2.058,1.0,112.4,112.4,181,2.96,0.8,123,"{'long': (106, 50.9, 49.6, 1.4), 'short': (75, 54.7, 49.5, 5.2)}"
H2,0.618,1.272,none,2.058,1.272,90.2,114.7,585,1.62,0.79,-240,"{'long': (324, 46.3, 43.7, 2.6), 'short': (261, 45.2, 44.8, 0.5)}"
H8,0.618,1.272,none,2.058,1.0,200.4,200.4,122,3.0,0.66,919,"{'long': (83, 56.6, 49.0, 7.6), 'short': (39, 43.6, 50.4, -6.8)}"
H3,0.708,1.272,none,1.618,1.0,88.3,88.3,189,2.32,0.64,-276,"{'long': (111, 47.7, 49.1, -1.3), 'short': (78, 56.4, 48.9, 7.5)}"
H3,0.708,1.618,none,1.618,1.272,88.3,112.3,87,3.26,0.61,157,"{'long': (56, 50.0, 44.1, 5.9), 'short': (31, 41.9, 43.5, -1.6)}"
H3,0.708,1.618,none,2.058,1.272,112.4,143.0,85,2.94,0.55,69,"{'long': (55, 50.9, 43.8, 7.1), 'short': (30, 40.0, 44.6, -4.6)}"
H3,0.618,1.272,none,1.618,1.0,88.3,88.3,383,1.39,0.55,-1263,"{'long': (221, 47.1, 49.1, -2.0), 'short': (162, 54.9, 48.9, 6.1)}"
H3,0.618,1.272,none,1.618,1.272,88.3,112.3,376,1.38,0.54,-846,"{'long': (217, 42.4, 44.1, -1.7), 'short': (159, 49.1, 43.5, 5.6)}"
H2,0.618,1.618,none,1.618,1.272,70.9,90.2,319,1.38,0.5,-388,"{'long': (182, 45.6, 43.5, 2.1), 'short': (137, 44.5, 44.1, 0.4)}"
H3,0.618,1.272,align89,1.618,1.0,88.3,88.3,208,1.48,0.43,-716,"{'long': (123, 42.3, 49.1, -6.8), 'short': (85, 62.4, 48.9, 13.5)}"
H3,0.618,1.272,align89,2.058,1.0,112.4,112.4,204,1.46,0.42,-799,"{'long': (120, 45.0, 49.6, -4.6), 'short': (84, 59.5, 49.5, 10.1)}"
H3,0.708,1.618,none,1.618,1.0,88.3,88.3,87,1.56,0.29,-270,"{'long': (56, 53.6, 49.1, 4.5), 'short': (31, 45.2, 48.9, -3.7)}"
H3,0.618,1.272,align89,1.618,1.272,88.3,112.3,206,0.82,0.24,-839,"{'long': (122, 38.5, 44.1, -5.6), 'short': (84, 53.6, 43.5, 10.1)}"
H2,0.618,1.272,align89,1.618,1.0,70.9,70.9,342,0.56,0.21,-1287,"{'long': (205, 48.3, 48.8, -0.5), 'short': (137, 51.8, 49.6, 2.2)}"
H2,0.618,1.618,align89,1.618,1.272,70.9,90.2,171,0.71,0.19,-451,"{'long': (106, 39.6, 43.5, -3.9), 'short': (65, 52.3, 44.1, 8.2)}"
H2,0.618,1.618,none,2.058,1.272,90.2,114.7,308,0.31,0.11,-797,"{'long': (175, 45.1, 43.7, 1.4), 'short': (133, 43.6, 44.8, -1.1)}"
H3,0.708,1.272,align89,1.618,1.0,88.3,88.3,105,0.52,0.11,-528,"{'long': (62, 41.9, 49.1, -7.1), 'short': (43, 60.5, 48.9, 11.6)}"
H2,0.618,1.618,align89,2.058,1.272,90.2,114.7,169,0.26,0.07,-620,"{'long': (105, 40.0, 43.7, -3.7), 'short': (64, 51.6, 44.8, 6.8)}"
H6,0.618,1.272,align89,1.618,1.272,129.9,165.2,78,0.25,0.04,-344,"{'long': (47, 42.6, 43.3, -0.7), 'short': (31, 45.2, 43.4, 1.8)}"
H6,0.708,1.272,none,1.618,1.0,129.9,129.9,73,0.2,0.03,-371,"{'long': (44, 47.7, 49.2, -1.4), 'short': (29, 51.7, 49.0, 2.7)}"
H2,0.618,1.272,none,1.618,1.272,70.9,90.2,619,0.01,0.0,-2505,"{'long': (343, 44.3, 43.5, 0.8), 'short': (276, 43.1, 44.1, -1.0)}"
H3,0.708,1.272,align89,1.618,1.272,88.3,112.3,105,-0.03,-0.01,-535,"{'long': (62, 38.7, 44.1, -5.4), 'short': (43, 51.2, 43.5, 7.7)}"
H3,0.708,1.618,none,2.058,1.0,112.4,112.4,85,-0.12,-0.02,-519,"{'long': (55, 52.7, 49.6, 3.2), 'short': (30, 43.3, 49.5, -6.1)}"
H3,0.708,1.272,align89,2.058,1.272,112.4,143.0,105,-0.35,-0.07,-761,"{'long': (62, 37.1, 43.8, -6.7), 'short': (43, 53.5, 44.6, 8.8)}"
H2,0.618,1.618,none,1.618,1.0,70.9,70.9,326,-0.4,-0.14,-1531,"{'long': (185, 49.2, 48.8, 0.4), 'short': (141, 48.2, 49.6, -1.4)}"
H2,0.618,1.618,none,2.058,1.0,90.2,90.2,316,-0.41,-0.15,-1268,"{'long': (180, 50.0, 49.2, 0.8), 'short': (136, 47.8, 49.8, -2.0)}"
H6,0.618,1.272,none,1.618,1.0,129.9,129.9,159,-0.68,-0.17,-1127,"{'long': (91, 46.2, 49.2, -3.0), 'short': (68, 51.5, 49.0, 2.4)}"
H3,0.708,1.272,align89,2.058,1.0,112.4,112.4,105,-0.95,-0.2,-875,"{'long': (62, 43.5, 49.6, -6.0), 'short': (43, 55.8, 49.5, 6.3)}"
