mag,k,rr,mh,sl,tp,n,alpha,z,net,detail
0.0,2.058,1.0,34,247.7,247.7,116,12.74,2.74,6587,"{'long': (60, 68.3, 50.9, 17.4), 'short': (56, 55.4, 47.6, 7.7)}"
0.0,2.058,1.0,21,247.7,247.7,120,12.08,2.65,5526,"{'long': (63, 68.3, 51.0, 17.3), 'short': (57, 54.4, 48.0, 6.3)}"
0.89,2.058,1.0,34,247.7,247.7,113,11.69,2.48,5854,"{'long': (60, 68.3, 50.9, 17.4), 'short': (53, 52.8, 47.6, 5.2)}"
0.89,2.058,1.0,21,247.7,247.7,117,11.06,2.39,4793,"{'long': (63, 68.3, 51.0, 17.3), 'short': (54, 51.9, 48.0, 3.8)}"
0.0,2.058,1.272,34,247.7,315.1,112,11.03,2.36,5632,"{'long': (59, 57.6, 43.6, 14.0), 'short': (53, 50.9, 43.2, 7.7)}"
0.89,2.058,1.272,34,247.7,315.1,109,9.78,2.06,4697,"{'long': (59, 57.6, 43.6, 14.0), 'short': (50, 48.0, 43.2, 4.8)}"
0.0,1.618,1.272,34,194.7,247.7,118,9.39,2.05,4436,"{'long': (62, 56.5, 45.5, 11.0), 'short': (56, 50.0, 42.4, 7.6)}"
0.0,2.058,1.272,21,247.7,315.1,117,9.0,1.96,3483,"{'long': (62, 58.1, 45.6, 12.5), 'short': (55, 49.1, 44.0, 5.1)}"
0.89,1.618,1.272,34,194.7,247.7,115,9.0,1.94,4145,"{'long': (62, 56.5, 45.5, 11.0), 'short': (53, 49.1, 42.4, 6.7)}"
1.44,2.058,1.0,34,247.7,247.7,100,9.59,1.92,4018,"{'long': (54, 66.7, 50.9, 15.7), 'short': (46, 50.0, 47.6, 2.4)}"
0.0,1.618,1.272,21,194.7,247.7,121,8.55,1.89,3539,"{'long': (64, 56.2, 45.6, 10.6), 'short': (57, 49.1, 42.9, 6.2)}"
0.0,2.058,1.0,13,247.7,247.7,123,8.48,1.88,5112,"{'long': (65, 61.5, 50.3, 11.3), 'short': (58, 53.4, 48.1, 5.4)}"
0.89,1.618,1.272,21,194.7,247.7,118,8.16,1.78,3248,"{'long': (64, 56.2, 45.6, 10.6), 'short': (54, 48.1, 42.9, 5.2)}"
0.0,1.618,1.272,13,194.7,247.7,123,7.66,1.71,3243,"{'long': (65, 55.4, 46.2, 9.2), 'short': (58, 50.0, 44.0, 6.0)}"
0.89,2.058,1.272,21,247.7,315.1,114,7.77,1.67,2548,"{'long': (62, 58.1, 45.6, 12.5), 'short': (52, 46.2, 44.0, 2.1)}"
1.44,2.058,1.0,21,247.7,247.7,102,8.19,1.65,2744,"{'long': (56, 66.1, 51.0, 15.1), 'short': (46, 47.8, 48.0, -0.2)}"
0.89,2.058,1.0,13,247.7,247.7,120,7.39,1.62,4379,"{'long': (65, 61.5, 50.3, 11.3), 'short': (55, 50.9, 48.1, 2.8)}"
0.89,1.618,1.272,13,194.7,247.7,120,7.28,1.6,2952,"{'long': (65, 55.4, 46.2, 9.2), 'short': (55, 49.1, 44.0, 5.1)}"
0.0,2.058,1.272,13,247.7,315.1,120,7.16,1.57,4278,"{'long': (64, 54.7, 46.6, 8.1), 'short': (56, 51.8, 45.7, 6.0)}"
1.44,2.058,1.272,34,247.7,315.1,98,7.58,1.51,2810,"{'long': (54, 57.4, 43.6, 13.8), 'short': (44, 43.2, 43.2, -0.0)}"
0.0,1.618,1.0,21,194.7,194.7,123,6.77,1.5,2371,"{'long': (65, 60.0, 49.5, 10.5), 'short': (58, 51.7, 49.2, 2.6)}"
0.0,1.618,1.0,34,194.7,194.7,121,6.79,1.49,2556,"{'long': (64, 59.4, 49.8, 9.6), 'short': (57, 52.6, 49.0, 3.6)}"
0.89,1.618,1.0,34,194.7,194.7,118,6.52,1.42,2371,"{'long': (64, 59.4, 49.8, 9.6), 'short': (54, 51.9, 49.0, 2.9)}"
0.89,1.618,1.0,21,194.7,194.7,120,6.5,1.42,2187,"{'long': (65, 60.0, 49.5, 10.5), 'short': (55, 50.9, 49.2, 1.7)}"
1.44,1.618,1.272,34,194.7,247.7,102,6.91,1.41,2645,"{'long': (56, 53.6, 45.5, 8.1), 'short': (46, 47.8, 42.4, 5.5)}"
0.89,2.058,1.272,13,247.7,315.1,117,5.95,1.29,3342,"{'long': (64, 54.7, 46.6, 8.1), 'short': (53, 49.1, 45.7, 3.3)}"
1.44,2.058,1.0,13,247.7,247.7,105,5.94,1.22,2638,"{'long': (58, 60.3, 50.3, 10.1), 'short': (47, 48.9, 48.1, 0.8)}"
0.0,1.618,1.0,13,194.7,194.7,125,5.1,1.14,2378,"{'long': (66, 57.6, 49.7, 7.9), 'short': (59, 50.8, 48.8, 2.0)}"
1.44,1.618,1.272,13,194.7,247.7,105,5.24,1.08,1291,"{'long': (58, 53.4, 46.2, 7.2), 'short': (47, 46.8, 44.0, 2.8)}"
0.89,1.618,1.0,13,194.7,194.7,122,4.78,1.06,2193,"{'long': (66, 57.6, 49.7, 7.9), 'short': (56, 50.0, 48.8, 1.2)}"
1.44,1.618,1.272,21,194.7,247.7,103,5.1,1.04,1472,"{'long': (57, 52.6, 45.6, 7.0), 'short': (46, 45.7, 42.9, 2.7)}"
1.44,2.058,1.272,21,247.7,315.1,100,5.11,1.03,699,"{'long': (56, 57.1, 45.6, 11.6), 'short': (44, 40.9, 44.0, -3.1)}"
1.44,1.618,1.0,34,194.7,194.7,105,4.86,1.0,1348,"{'long': (58, 56.9, 49.8, 7.1), 'short': (47, 51.1, 49.0, 2.1)}"
1.44,2.058,1.272,13,247.7,315.1,103,4.28,0.87,1290,"{'long': (58, 53.4, 46.6, 6.9), 'short': (45, 46.7, 45.7, 0.9)}"
1.44,1.618,1.0,21,194.7,194.7,105,4.0,0.82,940,"{'long': (58, 56.9, 49.5, 7.4), 'short': (47, 48.9, 49.2, -0.2)}"
1.44,1.618,1.0,13,194.7,194.7,107,3.01,0.62,1063,"{'long': (59, 55.9, 49.7, 6.2), 'short': (48, 47.9, 48.8, -0.9)}"
