tf,L,mode,k_sl,rr,sl,tp,n,alpha,z,net,detail
H12,5,cont,2.058,1.0,247.7,247.7,124,13.32,2.97,6386,"{'long': (65, 69.2, 51.0, 18.3), 'short': (59, 55.9, 48.0, 7.9)}"
H12,5,cont,1.618,1.272,194.7,247.7,125,10.06,2.26,4399,"{'long': (66, 57.6, 45.6, 11.9), 'short': (59, 50.8, 42.9, 7.9)}"
H12,5,cont,2.058,1.272,247.7,315.1,120,10.17,2.24,4233,"{'long': (63, 58.7, 45.6, 13.2), 'short': (57, 50.9, 44.0, 6.8)}"
H12,3,cont,1.618,1.0,194.7,194.7,418,4.27,1.74,3727,"{'long': (210, 54.3, 49.5, 4.8), 'short': (208, 52.9, 49.2, 3.7)}"
H12,5,cont,1.618,1.0,194.7,194.7,129,7.26,1.65,2741,"{'long': (68, 60.3, 49.5, 10.8), 'short': (61, 52.5, 49.2, 3.3)}"
H12,3,cont,2.058,1.0,247.7,247.7,347,4.38,1.63,5363,"{'long': (173, 54.9, 51.0, 3.9), 'short': (174, 52.9, 48.0, 4.8)}"
H12,4,cont,2.058,1.272,247.7,315.1,209,5.45,1.58,4028,"{'long': (104, 53.8, 45.6, 8.3), 'short': (105, 46.7, 44.0, 2.6)}"
H12,3,cont,2.058,1.272,247.7,315.1,313,4.09,1.45,4864,"{'long': (156, 50.0, 45.6, 4.4), 'short': (157, 47.8, 44.0, 3.7)}"
H12,4,cont,1.618,1.0,194.7,194.7,232,4.55,1.39,2556,"{'long': (119, 53.8, 49.5, 4.3), 'short': (113, 54.0, 49.2, 4.8)}"
H12,3,cont,1.618,1.272,194.7,247.7,386,3.39,1.34,3454,"{'long': (195, 48.7, 45.6, 3.1), 'short': (191, 46.6, 42.9, 3.7)}"
H8,3,cont,2.058,1.272,200.4,254.9,480,2.99,1.32,2838,"{'long': (249, 48.6, 44.9, 3.6), 'short': (231, 47.6, 45.3, 2.3)}"
H12,4,cont,1.618,1.272,194.7,247.7,219,4.13,1.23,2645,"{'long': (110, 49.1, 45.6, 3.5), 'short': (109, 47.7, 42.9, 4.8)}"
H12,4,cont,2.058,1.0,247.7,247.7,214,4.21,1.23,2480,"{'long': (108, 54.6, 51.0, 3.6), 'short': (106, 52.8, 48.0, 4.8)}"
H8,5,cont,1.618,1.272,157.6,200.5,175,4.44,1.18,1949,"{'long': (104, 51.0, 44.8, 6.2), 'short': (71, 45.1, 43.2, 1.9)}"
D1,4,rev,2.058,1.0,365.7,365.7,108,5.1,1.06,1454,"{'long': (46, 54.3, 50.0, 4.3), 'short': (62, 54.8, 49.2, 5.7)}"
H8,4,cont,2.058,1.0,200.4,200.4,334,2.59,0.95,1678,"{'long': (177, 53.7, 48.9, 4.8), 'short': (157, 50.3, 50.2, 0.1)}"
D1,3,rev,2.058,1.272,365.7,465.2,153,3.7,0.92,4712,"{'long': (66, 51.5, 46.0, 5.5), 'short': (87, 48.3, 46.0, 2.3)}"
H8,3,cont,1.618,1.272,157.6,200.5,563,1.8,0.86,-43,"{'long': (295, 48.8, 44.8, 4.0), 'short': (268, 42.5, 43.2, -0.7)}"
H8,5,cont,1.618,1.0,157.6,157.6,177,3.06,0.81,1097,"{'long': (105, 56.2, 50.0, 6.1), 'short': (72, 47.2, 48.7, -1.4)}"
H8,4,cont,1.618,1.0,157.6,157.6,372,1.94,0.75,498,"{'long': (199, 54.3, 50.0, 4.2), 'short': (173, 48.0, 48.7, -0.7)}"
D1,4,rev,2.058,1.272,365.7,465.2,101,3.53,0.71,800,"{'long': (44, 52.3, 46.0, 6.3), 'short': (57, 47.4, 46.0, 1.4)}"
H8,3,cont,2.058,1.0,200.4,200.4,517,1.34,0.61,-159,"{'long': (265, 52.8, 48.9, 3.9), 'short': (252, 48.8, 50.2, -1.4)}"
H8,5,cont,2.058,1.0,200.4,200.4,168,2.37,0.61,1750,"{'long': (101, 54.5, 48.9, 5.6), 'short': (67, 47.8, 50.2, -2.4)}"
D1,4,rev,1.618,1.272,287.5,365.7,114,2.53,0.54,432,"{'long': (50, 46.0, 44.8, 1.2), 'short': (64, 46.9, 43.3, 3.6)}"
H8,4,cont,2.058,1.272,200.4,254.9,311,1.49,0.53,627,"{'long': (165, 47.9, 44.9, 2.9), 'short': (146, 45.2, 45.3, -0.1)}"
H8,4,cont,1.618,1.272,157.6,200.5,352,1.41,0.53,-498,"{'long': (188, 47.3, 44.8, 2.6), 'short': (164, 43.3, 43.2, 0.1)}"
H8,5,cont,2.058,1.272,200.4,254.9,163,1.52,0.39,1095,"{'long': (97, 49.5, 44.9, 4.5), 'short': (66, 42.4, 45.3, -2.9)}"
H8,3,rev,1.618,1.272,157.6,200.5,554,0.62,0.29,-1060,"{'long': (269, 47.2, 44.8, 2.4), 'short': (285, 42.1, 43.2, -1.1)}"
D1,3,rev,2.058,1.0,365.7,365.7,164,1.07,0.27,-81,"{'long': (72, 54.2, 50.0, 4.2), 'short': (92, 47.8, 49.2, -1.3)}"
H8,3,cont,1.618,1.0,157.6,157.6,607,0.53,0.26,-2630,"{'long': (318, 53.1, 50.0, 3.1), 'short': (289, 46.4, 48.7, -2.3)}"
