tf,W,T,mode,k,rr,n,wr,p0,alpha,z,net
H2,55,1.618,rev,1.618,1.0,379,43.54,46.45,-2.91,-1.14,-3626.0
H2,55,1.618,rev,2.058,1.0,379,45.12,47.65,-2.53,-0.99,-2759.0
H2,55,1.618,cont,1.618,1.0,379,52.77,50.82,1.95,0.76,1423.0
H2,55,1.618,cont,2.058,1.0,379,53.3,50.33,2.97,1.16,1688.0
H2,55,2.618,rev,1.618,1.0,272,41.91,46.45,-4.53,-1.5,-3953.0
H2,55,2.618,rev,2.058,1.0,272,42.65,47.65,-5.0,-1.65,-4713.0
H2,55,2.618,cont,1.618,1.0,272,52.94,50.82,2.12,0.7,1670.0
H2,55,2.618,cont,2.058,1.0,272,54.41,50.33,4.08,1.35,3150.0
H2,55,4.181,rev,1.618,1.0,198,41.41,46.45,-5.03,-1.42,-2124.0
H2,55,4.181,rev,2.058,1.0,198,45.96,47.65,-1.69,-0.48,-1338.0
H2,55,4.181,cont,1.618,1.0,198,52.53,50.82,1.7,0.48,574.0
H2,55,4.181,cont,2.058,1.0,198,52.53,50.33,2.2,0.62,731.0
H2,89,1.618,rev,1.618,1.0,296,42.23,46.45,-4.22,-1.45,-3443.0
H2,89,1.618,rev,2.058,1.0,296,43.58,47.65,-4.07,-1.4,-3097.0
H2,89,1.618,cont,1.618,1.0,296,53.72,50.82,2.89,1.0,1667.0
H2,89,1.618,cont,2.058,1.0,296,54.39,50.33,4.07,1.4,2160.0
H2,89,2.618,rev,1.618,1.0,215,41.4,46.45,-5.05,-1.49,-3358.0
H2,89,2.618,rev,2.058,1.0,215,41.4,47.65,-6.26,-1.84,-4138.0
H2,89,2.618,cont,1.618,1.0,215,52.56,50.82,1.74,0.51,1161.0
H2,89,2.618,cont,2.058,1.0,215,55.81,50.33,5.49,1.61,2838.0
H2,89,4.181,rev,1.618,1.0,155,42.58,46.45,-3.87,-0.97,-1066.0
H2,89,4.181,rev,2.058,1.0,155,46.45,47.65,-1.2,-0.3,-518.0
