tf,W,T,mode,k_sl,rr,n,wr,p0,alpha,z,net
H8,89,4.181,rev,1.618,1.0,37,43.24,49.65,-6.41,-0.78,-974.0
H8,89,4.181,rev,1.618,1.272,37,40.54,44.75,-4.21,-0.52,-731.0
H8,89,4.181,rev,2.058,1.0,37,48.65,50.19,-1.54,-0.19,-280.0
H8,89,4.181,rev,2.058,1.272,37,35.14,46.58,-11.45,-1.4,-1778.0
H8,89,4.181,cont,1.618,1.0,37,54.05,50.94,3.11,0.38,654.0
H8,89,4.181,cont,1.618,1.272,37,48.65,45.29,3.36,0.41,625.0
H8,89,4.181,cont,2.058,1.0,37,51.35,48.86,2.49,0.3,280.0
H8,89,4.181,cont,2.058,1.272,37,43.24,44.6,-1.36,-0.17,354.0
H8,89,6.765,rev,1.618,1.0,27,,,,,
H8,89,6.765,rev,1.618,1.272,27,,,,,
H8,89,6.765,rev,2.058,1.0,27,,,,,
H8,89,6.765,rev,2.058,1.272,27,,,,,
H8,89,6.765,cont,1.618,1.0,27,,,,,
H8,89,6.765,cont,1.618,1.272,27,,,,,
H8,89,6.765,cont,2.058,1.0,27,,,,,
H8,89,6.765,cont,2.058,1.272,27,,,,,
H8,89,10.946,rev,1.618,1.0,16,,,,,
H8,89,10.946,rev,1.618,1.272,16,,,,,
H8,89,10.946,rev,2.058,1.0,16,,,,,
H8,89,10.946,rev,2.058,1.272,16,,,,,
H8,89,10.946,cont,1.618,1.0,16,,,,,
H8,89,10.946,cont,1.618,1.272,16,,,,,
H8,89,10.946,cont,2.058,1.0,16,,,,,
H8,89,10.946,cont,2.058,1.272,16,,,,,
H8,144,4.181,rev,1.618,1.0,29,,,,,
H8,144,4.181,rev,1.618,1.272,29,,,,,
H8,144,4.181,rev,2.058,1.0,29,,,,,
H8,144,4.181,rev,2.058,1.272,29,,,,,
H8,144,4.181,cont,1.618,1.0,29,,,,,
H8,144,4.181,cont,1.618,1.272,29,,,,,
H8,144,4.181,cont,2.058,1.0,29,,,,,
H8,144,4.181,cont,2.058,1.272,29,,,,,
H8,144,6.765,rev,1.618,1.0,22,,,,,
H8,144,6.765,rev,1.618,1.272,22,,,,,
H8,144,6.765,rev,2.058,1.0,22,,,,,
H8,144,6.765,rev,2.058,1.272,22,,,,,
H8,144,6.765,cont,1.618,1.0,22,,,,,
H8,144,6.765,cont,1.618,1.272,22,,,,,
H8,144,6.765,cont,2.058,1.0,22,,,,,
H8,144,6.765,cont,2.058,1.272,22,,,,,
H8,144,10.946,rev,1.618,1.0,15,,,,,
H8,144,10.946,rev,1.618,1.272,15,,,,,
H8,144,10.946,rev,2.058,1.0,15,,,,,
H8,144,10.946,rev,2.058,1.272,15,,,,,
H8,144,10.946,cont,1.618,1.0,15,,,,,
H8,144,10.946,cont,1.618,1.272,15,,,,,
H8,144,10.946,cont,2.058,1.0,15,,,,,
H8,144,10.946,cont,2.058,1.272,15,,,,,
H12,89,4.181,rev,1.618,1.0,24,,,,,
H12,89,4.181,rev,1.618,1.272,24,,,,,
H12,89,4.181,rev,2.058,1.0,24,,,,,
H12,89,4.181,rev,2.058,1.272,24,,,,,
H12,89,4.181,cont,1.618,1.0,24,,,,,
H12,89,4.181,cont,1.618,1.272,24,,,,,
H12,89,4.181,cont,2.058,1.0,24,,,,,
H12,89,4.181,cont,2.058,1.272,24,,,,,
H12,89,6.765,rev,1.618,1.0,19,,,,,
H12,89,6.765,rev,1.618,1.272,19,,,,,
H12,89,6.765,rev,2.058,1.0,19,,,,,
H12,89,6.765,rev,2.058,1.272,19,,,,,
H12,89,6.765,cont,1.618,1.0,19,,,,,
H12,89,6.765,cont,1.618,1.272,19,,,,,
H12,89,6.765,cont,2.058,1.0,19,,,,,
H12,89,6.765,cont,2.058,1.272,19,,,,,
H12,89,10.946,rev,1.618,1.0,9,,,,,
H12,89,10.946,rev,1.618,1.272,9,,,,,
H12,89,10.946,rev,2.058,1.0,9,,,,,
H12,89,10.946,rev,2.058,1.272,9,,,,,
H12,89,10.946,cont,1.618,1.0,9,,,,,
H12,89,10.946,cont,1.618,1.272,9,,,,,
H12,89,10.946,cont,2.058,1.0,9,,,,,
H12,89,10.946,cont,2.058,1.272,9,,,,,
H12,144,4.181,rev,1.618,1.0,22,,,,,
H12,144,4.181,rev,1.618,1.272,22,,,,,
H12,144,4.181,rev,2.058,1.0,22,,,,,
H12,144,4.181,rev,2.058,1.272,22,,,,,
H12,144,4.181,cont,1.618,1.0,22,,,,,
H12,144,4.181,cont,1.618,1.272,22,,,,,
H12,144,4.181,cont,2.058,1.0,22,,,,,
H12,144,4.181,cont,2.058,1.272,22,,,,,
H12,144,6.765,rev,1.618,1.0,18,,,,,
H12,144,6.765,rev,1.618,1.272,18,,,,,
H12,144,6.765,rev,2.058,1.0,18,,,,,
H12,144,6.765,rev,2.058,1.272,18,,,,,
H12,144,6.765,cont,1.618,1.0,18,,,,,
H12,144,6.765,cont,1.618,1.272,18,,,,,
H12,144,6.765,cont,2.058,1.0,18,,,,,
H12,144,6.765,cont,2.058,1.272,18,,,,,
H12,144,10.946,rev,1.618,1.0,11,,,,,
H12,144,10.946,rev,1.618,1.272,11,,,,,
H12,144,10.946,rev,2.058,1.0,11,,,,,
H12,144,10.946,rev,2.058,1.272,11,,,,,
H12,144,10.946,cont,1.618,1.0,11,,,,,
H12,144,10.946,cont,1.618,1.272,11,,,,,
H12,144,10.946,cont,2.058,1.0,11,,,,,
H12,144,10.946,cont,2.058,1.272,11,,,,,
D1,89,4.181,rev,1.618,1.0,14,,,,,
D1,89,4.181,rev,1.618,1.272,14,,,,,
D1,89,4.181,rev,2.058,1.0,14,,,,,
D1,89,4.181,rev,2.058,1.272,14,,,,,
D1,89,4.181,cont,1.618,1.0,14,,,,,
D1,89,4.181,cont,1.618,1.272,14,,,,,
D1,89,4.181,cont,2.058,1.0,14,,,,,
D1,89,4.181,cont,2.058,1.272,14,,,,,
D1,89,6.765,rev,1.618,1.0,9,,,,,
D1,89,6.765,rev,1.618,1.272,9,,,,,
D1,89,6.765,rev,2.058,1.0,9,,,,,
D1,89,6.765,rev,2.058,1.272,9,,,,,
D1,89,6.765,cont,1.618,1.0,9,,,,,
