tf,W,D,mode,k_sl,rr,n,alpha,z,net
H6,89,21,cont,1.618,1.0,139,7.44,1.75,1878.0
H6,89,21,cont,1.618,1.272,139,7.07,1.67,2224.0
H6,89,21,cont,2.058,1.0,139,5.15,1.21,1053.0
H6,89,21,cont,2.058,1.272,139,4.94,1.17,777.0
H6,89,21,rev,1.618,1.0,139,-7.68,-1.81,-2429.0
H6,89,21,rev,1.618,1.272,139,-6.59,-1.55,-1914.0
H6,89,21,rev,2.058,1.0,139,-6.35,-1.5,-2063.0
H6,89,21,rev,2.058,1.272,139,-5.81,-1.37,-1854.0
H6,89,34,cont,1.618,1.0,103,6.91,1.4,1039.0
H6,89,34,cont,1.618,1.272,103,8.67,1.76,1692.0
H6,89,34,cont,2.058,1.0,103,5.82,1.18,744.0
H6,89,34,cont,2.058,1.272,103,5.08,1.03,390.0
H6,89,34,rev,1.618,1.0,103,-7.66,-1.55,-1590.0
H6,89,34,rev,1.618,1.272,103,-5.89,-1.2,-1120.0
H6,89,34,rev,2.058,1.0,103,-5.83,-1.18,-1123.0
H6,89,34,rev,2.058,1.272,103,-5.59,-1.13,-1304.0
H6,144,21,cont,1.618,1.0,103,5.94,1.21,651.0
H6,144,21,cont,1.618,1.272,103,2.84,0.58,314.0
H6,144,21,cont,2.058,1.0,103,0.96,0.19,-800.0
H6,144,21,cont,2.058,1.272,103,1.18,0.24,-545.0
H6,144,21,rev,1.618,1.0,103,-5.72,-1.16,-989.0
H6,144,21,rev,1.618,1.272,103,-2.97,-0.6,-39.0
H6,144,21,rev,2.058,1.0,103,-1.94,-0.39,513.0
H6,144,21,rev,2.058,1.272,103,-1.69,-0.34,88.0
H6,144,34,cont,1.618,1.0,77,6.44,1.13,367.0
H6,144,34,cont,1.618,1.272,77,4.62,0.81,201.0
H6,144,34,cont,2.058,1.0,77,1.13,0.2,-842.0
H6,144,34,cont,2.058,1.272,77,1.34,0.24,-398.0
H6,144,34,rev,1.618,1.0,77,-6.55,-1.15,-706.0
H6,144,34,rev,1.618,1.272,77,-1.87,-0.33,304.0
H6,144,34,rev,2.058,1.0,77,-1.46,-0.26,746.0
H6,144,34,rev,2.058,1.272,77,-1.23,-0.22,65.0
H8,89,21,cont,1.618,1.0,102,3.66,0.74,1442.0
H8,89,21,cont,1.618,1.272,102,4.01,0.81,1730.0
H8,89,21,cont,2.058,1.0,102,3.38,0.68,1033.0
H8,89,21,cont,2.058,1.272,102,1.41,0.28,1285.0
H8,89,21,rev,1.618,1.0,102,-6.22,-1.26,-1953.0
H8,89,21,rev,1.618,1.272,102,-4.84,-0.98,-1560.0
H8,89,21,rev,2.058,1.0,102,-4.39,-0.89,-1449.0
H8,89,21,rev,2.058,1.272,102,-4.36,-0.88,-1358.0
H8,89,34,cont,1.618,1.0,77,8.17,1.43,2576.0
H8,89,34,cont,1.618,1.272,77,9.53,1.67,3447.0
H8,89,34,cont,2.058,1.0,77,7.59,1.33,2962.0
