signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
631,632,738,short,1347.95,1329.6632,win,179.56800000000084,113.02628571428595,106
854,855,896,short,1318.25,1330.4460571428572,loss,-125.26057142857171,121.96057142857137,41
897,898,931,long,1344.35,1329.9885142857142,loss,-146.91485714285665,143.61485714285655,33
1785,1786,1806,short,1398.95,1409.056342857143,loss,-104.36342857142863,101.06342857142837,20
2375,2376,2380,short,1385.35,1399.5237142857143,loss,-145.0371428571437,141.73714285714283,4
2382,2383,2488,short,1391.9,1406.7218285714287,loss,-151.5182857142857,148.2182857142856,105
3082,3083,3207,long,1453.2,1472.4619,win,189.31899999999968,119.05314285714297,124
3787,3788,3876,long,1529.9,1550.2007,win,199.70700000000005,125.47371428571421,88
3878,3879,3886,long,1564.35,1551.508857142857,loss,-131.71142857142814,128.41142857142788,7
3933,3934,4014,short,1537.75,1512.0642,win,253.5579999999997,158.75771428571394,80
4067,4068,4076,short,1466.0,1486.9758857142856,loss,-213.05885714285597,209.75885714285695,8
4940,4941,4949,long,1549.4,1539.9629714285716,loss,-97.67028571428527,94.3702857142861,8
4987,4988,4991,short,1520.7,1530.5640571428573,loss,-101.94057142857291,98.64057142857179,3
5040,5041,5263,long,1541.0,1530.0910857142858,loss,-112.38914285714218,109.08914285714307,222
5684,5685,5734,short,1524.05,1506.7285,win,169.91500000000013,107.05999999999958,49
5982,5983,6090,long,1583.05,1605.8889,win,225.08899999999966,141.16171428571397,107
6710,6711,6728,short,1646.25,1662.5346285714286,loss,-166.14628571428585,162.84628571428675,17
6763,6764,6797,long,1686.6,1719.087,win,321.5700000000008,200.79428571428613,33
6817,6818,6823,long,1769.5,1745.8408,loss,-239.89200000000056,236.59200000000064,5
7316,7317,7329,short,1824.0,1853.707257142857,loss,-300.3725714285709,297.07257142857134,12
7352,7353,7388,short,1776.15,1724.357,win,514.6300000000012,320.1200000000001,35
8375,8376,8400,short,1674.5,1616.6163000000001,win,575.5369999999987,357.7651428571426,24
8403,8404,8408,short,1574.4,1613.2808,loss,-392.1079999999991,388.80799999999994,4
9407,9408,9501,long,1702.4,1743.8589000000002,win,411.28900000000084,256.2474285714284,93
10601,10602,10746,long,1744.75,1720.9242285714286,loss,-241.55771428571444,238.25771428571394,144
10891,10892,10970,short,1706.75,1672.1903,win,342.2970000000002,213.60514285714237,78
11029,11030,11067,short,1625.1,1587.5464,win,372.2359999999996,232.10971428571446,37
11067,11068,11247,short,1584.0,1609.5066285714286,loss,-258.36628571428565,255.06628571428593,179
11486,11487,11521,short,1560.6,1532.56612,win,277.0387999999995,173.2706285714288,34
12375,12376,12401,long,1690.47,1714.2536200000002,win,234.53620000000154,147.00080000000057,25
12794,12795,12838,long,1746.28,1729.3145485714285,loss,-172.95451428571442,169.65451428571393,43
13308,13309,13430,long,1781.51,1766.3308,loss,-155.09200000000038,151.79200000000023,121
13535,13536,13536,short,1736.95,1715.69576,win,209.2423999999998,131.36731428571395,0
13536,13537,13538,short,1714.15,1728.1862171428572,loss,-143.6621714285714,140.36217142857103,1
13538,13539,13541,short,1728.61,1706.021,win,222.5899999999994,139.6171428571423,2
13541,13542,13545,short,1711.28,1688.40484,win,225.4516000000005,141.38582857142845,3
13545,13546,13551,short,1691.56,1705.28912,loss,-140.59119999999967,137.29119999999975,5
13964,13965,13997,short,1670.43,1642.27754,win,278.2246000000002,174.00354285714266,32
