signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
324,325,376,short,1347.95,1329.6583,win,179.6169999999999,113.05657142857122,51
457,458,468,long,1344.35,1330.5609142857143,loss,-141.1908571428565,137.89085714285636,10
2520,2521,2524,long,1548.8,1539.6567428571427,loss,-94.73257142857237,91.43257142857188,3
2901,2902,2927,short,1520.85,1501.7547,win,187.6529999999995,118.02342857142823,25
3478,3479,3483,long,1754.85,1730.815257142857,loss,-243.64742857142875,240.34742857142908,4
3748,3749,3761,short,1784.1,1732.5275,win,512.425,318.75714285714287,12
4268,4269,4281,short,1658.65,1603.5789000000002,win,547.4109999999989,340.3811428571428,12
4791,4792,4839,long,1695.75,1735.6262,win,395.46199999999925,246.46514285714304,47
5639,5640,5691,short,1578.6,1602.7831428571428,loss,-245.13142857142913,241.83142857142886,51
6306,6307,6346,long,1708.0,1732.3579,win,240.2789999999997,150.55028571428608,39
6887,6888,6891,short,1723.81,1700.88878,win,225.91219999999947,141.67051428571406,3
7459,7460,7471,short,1646.9,1620.94568,win,256.2432000000005,160.41737142857193,11
8018,8019,8037,short,1601.98,1581.1020800000001,win,205.47919999999903,129.04137142857155,18
8443,8444,8538,long,1613.95,1594.3648342857143,loss,-199.15165714285723,195.8516571428571,94
8538,8539,8608,short,1586.45,1608.5840114285716,loss,-224.64011428571513,221.3401142857143,69
10097,10098,10193,long,1735.25,1722.0496685714286,loss,-135.30331428571418,132.0033142857135,95
10200,10201,10243,long,1767.95,1755.194262857143,loss,-130.85737142857016,127.5573714285711,42
10400,10401,10415,short,1744.77,1758.840742857143,loss,-144.00742857142933,140.7074285714284,14
11023,11024,11061,short,1678.3,1688.9920685714285,loss,-110.22068571428535,106.92068571428571,37
11432,11433,11452,short,1717.08,1726.2929142857142,loss,-95.42914285714305,92.12914285714294,19
11757,11758,11800,short,1673.25,1655.95888,win,169.6112000000009,106.87222857142847,42
11803,11804,11819,short,1638.7,1651.0426400000001,loss,-126.72640000000074,123.42639999999999,15
11979,11980,11989,short,1652.35,1631.3417399999998,win,206.78260000000063,129.84697142857192,9
12408,12409,12429,long,1679.12,1669.3758742857142,loss,-100.74125714285701,97.4412571428568,20
12685,12686,12747,short,1607.66,1589.4653200000002,win,178.64679999999834,112.45691428571392,61
12751,12752,12754,short,1581.71,1561.5866800000001,win,197.9331999999992,124.37737142857083,2
13398,13399,13407,short,1580.63,1565.53996,win,147.60040000000043,93.2678857142856,8
13583,13584,13588,short,1506.13,1482.37676,win,234.23240000000004,146.8130285714289,4
13598,13599,13599,short,1437.85,1407.7924199999998,win,297.2758000000014,185.77862857142884,0
13606,13607,13611,short,1379.25,1343.83476,win,350.8524000000004,218.89302857142894,4
14574,14575,14582,short,1346.23,1324.54456,win,213.5543999999997,134.03245714285697,7
14582,14583,14584,short,1314.1,1291.68838,win,220.81619999999856,138.52079999999975,1
14870,14871,14998,long,1283.24,1285.12,win,15.499999999998817,180.97531428571443,127
16026,16027,16062,long,1367.88,1349.7146285714286,loss,-184.95371428571463,181.65371428571422,35
16227,16228,16248,short,1289.6,1306.4891314285715,loss,-172.19131428571546,168.89131428571451,20
16497,16498,16622,long,1320.22,1349.49652,win,289.4651999999989,180.9510857142857,124
16876,16877,16925,short,1285.27,1264.08632,win,208.53680000000094,130.93120000000062,48
18045,18046,18075,long,1259.22,1273.08112,win,135.31120000000027,85.6722285714286,29
20039,20040,20073,short,1268.57,1255.55658,win,126.83419999999997,80.43280000000011,33
20315,20316,20351,long,1272.17,1282.83142,win,103.31419999999908,65.89565714285712,35
20430,20431,20432,long,1297.77,1311.49294,win,133.92940000000107,84.81817142857155,1
20437,20438,20446,long,1318.94,1309.9633142857144,loss,-93.06685714285622,89.7668571428573,8
20809,20810,20816,short,1319.14,1305.0662200000002,win,137.4377999999994,86.98662857142851,6
21208,21209,21246,long,1308.32,1322.5731199999998,win,139.23119999999852,88.09508571428533,37
21901,21902,21917,short,1217.39,1226.7210285714286,loss,-96.61028571428533,93.31028571428568,15
22623,22624,22689,short,1174.34,1159.7948399999998,win,142.15160000000122,89.9001142857146,65
22860,22861,22901,long,1175.43,1200.69146,win,249.31459999999942,156.13497142857156,40
23106,23107,23109,long,1197.72,1220.65984,win,226.09840000000003,141.78559999999968,2
23554,23555,23577,long,1205.64,1192.2579542857143,loss,-137.12045714285824,133.82045714285732,22
23795,23796,23819,long,1259.04,1280.5265,win,211.56499999999977,132.80285714285725,23
24159,24160,24287,short,1233.63,1231.64,win,16.60000000000009,153.44560000000064,127
24615,24616,24654,short,1176.2,1158.6256600000002,win,172.44339999999892,108.62274285714267,38
24807,24808,24820,long,1172.11,1160.6941028571428,loss,-117.45897142857147,114.15897142857143,12
25420,25421,25487,long,1203.2,1192.9628228571428,loss,-105.67177142857263,102.3717714285717,66
25489,25490,25555,short,1182.34,1193.2265028571428,loss,-112.16502857142886,108.86502857142872,65
25696,25697,25756,long,1214.35,1229.1871999999998,win,145.07199999999938,91.70514285714263,59
26585,26586,26607,short,1153.29,1162.0292457142857,loss,-90.69245714285744,87.39245714285767,21
27785,27786,27845,long,1132.11,1123.9268,loss,-85.13199999999942,81.83199999999981,59
27893,27894,27909,long,1154.54,1145.6559885714285,loss,-92.14011428571511,88.84011428571405,15
28031,28032,28092,long,1136.08,1152.3656399999998,win,159.5563999999983,100.65759999999962,60
28453,28454,28489,short,1158.77,1143.86126,win,145.7874000000008,92.1473142857142,35
28608,28609,28736,short,1087.73,1095.44,loss,-80.40000000000036,109.41622857142876,127
29062,29063,29088,long,1083.53,1073.195302857143,loss,-106.64697142857067,103.34697142857149,25
30069,30070,30110,long,1193.02,1181.9505714285713,loss,-113.99428571428716,110.69428571428625,40
30139,30140,30169,long,1246.55,1231.6088457142857,loss,-152.7115428571422,149.41154285714302,29
30694,30695,30747,long,1258.85,1242.7749485714285,loss,-164.05051428571443,160.75051428571393,52
31960,31961,32027,long,1239.41,1256.4688600000002,win,167.28860000000094,105.43668571428583,66
32174,32175,32190,short,1281.78,1293.751942857143,loss,-123.01942857142949,119.71942857142864,15
32297,32298,32311,long,1322.27,1305.4935314285715,loss,-171.06468571428496,167.76468571428546,13
32991,32992,33049,short,1338.28,1349.96968,loss,-120.19679999999953,116.8968,57
33944,33945,33946,short,1284.11,1270.9025399999998,win,128.77460000000082,81.63211428571427,1
34771,34772,34820,short,1183.86,1195.818617142857,loss,-122.88617142857065,119.5861714285716,48
35116,35117,35128,short,1142.69,1127.95668,win,144.03320000000048,91.06308571428579,11
36558,36559,36571,long,1220.39,1233.54356,win,128.2355999999997,81.29897142857143,12
36933,36934,36944,long,1263.13,1255.657302857143,loss,-78.02697142857214,74.72697142857136,10
37339,37340,37354,short,1238.05,1226.20964,win,115.10359999999919,73.18239999999996,14
37562,37563,37585,long,1259.93,1252.3791657142858,loss,-78.80834285714245,75.50834285714262,22
37834,37835,37872,long,1276.52,1288.09772,win,112.4772,71.55908571428579,37
38239,38240,38286,short,1222.68,1212.24692,win,101.03080000000018,64.48434285714329,46
42918,42919,43046,short,1294.36,1292.36,win,16.7,84.25485714285693,127
43443,43444,43516,short,1280.49,1269.60808,win,105.51920000000037,67.25851428571468,72
43945,43946,43987,short,1226.7,1215.80436,win,105.65639999999958,67.34331428571404,41
44244,44245,44260,long,1218.77,1211.259142857143,loss,-78.40857142857048,75.10857142857144,15
45198,45199,45222,long,1207.16,1198.979222857143,loss,-85.10777142857096,81.80777142857112,23
45358,45359,45397,long,1215.89,1229.49044,win,132.70439999999934,84.06102857142884,38
46477,46478,46486,short,1243.82,1249.9861714285714,loss,-64.96171428571488,61.661714285714396,8
47031,47032,47068,long,1297.45,1307.5048000000002,win,97.24800000000114,62.1462857142858,36
47902,47903,47919,long,1315.27,1308.2473485714286,loss,-73.52651428571407,70.2265142857139,16
48033,48034,48161,short,1292.26,1288.69,win,32.399999999999366,86.39908571428563,127
48329,48330,48457,short,1276.57,1275.5,win,7.3999999999993635,66.71337142857148,127
48740,48741,48807,long,1297.89,1290.9152000000001,loss,-73.04799999999959,69.74800000000005,66
48923,48924,48986,long,1285.43,1279.2329371428573,loss,-65.27062857142782,61.97062857142826,62
49368,49369,49386,long,1382.86,1400.53822,win,173.4822000000001,109.26480000000006,17
49565,49566,49597,long,1426.62,1410.2626857142857,loss,-166.8731428571421,163.57314285714284,31
49835,49836,49851,long,1442.13,1428.8091314285716,loss,-136.50868571428492,133.20868571428576,15
50063,50064,50093,long,1438.24,1456.30826,win,177.38260000000008,111.67554285714236,29
50622,50623,50677,short,1513.89,1489.4243000000001,win,241.3569999999997,151.21657142857148,54
51577,51578,51623,short,1485.72,1468.9767,win,164.1330000000009,103.48628571428578,45
52027,52028,52050,long,1479.22,1471.4850285714285,loss,-80.64971428571498,77.34971428571417,22
52551,52552,52560,long,1595.0,1583.0541028571429,loss,-122.7589714285712,119.45897142857118,8
53403,53404,53411,short,1583.55,1606.2642857142857,loss,-230.4428571428578,227.14285714285714,7
53608,53609,53610,short,1566.25,1596.1662285714285,loss,-302.4622857142852,299.1622857142855,1
53631,53632,53637,short,1534.61,1569.3876914285713,loss,-351.07691428571417,347.77691428571376,5
54928,54929,54947,short,1693.69,1709.68752,loss,-163.27519999999896,159.9751999999998,18
54974,54975,54988,short,1674.99,1692.5230057142858,loss,-178.63005714285765,175.33005714285716,13
55715,55716,55717,long,1859.83,1848.25056,loss,-119.09439999999977,115.79440000000005,1
55783,55784,55799,long,1932.88,1957.80924,win,245.99239999999935,154.08160000000007,15
56042,56043,56048,short,1949.81,1902.60242,win,468.77580000000006,291.77862857142856,5
56699,56700,56707,short,1896.69,1915.2624114285716,loss,-189.02411428571514,185.72411428571448,7
57316,57317,57391,short,1882.38,1897.311462857143,loss,-152.61462857142834,149.31462857142841,74
57422,57423,57427,short,1891.7,1907.8398628571429,loss,-164.69862857142817,161.39862857142873,4
57453,57454,57495,long,1945.42,1926.2897257142859,loss,-194.60274285714223,191.3027428571431,41
57498,57499,57509,short,1860.58,1880.7175771428572,loss,-204.67577142857255,201.3757714285717,10
57726,57727,57745,short,1834.59,1808.4828,win,257.7719999999992,161.36228571428563,18
57814,57815,57852,short,1781.98,1799.2792,loss,-176.2919999999993,172.9919999999998,37
58402,58403,58416,short,1909.73,1926.8650514285714,loss,-174.65051428571388,171.35051428571418,13
58448,58449,58451,short,1862.76,1831.06778,win,313.62219999999905,195.88194285714275,2
58877,58878,58893,short,1786.5,1806.6387885714287,loss,-204.68788571428678,201.38788571428597,15
59238,59239,59248,short,1729.89,1749.8101257142857,loss,-202.50125714285633,199.2012571428572,9
60787,60788,60809,short,1870.88,1886.3457028571431,loss,-157.95702857143016,154.65702857142907,21
