signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
41,42,51,short,1432.65,1399.3251,win,329.9490000000007,205.97314285714293,9
66,67,74,short,1456.3,1479.9773714285714,loss,-240.07371428571406,236.7737142857142,7
128,129,136,long,1583.8,1620.1628999999998,win,360.32899999999853,224.75028571428527,7
142,143,146,short,1661.0,1691.8550857142857,loss,-311.8508571428568,308.55085714285747,3
209,210,221,short,1762.45,1687.7789000000002,win,743.410999999998,461.5239999999993,11
237,238,238,long,1627.45,1584.4352000000001,loss,-433.44799999999924,430.1479999999998,0
272,273,278,short,1758.43,1708.08642,win,500.13579999999973,311.16148571428573,5
295,296,301,long,1674.56,1639.969474285714,loss,-349.20525714285833,345.9052571428581,5
316,317,321,long,1620.55,1677.2822,win,564.0220000000015,350.6480000000009,4
339,340,340,long,1605.3,1580.7352571428569,loss,-248.94742857143075,245.64742857143034,0
414,415,416,short,1637.7,1660.7286514285715,loss,-233.58651428571494,230.2865142857157,1
424,425,427,short,1694.98,1716.9316914285719,loss,-222.8169142857185,219.5169142857175,2
446,447,453,short,1790.24,1745.5128,win,443.9720000000004,276.44799999999975,6
467,468,469,long,1676.02,1710.96288,win,346.1288000000006,215.97348571428648,1
499,500,501,long,1670.81,1649.7299314285713,loss,-214.10068571428684,210.80068571428706,1
540,541,543,long,1609.49,1588.8218171428573,loss,-209.98182857142712,206.68182857142818,2
572,573,576,long,1557.55,1589.1501000000003,win,312.7010000000034,195.31257142857294,3
627,628,631,long,1278.67,1248.335222857143,loss,-306.64777142857093,303.34777142856996,3
665,666,671,short,1365.47,1396.9495771428572,loss,-318.09577142857125,314.79577142857084,5
698,699,714,long,1287.07,1333.27,win,458.70000000000044,368.6013714285676,15
734,735,742,long,1242.57,1218.2372457142853,loss,-246.627542857146,243.32754285714574,7
742,743,748,long,1219.86,1256.5776600000002,win,363.8766000000025,226.94297142857258,5
779,780,791,short,1269.72,1291.4802857142859,loss,-220.9028571428583,217.60285714285715,11
791,792,794,short,1290.14,1311.7864114285712,loss,-219.7641142857113,216.46411428571145,2
805,806,812,short,1349.57,1370.51984,loss,-212.79839999999996,209.4983999999994,6
826,827,833,long,1279.08,1318.6925800000006,win,392.8258000000066,244.83577142857533,6
865,866,868,long,1263.76,1245.1597257142857,loss,-189.3027428571425,186.0027428571417,2
882,883,897,short,1319.52,1334.44056,loss,-152.50560000000024,149.20560000000106,14
