signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
41,42,43,long,1432.65,1412.0526857142859,loss,-209.2731428571422,205.97314285714293,1
66,67,75,long,1456.3,1494.6082,win,379.7819999999994,236.7737142857142,8
128,129,131,short,1583.8,1606.2750285714285,loss,-228.0502857142854,224.75028571428527,2
142,143,146,long,1661.0,1710.9212,win,495.912,308.55085714285747,3
209,210,219,long,1762.45,1716.2976,loss,-464.82399999999944,461.5239999999993,9
237,238,247,short,1627.45,1557.8553000000002,win,692.6469999999988,430.1479999999998,9
272,273,273,long,1758.43,1727.3138514285715,loss,-314.4614857142854,311.16148571428573,0
295,296,298,short,1674.56,1709.1505257142858,loss,-349.20525714285833,345.9052571428581,2
316,317,319,short,1620.55,1655.6148,loss,-353.94800000000106,350.6480000000009,2
339,340,343,short,1605.3,1565.5560999999996,win,394.13900000000393,245.64742857143034,3
414,415,418,long,1637.7,1674.9586200000003,win,369.2862000000029,230.2865142857157,3
424,425,427,long,1694.98,1730.4961800000005,win,351.8618000000053,219.5169142857175,2
446,447,449,long,1790.24,1762.5952,loss,-279.74800000000033,276.44799999999975,2
467,468,469,short,1676.02,1697.6173485714287,loss,-219.27348571428712,215.97348571428648,1
499,500,501,short,1670.81,1636.7040399999996,win,337.7596000000032,210.80068571428706,1
540,541,543,short,1609.49,1576.05044,win,331.0956000000003,206.68182857142818,2
572,573,574,short,1557.55,1577.0812571428573,loss,-198.61257142857386,195.31257142857294,1
627,628,631,short,1278.67,1229.5906200000004,win,487.4937999999967,303.34777142856996,3
665,666,673,long,1365.47,1416.40158,win,506.0157999999994,314.79577142857084,7
698,699,701,short,1287.07,1323.9301371428567,loss,-371.9013714285673,368.6013714285676,2
734,735,748,short,1242.57,1266.9027542857145,loss,-246.627542857146,243.32754285714574,13
779,780,783,long,1269.72,1247.9597142857142,loss,-220.9028571428583,217.60285714285715,3
791,792,795,long,1290.14,1325.1622599999996,win,346.92259999999504,216.46411428571145,3
805,806,809,long,1349.57,1328.62016,loss,-212.79839999999996,209.4983999999994,3
826,827,829,short,1279.08,1303.5635771428574,loss,-248.13577142857486,244.83577142857533,2
865,866,879,short,1263.76,1282.3602742857142,loss,-189.3027428571425,186.0027428571417,13
882,883,897,long,1319.52,1343.6603400000001,win,238.1034000000015,149.20560000000106,14
897,898,899,long,1335.32,1318.047451428571,loss,-176.02548571428844,172.7254857142878,1
927,928,932,short,1277.76,1294.3196228571428,loss,-168.89622857142814,165.59622857142818,4
935,936,942,short,1266.01,1241.7491200000009,win,239.30879999999132,149.95062857142275,6
958,959,960,short,1191.47,1210.1108571428572,loss,-189.7085714285716,186.40857142857143,1
981,982,983,short,1140.86,1159.3476114285713,loss,-188.17611428571428,184.87611428571498,1
999,1000,1011,long,1211.29,1183.487714285714,loss,-281.32285714285973,278.0228571428593,11
1030,1031,1035,long,1262.86,1306.0995599999997,win,429.09559999999755,267.2532571428556,4
1066,1067,1077,short,1169.45,1191.3247657142858,loss,-222.04765714285787,218.74765714285678,10
1116,1117,1118,long,1225.54,1204.4962742857144,loss,-213.7372571428553,210.43725714285605,1
1152,1153,1161,short,1154.86,1129.8494199999993,win,246.80580000000572,154.58434285714674,8
1221,1222,1235,long,1163.0,1143.078662857143,loss,-202.51337142857057,199.21337142857107,13
1239,1240,1247,short,1103.74,1071.6665600000001,win,317.4343999999989,198.23817142857072,7
1269,1270,1270,short,1052.11,1071.489828571428,loss,-197.09828571428108,193.79828571428172,0
1281,1282,1287,long,1093.88,1075.2706400000004,loss,-189.39359999999698,186.09359999999754,5
1299,1300,1303,long,1127.98,1158.7843400000006,win,304.7434000000059,190.39417142857468,3
1322,1323,1329,long,1263.55,1230.3889600000002,loss,-334.9103999999973,331.6103999999963,6
1363,1364,1369,long,1290.47,1267.4074285714287,loss,-233.92571428571347,230.62571428571425,5
1384,1385,1388,short,1205.38,1228.4425714285715,loss,-233.92571428571347,230.62571428571425,3
1403,1404,1409,long,1319.57,1356.2808000000002,win,363.8080000000029,226.90057142857273,5
1411,1412,1415,long,1363.09,1333.4639085714284,loss,-299.560914285715,296.2609142857146,3
1451,1452,1453,short,1308.06,1327.375017142857,loss,-196.4501714285696,193.15017142856982,1
1475,1476,1478,short,1268.36,1241.7402599999998,win,262.8974000000009,164.530171428572,2
1503,1504,1511,short,1227.76,1191.5960400000004,win,358.3395999999963,223.5206857142838,7
1519,1520,1527,short,1169.96,1124.37334,win,452.56659999999937,281.7601142857132,7
1544,1545,1560,long,1190.95,1220.2970800000014,win,290.1708000000137,181.3872000000083,15
1561,1562,1576,long,1220.76,1251.3996999999995,win,303.0969999999949,189.37657142856787,14
1608,1609,1621,long,1273.97,1258.925874285715,loss,-153.74125714284975,150.4412571428499,12
1623,1624,1633,short,1238.57,1254.1616914285707,loss,-159.21691428570813,155.91691428570758,9
1645,1646,1651,long,1278.63,1263.684605714286,loss,-152.75394285714202,149.4539428571416,5
1666,1667,1675,short,1220.0,1232.3202285714287,loss,-126.50228571428742,123.20228571428659,8
1690,1691,1703,long,1276.78,1297.2482800000007,win,201.3828000000073,126.50948571429048,12
1705,1706,1709,long,1333.83,1353.951359999999,win,197.91359999999185,124.36525714285256,3
1720,1721,1726,short,1270.73,1287.246617142857,loss,-168.4661714285706,165.1661714285716,5
