signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
123,124,130,long,1423.3,1411.5158285714285,loss,-121.14171428571426,117.8417142857144,6
199,200,215,long,1456.3,1456.9,win,2.7000000000013644,125.07999999999986,15
384,385,386,short,1483.4,1496.3108,loss,-132.40799999999882,129.10799999999924,1
386,387,389,long,1589.15,1576.0908000000002,loss,-133.8919999999992,130.59199999999967,2
425,426,427,long,1636.1,1661.5261,win,250.96100000000132,157.1525714285719,1
499,500,500,long,1917.85,1884.6326285714285,loss,-335.4737142857137,332.17371428571295,0
541,542,542,short,1574.4,1614.4589142857144,loss,-403.8891428571431,400.5891428571425,0
627,628,643,long,1762.45,1766.85,win,40.69999999999864,295.0131428571435,15
707,708,711,short,1661.75,1624.6471999999997,win,367.7280000000034,229.323428571431,3
814,815,819,long,1747.71,1728.1539085714282,loss,-198.8609142857179,195.56091428571682,4
884,885,890,short,1668.84,1690.6396571428572,loss,-221.29657142857315,217.9965714285723,5
947,948,952,short,1623.51,1639.763737142857,loss,-165.83737142857063,162.5373714285704,4
1016,1017,1019,short,1605.18,1584.00024,win,208.49759999999986,130.90697142857078,2
1241,1242,1246,long,1640.21,1658.5997000000004,win,180.59700000000402,113.6622857142888,4
1270,1271,1280,long,1693.67,1713.9060200000006,win,199.06020000000507,125.07394285714604,9
1328,1329,1329,long,1788.77,1772.6731428571427,loss,-164.2685714285729,160.96857142857363,0
1400,1401,1407,short,1686.06,1696.4673828571426,loss,-107.37382857142693,104.07382857142618,6
1497,1498,1502,short,1670.81,1653.9236200000003,win,165.5637999999969,104.37062857142716,4
1618,1619,1627,short,1610.84,1591.4291400000004,win,190.808599999995,119.97382857142618,8
1715,1716,1720,short,1557.55,1568.9562057142855,loss,-117.36205714285533,114.06205714285574,4
1871,1872,1872,short,1301.3,1279.2382400000008,win,217.3175999999914,136.35839999999496,0
1898,1899,1900,short,1209.5,1229.0239885714293,loss,-198.539885714293,195.23988571429337,1
1986,1987,2002,long,1365.47,1377.73,win,119.29999999999991,158.11565714285544,15
2085,2086,2088,short,1287.07,1307.0755314285711,loss,-203.35531428571204,200.05531428571138,2
2193,2194,2203,short,1242.57,1254.1185485714288,loss,-118.7854857142891,115.48548571429004,9
2217,2218,2223,short,1219.86,1231.2916457142856,loss,-117.6164571428565,114.31645714285689,5
2326,2327,2328,long,1269.72,1259.3053485714277,loss,-107.4465142857237,104.1465142857245,1
2360,2361,2369,long,1284.2,1304.0361800000012,win,195.0618000000115,122.60262857143509,8
2403,2404,2406,long,1347.09,1334.6486285714288,loss,-127.71371428571074,124.41371428571077,2
2467,2468,2469,short,1279.08,1290.2457371428573,loss,-114.95737142857324,111.65737142857371,1
2584,2585,2593,short,1263.76,1250.0527400000005,win,133.7725999999945,84.72125714285433,8
2635,2636,2636,long,1319.52,1310.8952342857142,loss,-89.54765714285786,86.2476571428568,0
2679,2680,2684,long,1339.9,1331.7840342857146,loss,-84.45965714285494,81.1596571428559,4
2769,2770,2778,short,1275.01,1284.3192228571424,loss,-96.39222857142458,93.09222857142558,8
2793,2794,2800,short,1268.01,1275.4936000000002,loss,-78.13600000000251,74.83600000000176,6
2862,2863,2864,short,1202.45,1184.227879999999,win,178.9212000000104,112.6265142857201,1
2930,2931,2936,short,1154.68,1135.5660799999994,win,187.83920000000688,118.1385142857192,5
2986,2987,2988,long,1211.29,1196.78496,loss,-148.3504000000001,145.0504000000007,1
3070,3071,3077,long,1238.7,1263.1480599999995,win,241.18059999999485,151.10754285713915,6
3184,3185,3185,short,1182.08,1164.7006799999988,win,170.49320000001143,107.41737142857812,0
3301,3302,3304,short,1173.35,1185.1087314285712,loss,-120.88731428571309,117.58731428571271,2
3333,3334,3337,long,1224.57,1213.9506171428561,loss,-109.49382857143819,106.19382857143721,3
3376,3377,3378,short,1167.61,1176.328045714286,loss,-90.48045714286063,87.18045714286173,1
3442,3443,3458,short,1161.52,1155.75,win,54.39999999999982,91.638514285706,15
3648,3649,3655,long,1157.7,1174.949959999999,win,169.19959999998963,106.61782857142222,6
3704,3705,3713,short,1103.74,1085.3620600000008,win,180.4793999999917,113.58959999999489,8
3794,3795,3797,short,1052.11,1064.1364571428571,loss,-123.56457142857225,120.26457142857318,2
3830,3831,3833,long,1093.88,1106.6454800000017,win,124.35480000001617,78.9003428571529,2
3884,3885,3890,long,1127.98,1142.7926999999988,win,144.82699999998812,91.55371428570635,5
3953,3954,3965,long,1263.55,1246.8843771428571,loss,-169.95622857142808,166.65622857142822,11
4074,4075,4082,long,1290.47,1275.892879999999,loss,-149.0712000000106,145.77120000001094,7
4135,4136,4139,short,1202.42,1214.311382857143,loss,-122.21382857142844,118.91382857142838,3
4175,4176,4176,long,1310.42,1299.7006742857138,loss,-110.49325714286242,107.19325714286225,0
4216,4217,4221,long,1367.97,1353.6902857142852,loss,-146.09714285714819,142.79714285714726,4
