signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
3778,3779,3779,long,1418.7,1417.4613142857143,loss,-15.686857142857935,12.386857142857583,0
7688,7689,7690,long,1572.0,1567.5298285714289,loss,-48.0017142857112,44.70171428571164,1
11802,11803,11805,short,1488.65,1490.8972,loss,-25.772000000000208,22.47200000000132,2
16643,16644,16644,short,1606.55,1614.9663999999998,loss,-87.46399999999839,84.16399999999823,0
21736,21737,21744,short,1663.4,1668.1336571428565,loss,-50.63657142856373,47.33657142856349,7
27178,27179,27180,short,1685.04,1687.5234285714293,loss,-28.134285714293856,24.83428571429453,1
29121,29122,29126,short,1625.95,1620.0748999999976,win,55.45100000002476,36.3125714285873,4
31259,31260,31262,short,1610.73,1605.0528599999993,win,53.47140000000691,35.089028571433154,2
38189,38190,38192,long,1635.86,1638.6392799999971,win,24.49279999997243,17.17805714283987,2
43062,43063,43063,short,1693.85,1695.859154285716,loss,-23.39154285716022,20.09154285715943,0
46003,46004,46004,short,1669.5,1663.0006400000022,win,61.69359999997751,40.17097142855803,0
46920,46921,46924,short,1631.15,1634.392994285714,loss,-35.72994285713848,32.429942857138975,3
49680,49681,49682,short,1621.18,1617.7196200000017,win,31.303799999983948,21.3877714285612,1
52620,52621,52621,short,1558.46,1561.4806971428586,loss,-33.5069714285858,30.206971428586236,0
57229,57230,57230,short,1332.96,1329.3869200000038,win,32.43079999996253,22.08434285712029,0
58066,58067,58067,short,1221.13,1224.5232114285727,loss,-37.23211428572613,33.93211428572556,0
60754,60755,60755,long,1358.55,1366.2204599999989,win,73.40459999998912,47.4092571428508,0
63773,63774,63789,short,1291.14,1289.36,win,14.500000000002,61.08628571434212,15
67105,67106,67106,short,1249.78,1253.640217142856,loss,-41.90217142856072,38.60217142856014,0
71079,71080,71083,long,1270.68,1268.7308114285702,loss,-22.79188571429886,19.49188571429911,3
72140,72141,72141,long,1280.19,1279.0524685714304,loss,-14.675314285696732,11.375314285695952,0
73438,73439,73441,long,1347.1,1349.6019400000055,win,21.71940000005561,15.463885714320266,2
75349,75350,75350,short,1280.86,1278.9352799999986,win,15.947200000013435,11.896228571437032,0
80554,80555,80570,long,1316.81,1318.73,win,15.900000000000727,38.995885714270905,15
83366,83367,83367,short,1280.21,1281.6231314285708,loss,-17.431314285707504,14.131314285706528,0
85366,85367,85374,short,1270.84,1268.0812999999948,win,24.28700000005092,17.050857142888873,7
87491,87492,87492,short,1200.07,1201.7526742857142,loss,-20.126742857142563,16.82674285714215,0
89575,89576,89576,short,1155.27,1152.8219599999989,win,21.180400000011286,15.130742857149201,0
91250,91251,91253,long,1210.05,1219.2767000000022,win,88.96700000002211,57.0280000000141,2
93783,93784,93784,long,1239.47,1242.4648799999998,win,26.64879999999739,18.51062857142716,0
97270,97271,97272,short,1184.63,1181.3911000000041,win,29.08899999995965,20.018857142832463,1
99120,99121,99122,long,1223.9,1221.3729600000036,loss,-28.57039999996532,25.27039999996545,1
100858,100859,100863,short,1172.95,1174.9016114285732,loss,-22.816114285731874,19.51611428573262,4
111398,111399,111411,long,1158.02,1155.2288685714311,loss,-31.211314285688605,27.9113142856889,12
113167,113168,113173,short,1103.56,1105.093062857141,loss,-18.630628571409762,15.330628571409532,5
114865,114866,114866,short,1051.68,1053.568617142855,loss,-22.18617142854855,18.88617142854957,0
116932,116933,116936,long,1090.91,1088.4822971428562,loss,-27.577028571439133,24.277028571438443,3
124357,124358,124358,long,1297.28,1299.907379999994,win,22.97379999993991,16.239199999963333,0
126142,126143,126147,short,1207.4,1209.7223085714284,loss,-26.52308571428266,23.223085714283595,4
127355,127356,127358,long,1308.21,1311.452819999991,win,29.128199999910702,20.043085714230713,2
128598,128599,128600,long,1359.24,1363.0335799999964,win,34.63579999996382,23.447199999977435,1
132268,132269,132271,short,1309.3,1311.0099314285703,loss,-20.399314285703714,17.099314285703002,2
134487,134488,134488,short,1298.07,1295.4965199999963,win,22.434800000036557,15.906057142880414,0
137060,137061,137061,short,1235.47,1239.1157942857144,loss,-39.75794285714373,36.45794285714427,0
138265,138266,138269,short,1166.08,1168.0885485714375,loss,-23.385485714375864,20.085485714375974,3
140707,140708,140710,long,1188.97,1187.1782971428527,loss,-21.217028571473566,17.9170285714737,2
144575,144576,144578,short,1197.63,1198.97468571429,loss,-16.746857142898808,13.446857142899452,2
146420,146421,146421,long,1261.71,1260.7771999999986,loss,-12.628000000014072,9.328000000014102,0
155823,155824,155839,short,1277.22,1274.97,win,19.2,20.57611428569736,15
