signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
25,26,27,long,1579.33,1404.57416,loss,-1750.8584000000003,1747.5584000000006,1
27,28,29,long,1475.55,1300.5900342857142,loss,-1752.8996571428577,1749.5996571428573,1
29,30,45,long,1234.35,1172.44,loss,-622.3999999999985,1733.2817142857145,15
45,46,61,long,1172.61,1238.43,win,654.9000000000017,1403.8640000000003,15
61,62,65,short,1237.98,1336.744742857143,loss,-990.9474285714289,987.6474285714286,3
65,66,71,short,1321.82,1148.50994,win,1729.8006000000003,1071.1875428571436,5
71,72,80,long,1151.67,1323.9481200000002,win,1719.4812000000018,1064.8093714285728,8
81,82,91,long,1270.7,1168.6232114285713,loss,-1024.0678857142877,1020.767885714287,9
91,92,97,long,1200.44,1331.27392,win,1305.0392000000004,808.6528000000011,5
98,99,101,long,1292.11,1403.9681799999998,win,1115.2817999999995,691.3683428571427,2
101,102,103,short,1393.96,1459.9901257142858,loss,-663.6012571428575,660.3012571428577,1
103,104,108,short,1529.48,1601.08088,loss,-719.3087999999996,716.0088,4
108,109,109,short,1588.62,1670.68096,loss,-823.9096000000002,820.6095999999993,0
113,114,114,short,1779.83,1891.218434285714,loss,-1117.1843428571408,1113.8843428571413,0
114,115,118,short,1983.84,1795.4781200000002,win,1880.318799999997,1164.2191999999984,3
118,119,134,long,1776.52,2008.18318,win,2313.3318,1431.854057142857,15
136,137,140,long,1836.62,1671.7542628571427,loss,-1651.9573714285714,1648.6573714285726,3
140,141,144,long,1662.53,1909.67522,win,2468.152200000001,1527.5448000000008,3
144,145,148,short,1927.98,2077.3158285714285,loss,-1496.6582857142846,1493.3582857142849,3
149,150,158,long,1918.92,2170.7359,win,2514.8590000000004,1556.4131428571425,8
158,159,159,short,2243.53,2397.1470171428573,loss,-1539.470171428571,1536.1701714285698,0
159,160,160,short,2286.61,2447.5404114285716,loss,-1612.6041142857146,1609.3041142857137,0
162,163,164,short,2448.43,2616.938502857143,loss,-1688.3850285714295,1685.085028571428,1
164,165,168,short,2633.18,2804.770377142857,loss,-1719.2037714285705,1715.9037714285719,3
168,169,170,short,2800.87,2985.7933599999997,loss,-1852.5335999999977,1849.2335999999996,1
170,171,171,short,3122.75,3316.2690514285714,loss,-1938.490514285714,1935.1905142857147,0
171,172,176,short,3287.5,3492.0648571428574,loss,-2048.948571428574,2045.6485714285716,4
176,177,177,short,3858.97,4112.236708571429,loss,-2535.9670857142883,2532.667085714284,0
177,178,179,short,3981.05,4249.919908571428,loss,-2691.9990857142793,2688.699085714283,1
179,180,180,short,4325.4,4637.914651428571,loss,-3128.446514285716,3125.1465142857114,0
180,181,181,short,4779.68,5103.644468571429,loss,-3242.944685714284,3239.644685714282,0
185,186,187,long,4013.12,4341.3,win,3278.5000000000027,5335.74925714285,1
