signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
25,26,29,short,1579.33,1296.5882399999998,win,2824.117600000001,1747.5584000000006,3
29,30,31,short,1234.35,1407.6781714285714,loss,-1736.5817142857152,1733.2817142857145,1
37,38,45,long,1332.27,1182.548937142857,loss,-1500.510628571429,1497.2106285714294,7
48,49,54,long,1282.27,1141.3445142857142,loss,-1412.5548571428574,1409.2548571428567,5
54,55,61,short,1095.61,1201.24536,loss,-1059.6535999999999,1056.3536000000004,6
61,62,71,long,1237.98,1139.2152571428571,loss,-990.9474285714289,987.6474285714286,9
72,73,88,long,1210.43,1298.24,win,874.7999999999995,1055.6570285714301,15
89,90,97,short,1252.42,1333.9188571428574,loss,-818.2885714285733,814.9885714285736,7
101,102,103,long,1393.96,1500.79176,win,1065.0176000000004,660.3012571428577,1
103,104,106,long,1529.48,1457.87912,loss,-719.3087999999996,716.0088,2
107,108,109,long,1516.67,1647.74206,win,1307.4205999999997,810.1246857142852,1
114,115,115,long,1983.84,1867.4180800000001,loss,-1167.5191999999977,1164.2191999999984,0
121,122,124,short,1734.03,1898.84304,loss,-1651.4304,1648.1303999999993,2
124,125,127,long,1907.13,1737.1641485714288,loss,-1702.9585142857134,1699.6585142857125,2
142,143,147,long,1768.36,2010.0132999999998,win,2413.2329999999993,1493.6005714285707,4
152,153,153,short,1847.6,2000.6900457142856,loss,-1534.2004571428567,1530.9004571428572,0
153,154,158,long,1983.27,2233.76388,win,2501.6387999999997,1548.2420571428568,4
158,159,163,long,2243.53,2492.07074,win,2482.107399999999,1536.1701714285698,4
168,169,170,long,2800.87,3100.06204,win,2988.620399999999,1849.2335999999996,1
170,171,171,long,3122.75,3435.84922,win,3127.6922000000004,1935.1905142857147,0
175,176,176,long,3449.01,3855.05438,win,4057.143799999998,2509.6620571428557,0
176,177,177,long,3858.97,4268.736419999999,win,4094.3641999999945,2532.667085714284,0
185,186,187,short,4013.12,4341.3,loss,-3285.100000000003,5335.74925714285,1
