signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
25,26,29,short,1579.33,1296.5882399999998,win,2824.117600000001,1747.5584000000006,3
29,30,31,short,1234.35,1407.6781714285714,loss,-1736.5817142857152,1733.2817142857145,1
31,32,34,long,1392.64,1232.0954285714286,loss,-1608.7457142857154,1605.4457142857145,2
35,36,38,short,1225.67,1375.9568000000002,loss,-1506.1680000000008,1502.8680000000004,2
40,41,56,short,1249.94,1114.71,win,1349.0000000000002,1473.5938285714294,15
58,59,61,short,1065.14,1168.6099314285716,loss,-1037.999314285715,1034.6993142857145,2
61,62,71,long,1237.98,1139.2152571428571,loss,-990.9474285714289,987.6474285714286,9
71,72,73,short,1151.67,1258.1509371428574,loss,-1068.1093714285732,1064.8093714285728,1
73,74,89,long,1247.92,1252.74,win,44.899999999999366,1070.53942857143,15
89,90,97,short,1252.42,1333.9188571428574,loss,-818.2885714285733,814.9885714285736,7
98,99,101,short,1292.11,1361.2468342857142,loss,-694.6683428571425,691.3683428571427,2
101,102,103,long,1393.96,1500.79176,win,1065.0176000000004,660.3012571428577,1
103,104,106,long,1529.48,1457.87912,loss,-719.3087999999996,716.0088,2
107,108,109,long,1516.67,1647.74206,win,1307.4205999999997,810.1246857142852,1
113,114,114,long,1779.83,1960.0480799999996,win,1798.8807999999965,1113.8843428571413,0
114,115,115,long,1983.84,1867.4180800000001,loss,-1167.5191999999977,1164.2191999999984,0
118,119,120,short,1776.52,1919.7054057142857,loss,-1435.154057142857,1431.854057142857,1
121,122,124,short,1734.03,1898.84304,loss,-1651.4304,1648.1303999999993,2
124,125,127,long,1907.13,1737.1641485714288,loss,-1702.9585142857134,1699.6585142857125,2
133,134,138,long,1906.81,1745.3235428571427,loss,-1618.1645714285726,1614.864571428572,4
138,139,144,short,1764.7,1920.0487542857145,loss,-1556.7875428571444,1553.4875428571436,5
144,145,158,long,1927.98,2169.5941,win,2412.8409999999976,1493.3582857142849,13
158,159,163,long,2243.53,2492.07074,win,2482.107399999999,1536.1701714285698,4
163,164,165,long,2502.31,2780.13902,win,2774.990200000001,1717.1939428571436,1
165,166,166,long,2743.14,2562.6759085714284,loss,-1807.9409142857146,1804.6409142857158,0
168,169,170,long,2800.87,3100.06204,win,2988.620399999999,1849.2335999999996,1
170,171,171,long,3122.75,3435.84922,win,3127.6922000000004,1935.1905142857147,0
171,172,176,long,3287.5,3618.4705,win,3306.404999999999,2045.6485714285716,4
176,177,177,long,3858.97,4268.736419999999,win,4094.3641999999945,2532.667085714284,0
177,178,179,long,3981.05,4416.06122,win,4346.812199999994,2688.699085714283,1
179,180,180,long,4325.4,4831.025119999999,win,5052.951199999997,3125.1465142857114,0
180,181,181,long,4779.68,4455.715531428572,loss,-3242.944685714284,3239.644685714282,0
185,186,187,short,4013.12,4341.3,loss,-3285.100000000003,5335.74925714285,1
