signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
36,37,41,short,1651.85,1750.139257142857,loss,-986.1925714285719,982.8925714285714,4
48,49,54,short,1598.8,1727.0539428571428,loss,-1285.8394285714287,1282.5394285714287,5
58,59,60,long,1773.9,1676.2842971428572,loss,-979.4570285714287,976.1570285714286,1
61,62,77,short,1658.49,1583.12,win,750.4000000000012,936.3858285714284,15
84,85,88,long,1671.28,1785.0521199999998,win,1134.4211999999986,703.1979428571426,3
94,95,95,short,1676.02,1736.8670285714286,loss,-611.770285714286,608.4702857142859,0
109,110,117,short,1609.49,1526.74076,win,824.192400000001,511.4530285714291,7
117,118,118,short,1478.52,1393.58928,win,846.0072000000007,524.9362285714293,0
127,128,135,short,1297.14,1370.0861714285716,loss,-732.7617142857146,729.4617142857138,7
135,136,140,long,1378.72,1293.867302857143,loss,-851.8269714285709,848.5269714285706,4
149,150,161,short,1242.0,1316.624,loss,-749.5400000000002,746.2399999999993,11
161,162,176,long,1318.91,1257.6831885714287,loss,-615.568114285714,612.2681142857141,14
176,177,179,short,1249.94,1298.543725714286,loss,-489.3372571428593,486.03725714285827,2
191,192,199,short,1226.12,1157.3749599999999,win,684.1504000000002,424.89645714285683,7
204,205,206,long,1221.93,1171.911325714286,loss,-503.4867428571404,500.1867428571399,1
209,210,213,long,1280.33,1228.1028914285716,loss,-525.5710857142828,522.2710857142833,3
216,217,226,short,1169.45,1226.45256,loss,-573.325599999999,570.0255999999988,9
235,236,248,short,1133.47,1177.5332914285711,loss,-443.9329142857112,440.63291428571154,12
251,252,264,short,1089.74,1134.751234285714,loss,-453.41234285713955,450.1123428571399,12
265,266,266,long,1235.49,1191.05904,loss,-447.60959999999915,444.30959999999817,0
276,277,280,long,1290.47,1236.6110971428568,loss,-541.8890285714322,538.589028571432,3
280,281,282,short,1212.29,1269.9182628571432,loss,-579.5826285714322,576.2826285714318,1
299,300,303,short,1256.94,1306.9974399999999,loss,-503.87439999999816,500.574399999999,3
308,309,314,short,1159.29,1207.8022628571425,loss,-488.4226285714256,485.1226285714262,5
321,322,323,short,1205.23,1251.4884,loss,-465.8839999999994,462.5839999999994,1
326,327,329,long,1292.14,1250.0519428571429,loss,-424.18057142857225,420.8805714285727,2
338,339,340,short,1212.98,1249.2301828571428,loss,-365.8018285714282,362.5018285714282,1
343,344,347,long,1289.57,1343.8129999999996,win,539.1299999999972,335.262857142856,3
360,361,363,short,1247.7,1279.7204800000002,loss,-323.50480000000135,320.2048000000008,2
363,364,367,long,1309.81,1363.5188999999998,win,533.7889999999986,331.9617142857138,3
383,384,392,short,1291.03,1229.49384,win,612.0615999999989,380.34011428571324,8
412,413,420,long,1250.34,1301.376440000001,win,507.0644000000099,315.4438857142916,7
431,432,437,short,1275.62,1304.8784228571428,loss,-295.88422857142933,292.5842285714291,5
438,439,440,long,1334.62,1382.0813999999998,win,471.3139999999991,293.3474285714281,1
447,448,461,long,1495.95,1453.8165142857138,loss,-424.6348571428628,421.33485714286286,13
468,469,476,long,1575.94,1655.6032200000006,win,793.332200000006,492.3790857142897,7
478,479,479,short,1550.96,1462.3582000000001,win,882.7179999999992,547.6262857142848,0
493,494,498,long,1770.27,1929.7316799999996,win,1591.3167999999966,985.5940571428548,4
512,513,513,long,1957.4,1868.879702857143,loss,-888.5029714285708,885.2029714285704,0
515,516,518,short,1789.3,1884.0961028571428,loss,-951.2610285714284,947.9610285714278,2
527,528,540,short,1786.7,1874.6121600000001,loss,-882.4216000000008,879.1216000000006,12
551,552,555,short,1763.09,1822.358537142857,loss,-595.9853714285698,592.6853714285702,3
565,566,567,long,1866.45,1803.1098514285716,loss,-636.7014857142847,633.4014857142852,1
578,579,580,long,1860.0,1956.5505800000003,win,962.2058000000031,596.7557714285731,1
591,592,601,short,1809.97,1687.2593000000002,win,1223.8069999999987,758.4451428571415,9
617,618,626,long,1766.06,1878.3415399999994,win,1119.515399999995,693.9850285714261,8
632,633,635,short,1810.8,1878.9143885714284,loss,-684.4438857142843,681.143885714285,2
635,636,649,long,1984.25,1918.505165714286,loss,-660.7483428571397,657.4483428571406,13
649,650,665,short,1926.05,1928.12,loss,-23.999999999999364,753.8296000000015,15
672,673,673,long,2072.35,2009.6198057142858,loss,-630.601942857141,627.3019428571403,0
685,686,688,long,2082.15,2203.3172,win,1208.3719999999987,748.9051428571415,2
709,710,715,long,2508.5,2682.3657199999984,win,1735.3571999999842,1074.6219428571335,5
718,719,722,long,2720.34,2626.397954285715,loss,-942.7204571428508,939.4204571428486,3
722,723,723,short,2562.2,2655.099005714285,loss,-932.2900571428506,928.9900571428522,0
732,733,735,long,2770.21,2932.235359999999,win,1616.9535999999919,1001.4395428571381,2
743,744,745,long,3229.89,3425.247120000001,win,1950.2712000000104,1207.4550857142915,1
763,764,767,long,3449.01,3732.10456,win,2827.6456,1749.738971428572,3
769,770,770,long,3999.31,4232.6039,win,2329.639000000001,1441.9331428571447,0
