signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
23,24,35,long,1351.55,1391.9063999999998,win,400.26399999999893,249.43314285714254,11
35,36,51,long,1408.2,1385.3827428571428,loss,-231.47257142857217,228.1725714285712,15
51,52,54,short,1393.0,1414.6997142857142,loss,-220.2971428571421,216.9971428571426,2
66,67,75,long,1456.3,1494.6082,win,379.7819999999994,236.7737142857142,8
81,82,83,long,1526.05,1560.2568999999999,win,338.76899999999904,211.4245714285714,1
87,88,89,short,1475.4,1501.003542857143,loss,-259.33542857142885,256.03542857142844,1
114,115,118,short,1515.65,1538.0614285714287,loss,-227.41428571428588,224.11428571428587,3
120,121,122,long,1546.95,1526.5132,loss,-207.6679999999995,204.36800000000028,1
123,124,129,short,1500.25,1522.0345142857143,loss,-221.14514285714296,217.84514285714303,5
131,132,142,long,1604.85,1649.8613999999998,win,446.81399999999866,278.2045714285712,10
142,143,146,long,1661.0,1710.9212,win,495.912,308.55085714285747,3
146,147,147,long,1715.55,1769.3863,win,535.0629999999994,332.74914285714306,0
154,155,156,long,1825.2,1894.4370000000001,win,689.0700000000008,427.9371428571429,1
156,157,157,long,1907.9,1861.4780571428573,loss,-467.5194285714277,464.21942857142864,0
166,167,168,long,1901.1,1832.7936,loss,-686.3639999999994,683.0639999999995,1
179,180,181,short,1738.65,1623.1521,win,1151.6790000000008,713.8645714285715,1
202,203,212,long,1705.4,1800.1807,win,944.506999999998,585.8165714285707,9
219,220,235,short,1722.75,1708.25,win,141.7,454.8611428571427,15
236,237,238,short,1664.05,1595.7097,win,680.1029999999985,422.39485714285684,1
247,248,250,short,1555.52,1598.36944,loss,-431.7943999999996,428.49440000000055,2
255,256,266,long,1631.42,1702.09858,win,703.4858000000002,436.8472,10
285,286,291,long,1758.98,1726.3671314285712,loss,-329.42868571428863,326.128685714289,5
291,292,292,short,1694.05,1723.836605714286,loss,-301.16605714286,297.86605714285946,0
