signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
81,82,87,long,1346.3,1339.9036571428571,loss,-67.26342857142826,63.96342857142838,5
93,94,96,long,1335.15,1326.276285714286,loss,-92.03714285714186,88.73714285714286,2
140,141,156,short,1351.15,1351.15,loss,-3.3,97.2171428571423,15
157,158,173,short,1361.85,1362.6,loss,-10.8,87.46514285714264,15
186,187,194,short,1373.0,1380.2685714285715,loss,-75.98571428571476,72.68571428571416,7
208,209,210,short,1395.55,1401.6283428571428,loss,-64.08342857142843,60.78342857142824,1
245,246,247,short,1418.7,1427.6615428571429,loss,-92.91542857142831,89.61542857142845,1
306,307,315,long,1400.85,1389.5170857142855,loss,-116.62914285714423,113.32914285714321,8
333,334,342,short,1430.65,1439.547942857143,loss,-92.2794285714288,88.97942857142863,8
359,360,360,long,1419.25,1411.6361714285715,loss,-79.43828571428485,76.1382857142845,0
397,398,402,short,1451.7,1459.8771428571429,loss,-85.07142857142826,81.77142857142829,4
440,441,445,short,1474.05,1483.7626285714286,loss,-100.42628571428695,97.12628571428593,4
450,451,461,short,1492.35,1500.2454857142857,loss,-82.25485714285769,78.95485714285708,10
471,472,477,short,1510.95,1496.2843,win,143.35700000000014,90.64514285714318,5
523,524,532,long,1477.6,1503.2613,win,253.31299999999982,158.60628571428538,8
595,596,600,short,1516.5,1526.5881714285713,loss,-104.18171428571286,100.88171428571273,4
625,626,636,short,1538.3,1545.4474285714286,loss,-74.7742857142869,71.47428571428627,10
682,683,684,long,1524.8,1516.5986285714287,loss,-85.31371428571292,82.01371428571352,1
713,714,725,short,1544.7,1553.588857142857,loss,-92.18857142856977,88.88857142856978,11
738,739,742,long,1501.5,1492.9352000000001,loss,-88.94799999999877,85.64799999999977,3
744,745,756,long,1495.1,1512.0392999999997,win,166.09299999999774,104.69771428571286,11
781,782,797,short,1596.7,1600.9,loss,-45.30000000000045,154.66914285714307,15
810,811,822,short,1611.1,1621.5485714285714,loss,-107.7857142857154,104.48571428571428,11
849,850,851,short,1636.1,1646.6606285714286,loss,-108.90628571428651,105.6062857142876,1
870,871,871,short,1692.9,1711.0078285714285,loss,-184.378285714284,181.07828571428504,0
921,922,924,short,1816.8,1830.013657142857,loss,-135.43657142857074,132.1365714285701,2
931,932,936,short,1882.0,1898.8600571428572,loss,-171.9005714285716,168.60057142857053,4
950,951,952,long,1709.7,1762.6151,win,525.8509999999994,327.0554285714285,1
992,993,996,short,1896.75,1914.1976000000002,loss,-177.77600000000194,174.47600000000287,3
1040,1041,1049,long,1786.9,1827.3887000000004,win,401.58700000000334,250.25085714285913,8
1070,1071,1076,long,1720.2,1697.8249142857142,loss,-227.0508571428589,223.7508571428591,5
1080,1081,1081,long,1574.4,1542.0730285714285,loss,-326.569714285716,323.2697142857169,0
1145,1146,1161,short,1682.75,1664.15,win,182.69999999999908,211.84857142857248,15
1178,1179,1179,long,1631.05,1654.3592999999998,win,229.79299999999893,144.06914285714197,0
1209,1210,1212,short,1701.2,1718.611257142857,loss,-177.4125714285704,174.11257142856968,2
1251,1252,1263,short,1763.35,1783.4233714285715,loss,-204.03371428571592,200.7337142857152,11
1311,1312,1322,long,1717.3,1699.1043428571431,loss,-185.25657142856818,181.95657142856896,10
1362,1363,1374,short,1742.5,1756.8433142857143,loss,-146.73314285714315,143.4331428571435,11
1408,1409,1410,long,1689.6,1674.3511428571426,loss,-155.78857142857333,152.48857142857253,1
1476,1477,1477,long,1577.72,1568.6221714285714,loss,-94.27828571428635,90.97828571428616,0
1500,1501,1512,short,1613.64,1629.5975428571435,loss,-162.87542857143382,159.5754285714334,11
1524,1525,1535,short,1634.19,1647.8094857142855,loss,-139.49485714285476,136.19485714285403,10
1563,1564,1571,short,1665.65,1646.8212600000006,win,184.9873999999947,116.37588571428192,7
1577,1578,1589,short,1674.91,1655.2120000000004,win,193.67999999999637,121.74857142856924,11
1614,1615,1627,short,1744.75,1756.9175885714285,loss,-124.97588571428496,121.67588571428414,12
1637,1638,1645,long,1715.53,1734.8791199999998,win,190.19119999999856,119.59222857142778,7
1702,1703,1705,short,1741.79,1751.4432685714282,loss,-99.8326857142827,96.53268571428289,2
1738,1739,1741,short,1788.62,1772.56368,win,157.26319999999913,99.24022857142866,2
1741,1742,1742,long,1711.28,1701.4286628571429,loss,-101.81337142857119,98.51337142857108,0
1764,1765,1775,long,1668.84,1692.2012400000003,win,230.31240000000406,144.39017142857423,10
1799,1800,1800,long,1657.87,1643.3407314285714,loss,-148.59268571428476,145.29268571428508,0
1848,1849,1850,short,1679.13,1690.154,loss,-113.53999999999887,110.2399999999978,1
1887,1888,1889,long,1642.8,1631.7360228571429,loss,-113.93977142857084,110.63977142857134,1
1962,1963,1968,long,1630.76,1645.0591799999995,win,139.69179999999523,88.37977142856914,5
1981,1982,1992,short,1659.24,1644.4723799999997,win,144.37620000000305,91.27508571428713,10
1998,1999,2002,short,1668.56,1655.6847599999999,win,125.45240000000076,79.57874285714347,3
2027,2028,2028,long,1626.49,1618.2625828571427,loss,-85.57417142857348,82.27417142857249,0
2051,2052,2056,long,1562.15,1551.3779771428567,loss,-111.02022857143383,107.72022857143305,4
