signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
4655,4656,4660,long,1354.95,1353.4024,loss,-18.776000000001023,15.47600000000011,4
5291,5292,5294,long,1336.45,1335.268857142857,loss,-15.111428571429588,11.811428571428571,2
8020,8021,8022,short,1350.75,1353.0608,loss,-26.40799999999972,23.10799999999978,1
9006,9007,9007,short,1364.85,1362.3804,win,21.395999999999002,15.263999999999337,0
10677,10678,10679,short,1370.95,1371.679885714286,loss,-10.598857142859561,7.298857142858906,1
11932,11933,11935,short,1392.05,1392.5678857142857,loss,-8.478857142857397,5.178857142856701,2
14095,14096,14099,short,1418.7,1417.3819,win,9.880999999999585,8.146857142857584,3
15486,15487,15488,short,1441.45,1442.2101714285714,loss,-10.901714285713116,7.601714285713845,1
16609,16610,16619,long,1403.8,1406.8575999999998,win,27.275999999998657,18.898285714285052,9
17561,17562,17563,long,1402.25,1400.3995428571427,loss,-21.804571428572945,18.50457142857319,1
18898,18899,18904,short,1431.2,1430.1709999999998,win,6.9900000000022375,6.360000000001101,5
20514,20515,20518,long,1417.8,1416.979257142857,loss,-11.507428571429319,8.207428571430334,3
22705,22706,22706,short,1440.85,1442.6429142857141,loss,-21.229142857142325,17.929142857141976,0
23848,23849,23864,short,1475.2,1475.6,loss,-7.299999999998636,9.206857142853174,15
25606,25607,25608,short,1488.25,1486.9711000000004,win,9.488999999995666,7.904571428568784,1
26956,26957,26962,short,1510.75,1511.6767428571425,loss,-12.567428571424717,9.267428571423721,5
28688,28689,28691,short,1571.45,1573.5518285714286,loss,-24.318285714285413,21.01828571428615,2
29986,29987,29987,long,1483.75,1480.0006285714287,loss,-40.79371428571294,37.49371428571296,0
32724,32725,32728,long,1477.55,1480.3772999999999,win,24.972999999999228,17.474857142856262,3
33891,33892,33894,short,1517.55,1515.5605999999993,win,16.594000000006144,12.296000000003968,2
35875,35876,35888,short,1538.35,1537.6297000000009,win,3.902999999990425,4.451999999994712,12
37533,37534,37544,short,1552.6,1549.8657999999984,win,24.04200000001465,16.899428571438264,10
39191,39192,39192,long,1525.55,1524.6959428571429,loss,-11.84057142857073,8.540571428570546,0
40991,40992,40992,short,1543.1,1544.8505142857143,loss,-20.805142857144165,17.50514285714374,0
42388,42389,42404,long,1507.4,1508.25,win,5.199999999999091,25.83371428571957,15
42616,42617,42617,long,1498.15,1497.289885714285,loss,-11.90114285715099,8.60114285714991,0
44769,44770,44770,short,1595.95,1596.5496571428573,loss,-9.29657142857268,5.996571428572309,0
46505,46506,46506,short,1611.3,1613.0505142857144,loss,-20.805142857144165,17.50514285714374,0
48786,48787,48787,short,1634.05,1635.1069714285716,loss,-13.869714285716146,10.569714285716929,0
49961,49962,49962,short,1690.65,1688.3568,win,19.632000000000698,14.173714285715166,0
52954,52955,52960,short,1817.0,1819.1199999999997,loss,-24.499999999996636,21.19999999999559,5
53531,53532,53533,short,1877.15,1879.3578285714284,loss,-25.378285714283084,22.078285714283954,1
