signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
24,25,26,long,1500.25,1586.8575,win,862.7750000000008,535.2999999999997,1
27,28,29,short,1608.15,1667.7008,loss,-598.8079999999998,595.5079999999998,1
29,30,30,short,1687.2,1746.3934285714286,loss,-595.2342857142851,591.9342857142856,0
30,31,31,short,1742.2,1803.7950857142857,loss,-619.2508571428568,615.9508571428571,0
31,32,32,short,1858.1,1747.7225999999998,win,1100.4740000000008,682.2159999999999,0
36,37,37,long,1651.85,1553.5607428571427,loss,-986.1925714285719,982.8925714285714,0
37,38,43,long,1618.3,1793.8375999999998,win,1752.0759999999989,1084.9554285714287,5
43,44,48,short,1787.2,1588.5834,win,1982.8660000000007,1227.6011428571428,4
48,49,64,long,1598.8,1630.15,win,310.20000000000135,1282.5394285714287,15
64,65,70,long,1642.65,1556.4229371428573,loss,-865.5706285714275,862.2706285714285,5
72,73,86,short,1625.38,1699.2456457142857,loss,-741.9564571428562,738.6564571428569,13
86,87,102,short,1735.26,1655.61,win,793.200000000001,696.8985142857142,15
105,106,110,short,1685.46,1593.6242,win,915.0580000000007,567.6148571428579,4
110,111,117,long,1580.66,1527.3438171428572,loss,-536.4618285714284,533.1618285714293,6
117,118,118,long,1478.52,1426.026377142857,loss,-528.23622857143,524.9362285714293,0
118,119,123,long,1407.45,1350.3111542857143,loss,-574.688457142857,571.3884571428576,4
127,128,128,long,1297.14,1224.1938285714286,loss,-732.7617142857146,729.4617142857138,0
128,129,135,long,1234.35,1360.4397399999998,win,1257.597399999999,779.3301714285715,6
135,136,149,short,1378.72,1241.4347400000001,win,1369.5525999999988,848.5269714285706,13
149,150,165,long,1242.0,1362.7359999999999,win,1204.0599999999988,746.2399999999993,15
165,166,167,short,1382.78,1296.25188,win,861.9811999999995,534.8093714285717,1
167,168,183,long,1293.97,1310.35,win,160.4999999999988,541.0118857142859,15
183,184,190,long,1310.08,1264.4182285714287,loss,-459.9177142857123,456.6177142857134,6
190,191,192,long,1268.54,1226.2781028571428,loss,-425.9189714285715,422.61897142857106,1
192,193,198,long,1215.32,1172.9714857142858,loss,-426.78514285714147,423.4851428571415,5
198,199,209,long,1172.61,1240.3338799999992,win,673.9387999999933,418.5849142857107,10
209,210,215,short,1280.33,1195.8304800000003,win,841.6951999999962,522.2710857142833,5
216,217,232,long,1169.45,1175.32,win,55.39999999999891,570.0255999999988,15
235,236,236,long,1133.47,1089.406708571429,loss,-443.9329142857112,440.63291428571154,0
236,237,241,long,1098.99,1169.7793199999994,win,704.5931999999941,437.53165714285393,4
243,244,248,long,1107.38,1179.7480999999996,win,720.3809999999946,447.2897142857114,4
248,249,251,short,1176.73,1104.3021200000005,win,720.9787999999951,447.6591999999975,2
251,252,264,long,1089.74,1162.5647799999995,win,724.9477999999947,450.1123428571399,12
264,265,265,short,1173.34,1215.8908228571424,loss,-428.8082285714252,425.50822857142623,0
265,266,269,short,1235.49,1279.92096,loss,-447.60959999999915,444.30959999999817,3
271,272,277,long,1214.44,1300.6231600000003,win,858.5316000000028,532.6772571428583,5
279,280,284,long,1250.13,1340.7065000000007,win,902.4650000000058,559.8314285714318,4
286,287,299,short,1367.13,1263.7399999999996,win,1030.6000000000056,639.0285714285747,12
299,300,305,long,1256.94,1206.8825600000002,loss,-503.87439999999816,500.574399999999,5
305,306,309,long,1207.89,1155.2031542857146,loss,-530.1684571428548,526.8684571428549,3
309,310,314,long,1134.31,1210.5471399999997,win,759.0713999999973,471.2033142857122,4
314,315,319,short,1210.13,1258.0256457142855,loss,-482.25645714285366,478.9564571428546,4
319,320,335,short,1256.62,1252.13,win,41.59999999999782,482.0577142857122,15
335,336,338,long,1253.68,1214.6417142857144,loss,-393.6828571428562,390.3828571428571,2
338,339,342,long,1212.98,1271.63006,win,583.2005999999994,362.5018285714282,3
342,343,345,short,1258.64,1293.1626857142858,loss,-348.5268571428567,345.2268571428565,2
346,347,351,short,1334.13,1281.0933800000005,win,527.0661999999963,327.80651428571235,4
351,352,360,long,1275.66,1244.5226514285716,loss,-314.6734857142845,311.37348571428544,8
360,361,363,long,1247.7,1299.50672,win,514.7672000000005,320.2048000000008,2
363,364,366,short,1309.81,1343.0061714285714,loss,-335.2617142857146,331.9617142857138,2
367,368,383,short,1350.16,1295.4858000000002,win,543.4419999999993,337.92799999999977,15
383,384,389,long,1291.03,1252.9959885714286,loss,-383.64011428571376,380.34011428571324,5
389,390,392,long,1252.42,1215.4599200000005,loss,-372.9007999999961,369.600799999997,2
392,393,396,long,1230.7,1195.6800228571428,loss,-353.49977142857216,350.1997714285713,3
396,397,406,long,1183.37,1237.23374,win,535.3374000000001,332.9187428571434,9
406,407,414,short,1234.29,1265.8162171428576,loss,-318.56217142857605,315.2621714285756,7
414,415,416,short,1258.57,1289.0616571428577,loss,-308.21657142857777,304.91657142857673,1
416,417,420,short,1285.44,1316.8965600000006,loss,-317.8656000000054,314.5656000000055,3
420,421,432,short,1317.56,1269.7506999999994,win,474.79300000000575,295.4977142857178,11
437,438,438,short,1306.61,1335.3323657142855,loss,-290.52365714285617,287.2236571428563,0
438,439,440,short,1334.62,1363.9547428571427,loss,-296.6474285714283,293.3474285714281,1
440,441,441,short,1400.42,1432.6252228571432,loss,-325.352228571431,322.05222857142996,0
446,447,447,short,1440.19,1480.6105257142863,loss,-407.50525714286215,404.20525714286134,0
447,448,450,short,1495.95,1538.0834857142863,loss,-424.6348571428628,421.33485714286286,2
451,452,461,long,1504.46,1455.766628571428,loss,-490.2337142857194,486.93371428571953,9
467,468,469,short,1511.1,1560.9593714285718,loss,-501.8937142857188,498.5937142857195,1
469,470,475,short,1559.8,1607.1959314285718,loss,-477.25931428571886,473.95931428571845,5
475,476,476,short,1659.48,1586.73558,win,724.1442,449.6156571428577,0
476,477,477,long,1581.8,1656.64946,win,745.1946000000014,462.6264000000002,0
478,479,479,long,1550.96,1496.1973714285716,loss,-550.9262857142842,547.6262857142848,0
479,480,480,long,1503.3,1609.2879799999998,win,1056.5797999999988,655.0860571428561,0
480,481,483,short,1621.87,1692.6259085714285,loss,-710.8590857142856,707.5590857142853,2
487,488,497,short,1747.23,1838.6765028571426,loss,-917.765028571426,914.4650285714262,9
497,498,499,short,1902.47,1999.679874285714,loss,-975.3987428571402,972.0987428571391,1
499,500,500,short,2026.22,1874.8786000000005,win,1510.1139999999957,935.4045714285687,0
500,501,506,long,1944.38,1855.9384457142862,loss,-887.7155428571389,884.4155428571398,5
506,507,515,long,1862.75,1776.9099885714286,loss,-861.7001142857141,858.4001142857132,8
515,516,521,long,1789.3,1942.67294,win,1530.4293999999998,947.9610285714278,5
521,522,528,long,1854.43,1759.7156685714285,loss,-950.4433142857154,947.1433142857165,6
528,529,540,long,1734.03,1872.2962400000001,win,1379.3624000000016,854.590171428572,11
540,541,546,short,1881.15,1762.4465200000006,win,1183.7347999999945,733.6774857142825,5
547,548,552,short,1807.62,1698.6508600000002,win,1086.391399999997,673.5118857142836,4
553,554,565,short,1780.81,1844.3251999999998,loss,-638.4519999999982,635.1519999999991,11
565,566,568,short,1866.45,1763.97042,win,1021.4957999999995,633.4014857142852,2
570,571,578,short,1798.74,1860.3078285714287,loss,-618.9782857142866,615.6782857142862,7
578,579,580,short,1860.0,1919.6755771428573,loss,-600.0557714285726,596.7557714285731,1
582,583,589,short,1988.2,1881.75142,win,1061.1858,657.9329142857138,6
589,590,591,long,1896.19,1823.480662857143,loss,-730.3933714285706,727.093371428571,1
591,592,599,long,1809.97,1734.1254857142858,loss,-761.7451428571424,758.4451428571415,7
599,600,609,long,1741.5,1661.133828571429,loss,-806.9617142857107,803.6617142857116,9
609,610,620,long,1674.8,1786.6307399999994,win,1115.0073999999943,691.198742857139,10
620,621,625,short,1796.27,1866.6267428571425,loss,-706.8674285714253,703.5674285714259,4
625,626,627,short,1867.2,1934.5699657142857,loss,-676.9996571428562,673.6996571428558,1
627,628,632,short,1925.73,1815.9455,win,1094.5449999999998,678.5514285714285,4
632,633,635,long,1810.8,1921.0039399999998,win,1098.7393999999988,681.143885714285,2
635,636,642,short,1984.25,2049.994834285714,loss,-660.748342857142,657.4483428571406,6
642,643,650,short,2016.02,1902.4576000000002,win,1132.323999999998,701.9017142857139,7
652,653,664,short,1953.83,1836.9787199999998,win,1165.212800000001,722.2294857142859,11
664,665,666,long,1846.22,1936.6220599999997,win,900.7205999999967,558.7532571428557,1
666,667,672,short,1974.99,2032.2136457142856,loss,-575.5364571428556,572.2364571428568,5
672,673,673,short,2072.35,2135.080194285714,loss,-630.6019428571387,627.3019428571403,0
675,676,686,short,2053.63,2127.2618399999997,loss,-739.6183999999955,736.318399999997,10
686,687,690,short,2179.59,2256.0317485714286,loss,-767.7174857142843,764.4174857142847,3
690,691,691,short,2322.85,2400.438971428571,loss,-779.1897142857131,775.8897142857126,0
691,692,697,short,2355.85,2435.9641942857143,loss,-804.4419428571434,801.1419428571425,5
699,700,705,long,2294.51,2440.8416399999996,win,1460.0163999999943,904.4404571428529,5
706,707,713,long,2386.57,2554.179399999999,win,1672.7939999999892,1035.9531428571356,6
713,714,715,short,2579.26,2678.2761142857134,loss,-993.4611428571322,990.1611428571324,1
715,716,719,short,2657.12,2755.317794285713,loss,-985.2779428571291,981.9779428571311,3
719,720,722,short,2733.97,2585.918460000001,win,1477.2153999999903,915.070742857136,2
722,723,723,long,2562.2,2712.503579999999,win,1499.7357999999933,928.9900571428522,0
723,724,733,short,2715.0,2813.1796228571425,loss,-985.0962285714247,981.7962285714237,9
733,734,735,short,2800.87,2904.7269828571425,loss,-1041.869828571426,1038.5698285714257,1
737,738,740,long,2856.49,3029.9686200000006,win,1731.4862000000078,1072.2293714285772,2
740,741,742,short,3020.86,3136.1831542857153,loss,-1156.5315428571519,1153.2315428571503,1
743,744,744,short,3229.89,3350.635508571429,loss,-1210.7550857142912,1207.4550857142915,0
744,745,745,short,3332.98,3462.1921828571435,loss,-1295.4218285714348,1292.1218285714338,0
746,747,762,long,3238.45,3371.91,win,1331.3000000000004,1373.2269714285774,15
763,764,765,short,3449.01,3623.9838971428576,loss,-1753.0389714285736,1749.738971428572,1
765,766,768,short,3642.45,3806.7827085714284,loss,-1646.627085714286,1643.3270857142863,2
768,769,769,short,3887.51,4035.418765714286,loss,-1482.3876571428589,1479.0876571428569,0
769,770,770,short,3999.31,4143.503314285715,loss,-1445.2331428571467,1441.9331428571447,0
770,771,771,short,4246.45,4016.0471,win,2300.7290000000003,1424.064571428573,0
772,773,777,long,3981.05,4258.34002,win,2769.6001999999944,1713.8625142857131,4
778,779,780,short,4300.21,4488.271565714285,loss,-1883.9156571428528,1880.6156571428533,1
780,781,784,short,4539.3,4733.68704,loss,-1947.170399999996,1943.8703999999964,3
784,785,785,short,5012.68,5237.470868571429,loss,-2251.208685714283,2247.90868571428,0
789,790,792,short,5315.99,4761.979340000001,win,5536.80659999999,3424.2058285714224,2
792,793,793,long,4488.23,4137.198582857143,loss,-3513.614171428563,3510.3141714285634,0
794,795,806,short,4633.17,4019.553780000001,win,6132.86219999999,3792.6133714285666,11
806,807,812,long,4079.36,4341.3,win,2616.1000000000004,4242.919542857129,5
