signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
24,25,26,short,1500.25,1553.78,loss,-538.5999999999997,535.2999999999997,1
27,28,30,long,1608.15,1704.4987,win,960.1870000000001,595.5079999999998,2
30,31,31,long,1742.2,1841.8562,win,993.261999999999,615.9508571428571,0
31,32,32,long,1858.1,1789.8783999999998,loss,-685.5160000000008,682.2159999999999,0
36,37,41,short,1651.85,1750.139257142857,loss,-986.1925714285719,982.8925714285714,4
41,42,48,long,1742.55,1628.2123428571429,loss,-1146.676571428571,1143.3765714285714,6
48,49,54,short,1598.8,1727.0539428571428,loss,-1285.8394285714287,1282.5394285714287,5
54,55,64,long,1736.25,1619.3089828571428,loss,-1172.7101714285716,1169.4101714285714,9
64,65,80,short,1642.65,1622.61,win,197.1000000000019,862.2706285714285,15
80,81,87,long,1622.31,1746.8601599999997,win,1242.2015999999978,769.8143999999994,6
87,88,93,long,1771.48,1701.40128,loss,-704.0871999999997,700.7872,5
93,94,109,short,1711.76,1606.7490799999998,win,1046.8092000000017,649.0470857142863,15
109,110,117,short,1609.49,1526.74076,win,824.192400000001,511.4530285714291,7
117,118,118,short,1478.52,1393.58928,win,846.0072000000007,524.9362285714293,0
118,119,119,short,1407.45,1464.5888457142858,loss,-574.688457142857,571.3884571428576,0
122,123,128,short,1364.57,1252.21888,win,1120.2112000000004,694.4150857142855,5
128,129,132,short,1234.35,1312.283017142857,loss,-782.6301714285712,779.3301714285715,3
132,133,148,long,1333.18,1289.88,loss,-436.29999999999956,816.9147428571418,15
149,150,161,short,1242.0,1316.624,loss,-749.5400000000002,746.2399999999993,11
161,162,176,long,1318.91,1257.6831885714287,loss,-615.568114285714,612.2681142857141,14
176,177,179,short,1249.94,1298.543725714286,loss,-489.3372571428593,486.03725714285827,2
179,180,190,long,1314.3,1266.6981257142857,loss,-479.31874285714304,476.0187428571434,10
190,191,194,short,1268.54,1200.16344,win,680.4655999999993,422.61897142857106,3
194,195,195,short,1191.47,1233.0583428571426,loss,-419.1834285714261,415.88342857142663,0
196,197,198,long,1238.92,1196.0172571428575,loss,-432.32742857142586,429.0274285714259,1
198,199,203,short,1172.61,1214.468491428571,loss,-421.88491428571143,418.5849142857107,4
204,205,206,long,1221.93,1171.911325714286,loss,-503.4867428571404,500.1867428571399,1
208,209,210,long,1222.83,1305.4743799999994,win,823.143799999995,510.8049142857118,1
210,211,212,long,1292.37,1238.147062857143,loss,-545.5293714285683,542.2293714285684,1
212,213,218,short,1235.87,1145.7021600000003,win,898.3783999999962,557.3055999999978,5
218,219,234,long,1184.18,1163.78,loss,-207.30000000000092,575.5739428571417,15
235,236,248,short,1133.47,1177.5332914285711,loss,-443.9329142857112,440.63291428571154,12
248,249,251,long,1176.73,1131.9640800000002,loss,-450.95919999999825,447.6591999999975,2
251,252,264,short,1089.74,1134.751234285714,loss,-453.41234285713955,450.1123428571399,12
264,265,265,long,1173.34,1242.1840199999995,win,685.1401999999955,425.50822857142623,0
265,266,266,long,1235.49,1191.05904,loss,-447.60959999999915,444.30959999999817,0
268,269,272,long,1259.57,1210.2218514285714,loss,-496.7814857142851,493.4814857142852,3
276,277,280,long,1290.47,1236.6110971428568,loss,-541.8890285714322,538.589028571432,3
280,281,282,short,1212.29,1269.9182628571432,loss,-579.5826285714322,576.2826285714318,1
282,283,286,long,1274.74,1370.3429200000007,win,952.7292000000073,590.8985142857191,3
286,287,294,long,1367.13,1303.2271428571426,loss,-642.3285714285755,639.0285714285747,7
296,297,304,short,1309.38,1223.09786,win,859.5214000000003,533.2890285714287,7
304,305,309,short,1227.76,1149.8607800000002,win,775.6921999999979,481.4762285714271,4
309,310,312,short,1134.31,1181.4303314285712,loss,-474.50331428571263,471.2033142857122,2
312,313,319,long,1172.82,1247.9311199999997,win,747.811199999998,464.24365714285517,6
319,320,321,long,1256.62,1208.4142285714286,loss,-485.35771428571326,482.0577142857122,1
321,322,323,short,1205.23,1251.4884,loss,-465.8839999999994,462.5839999999994,1
323,324,339,long,1248.27,1228.68,loss,-199.1999999999992,483.7718857142859,15
340,341,347,long,1254.89,1314.03104,win,588.1103999999998,365.5364571428568,6
347,348,350,long,1334.66,1302.182205714286,loss,-328.0779428571403,324.77794285714094,2
350,351,364,short,1279.74,1312.2480799999998,loss,-328.3807999999984,325.0807999999992,13
364,365,380,long,1320.63,1322.91,win,19.499999999999726,336.0381714285718,15
380,381,389,short,1323.87,1259.82994,win,637.1005999999982,395.8161142857128,8
389,390,396,short,1252.42,1192.6213800000005,win,594.6861999999958,369.600799999997,6
396,397,404,short,1183.37,1216.6618742857142,loss,-336.2187428571436,332.9187428571434,7
404,405,415,long,1217.65,1269.0382600000007,win,510.58260000000627,317.61840000000376,10
415,416,423,long,1279.83,1330.4724800000008,win,503.12480000000886,313.00891428571987,7
423,424,424,long,1327.52,1297.7994171428568,loss,-300.505828571432,297.2058285714319,0
424,425,438,short,1295.33,1325.2086742857146,loss,-302.08674285714625,298.7867428571465,13
438,439,440,long,1334.62,1382.0813999999998,win,471.3139999999991,293.3474285714281,1
440,441,444,long,1400.42,1452.5256200000003,win,517.7562000000028,322.05222857142996,3
446,447,447,long,1440.19,1505.5873600000007,win,650.6736000000062,404.20525714286134,0
447,448,461,long,1495.95,1453.8165142857138,loss,-424.6348571428628,421.33485714286286,13
467,468,469,long,1511.1,1591.7687000000008,win,803.3870000000086,498.5937142857195,1
469,470,475,long,1559.8,1636.4830400000005,win,763.5304000000058,473.95931428571845,5
475,476,476,long,1659.48,1614.5184342857142,loss,-452.91565714285827,449.6156571428577,0
476,477,477,short,1581.8,1628.0626399999999,loss,-465.9263999999992,462.6264000000002,0
478,479,479,short,1550.96,1462.3582000000001,win,882.7179999999992,547.6262857142848,0
479,480,480,short,1503.3,1568.8086057142855,loss,-658.3860571428552,655.0860571428561,0
480,481,483,long,1621.87,1736.3477199999998,win,1141.4771999999987,707.5590857142853,2
487,488,497,long,1747.23,1895.1835399999995,win,1476.2353999999953,914.4650285714262,9
497,498,499,long,1902.47,2059.7482399999994,win,1569.4823999999942,972.0987428571391,1
