entry_bar,exit_bar,outcome,pnl_pip,sl_pip,tp_pip,direction
580,582,win,1132.3652166457691,754.9101444305127,1132.3652166457691,long
596,600,win,1132.3652166457691,754.9101444305127,1132.3652166457691,short
601,604,loss,-754.9101444305127,754.9101444305127,1132.3652166457691,short
678,686,win,1132.3652166457691,754.9101444305127,1132.3652166457691,long
691,705,win,1132.3652166457691,754.9101444305127,1132.3652166457691,long
729,731,loss,-754.9101444305127,754.9101444305127,1132.3652166457691,short
743,744,win,1132.3652166457691,754.9101444305127,1132.3652166457691,long
745,746,loss,-754.9101444305127,754.9101444305127,1132.3652166457691,long
759,763,loss,-754.9101444305127,754.9101444305127,1132.3652166457691,short
770,771,loss,-754.9101444305127,754.9101444305127,1132.3652166457691,long
776,778,win,1132.3652166457691,754.9101444305127,1132.3652166457691,long
780,781,loss,-754.9101444305127,754.9101444305127,1132.3652166457691,long
784,785,loss,-754.9101444305127,754.9101444305127,1132.3652166457691,long
793,794,loss,-754.9101444305127,754.9101444305127,1132.3652166457691,short
798,799,loss,-754.9101444305127,754.9101444305127,1132.3652166457691,short
804,805,loss,-754.9101444305127,754.9101444305127,1132.3652166457691,short
