signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
123,124,129,long,1500.25,1552.25992,win,516.7991999999997,325.062,5
143,144,146,short,1660.15,1692.6562000000001,loss,-328.36200000000036,325.062,2
148,149,149,short,1797.6,1745.59008,win,516.7991999999997,325.062,0
156,157,157,short,1907.9,1855.8900800000001,win,516.7991999999997,325.062,0
158,159,159,long,1749.75,1717.2438,loss,-328.36200000000036,325.062,0
160,161,161,short,1836.35,1784.34008,win,516.7991999999997,325.062,0
162,163,165,short,1835.65,1868.1562000000001,loss,-328.36200000000036,325.062,2
174,175,179,long,1788.05,1755.5438,loss,-328.36200000000036,325.062,4
267,268,272,short,1719.22,1751.7262,loss,-328.36200000000036,325.062,4
295,296,301,long,1674.56,1642.0538,loss,-328.36200000000036,325.062,5
340,341,343,long,1589.28,1556.7738,loss,-328.36200000000036,325.062,2
347,348,350,short,1591.35,1539.34008,win,516.7991999999997,325.062,2
379,380,384,short,1616.74,1564.73008,win,516.7991999999997,325.062,4
424,425,427,short,1694.98,1727.4862,loss,-328.36200000000036,325.062,2
431,432,458,short,1767.19,1715.18008,win,516.7991999999997,325.062,26
471,472,499,short,1731.11,1679.10008,win,516.7991999999997,325.062,27
501,502,533,long,1647.65,1677.36,win,293.7999999999981,325.062,31
543,544,547,long,1564.83,1616.83992,win,516.7991999999997,325.062,3
572,573,579,long,1557.55,1525.0438,loss,-328.36200000000036,325.062,6
579,580,580,long,1478.52,1446.0138,loss,-328.36200000000036,325.062,0
580,581,584,long,1353.9,1405.90992,win,516.7991999999997,325.062,3
584,585,588,short,1407.45,1439.9562,loss,-328.36200000000036,325.062,3
631,632,640,long,1234.35,1286.3599199999999,win,516.7991999999997,325.062,8
648,649,656,short,1347.3,1295.29008,win,516.7991999999997,325.062,7
666,667,673,short,1378.72,1411.2262,loss,-328.36200000000036,325.062,6
687,688,689,long,1311.12,1363.1299199999999,win,516.7991999999997,325.062,1
706,707,713,long,1278.34,1330.3499199999999,win,516.7991999999997,325.062,6
713,714,726,short,1339.89,1287.8800800000001,win,516.7991999999997,325.062,12
739,740,755,long,1237.77,1205.2638,loss,-328.36200000000036,325.062,15
779,780,793,short,1269.72,1302.2262,loss,-328.36200000000036,325.062,13
816,817,818,long,1355.91,1323.4038,loss,-328.36200000000036,325.062,1
818,819,823,long,1329.91,1297.4038,loss,-328.36200000000036,325.062,4
840,841,868,long,1283.89,1251.3838,loss,-328.36200000000036,325.062,27
889,890,921,short,1327.13,1312.6,win,142.000000000002,325.062,31
926,927,938,long,1290.79,1258.2838,loss,-328.36200000000036,325.062,11
961,962,970,short,1220.68,1253.1862,loss,-328.36200000000036,325.062,8
977,978,978,long,1199.52,1167.0138,loss,-328.36200000000036,325.062,0
981,982,988,long,1140.86,1192.8699199999999,win,516.7991999999997,325.062,6
990,991,999,short,1196.93,1144.92008,win,516.7991999999997,325.062,8
1005,1006,1014,short,1230.15,1178.1400800000001,win,516.7991999999997,325.062,8
1031,1032,1046,short,1280.33,1228.32008,win,516.7991999999997,325.062,14
1049,1050,1066,long,1218.55,1186.0438,loss,-328.36200000000036,325.062,16
1068,1069,1080,long,1161.61,1213.6199199999999,win,516.7991999999997,325.062,11
1102,1103,1134,short,1211.68,1181.95,win,294.00000000000017,325.062,31
1159,1160,1161,long,1145.1,1112.5937999999999,loss,-328.36200000000036,325.062,1
1178,1179,1185,short,1125.1,1157.6062,loss,-328.36200000000036,325.062,6
1217,1218,1223,short,1146.72,1179.2262,loss,-328.36200000000036,325.062,5
1234,1235,1238,long,1146.71,1114.2038,loss,-328.36200000000036,325.062,3
1244,1245,1258,long,1083.79,1051.2838,loss,-328.36200000000036,325.062,13
1304,1305,1307,short,1188.72,1221.2262,loss,-328.36200000000036,325.062,2
1307,1308,1310,short,1246.23,1194.22008,win,516.7991999999997,325.062,2
1310,1311,1316,long,1201.16,1253.16992,win,516.7991999999997,325.062,5
1363,1364,1380,short,1290.47,1238.46008,win,516.7991999999997,325.062,16
1389,1390,1393,short,1244.93,1277.4362,loss,-328.36200000000036,325.062,3
1400,1401,1403,long,1267.9,1319.90992,win,516.7991999999997,325.062,2
1411,1412,1422,short,1363.09,1311.08008,win,516.7991999999997,325.062,10
1455,1456,1475,short,1348.38,1296.3700800000001,win,516.7991999999997,325.062,19
1476,1477,1501,long,1266.79,1318.79992,win,516.7991999999997,325.062,24
1503,1504,1511,long,1227.76,1195.2538,loss,-328.36200000000036,325.062,7
1516,1517,1526,long,1173.53,1141.0238,loss,-328.36200000000036,325.062,9
1526,1527,1544,long,1142.62,1194.6299199999999,win,516.7991999999997,325.062,17
1590,1591,1597,short,1226.07,1258.5762,loss,-328.36200000000036,325.062,6
1608,1609,1627,short,1273.97,1221.96008,win,516.7991999999997,325.062,18
1640,1641,1669,short,1266.59,1214.58008,win,516.7991999999997,325.062,28
1669,1670,1683,long,1212.98,1264.98992,win,516.7991999999997,325.062,13
1691,1692,1705,short,1281.53,1314.0362,loss,-328.36200000000036,325.062,13
1770,1771,1782,long,1241.69,1293.69992,win,516.7991999999997,325.062,11
1792,1793,1824,short,1336.56,1318.29,win,179.3999999999998,325.062,31
1842,1843,1874,short,1347.85,1312.36,win,351.6000000000001,325.062,31
1903,1904,1912,long,1274.94,1242.4338,loss,-328.36200000000036,325.062,8
1915,1916,1936,short,1257.36,1205.35008,win,516.7991999999997,325.062,20
1944,1945,1976,long,1175.46,1191.56,win,157.69999999999908,325.062,31
1987,1988,2019,short,1226.74,1220.64,win,57.69999999999909,325.062,31
2037,2038,2060,short,1269.26,1301.7662,loss,-328.36200000000036,325.062,22
2060,2061,2076,short,1303.12,1335.6262,loss,-328.36200000000036,325.062,15
2082,2083,2085,long,1319.56,1287.0538,loss,-328.36200000000036,325.062,2
2085,2086,2117,long,1286.23,1273.4,loss,-131.59999999999928,325.062,31
2149,2150,2158,short,1324.95,1357.4562,loss,-328.36200000000036,325.062,8
2162,2163,2164,short,1387.11,1419.6162,loss,-328.36200000000036,325.062,1
2164,2165,2183,short,1419.62,1452.1262,loss,-328.36200000000036,325.062,18
2185,2186,2194,long,1417.51,1469.51992,win,516.7991999999997,325.062,8
2194,2195,2196,short,1468.42,1500.9262,loss,-328.36200000000036,325.062,1
2199,2200,2209,short,1510.53,1543.0362,loss,-328.36200000000036,325.062,9
2210,2211,2220,short,1541.78,1489.77008,win,516.7991999999997,325.062,9
2262,2263,2294,long,1467.68,1485.34,win,173.29999999999853,325.062,31
2302,2303,2304,short,1564.6,1597.1062,loss,-328.36200000000036,325.062,1
2307,2308,2333,long,1547.0,1599.00992,win,516.7991999999997,325.062,25
2334,2335,2336,short,1610.83,1643.3362,loss,-328.36200000000036,325.062,1
2337,2338,2341,short,1658.26,1606.25008,win,516.7991999999997,325.062,3
2345,2346,2350,short,1671.42,1619.41008,win,516.7991999999997,325.062,4
2351,2352,2352,long,1550.96,1518.4538,loss,-328.36200000000036,325.062,0
2358,2359,2363,short,1625.31,1573.30008,win,516.7991999999997,325.062,4
2447,2448,2452,short,1958.43,1990.9362,loss,-328.36200000000036,325.062,4
2452,2453,2454,short,2023.37,2055.8761999999997,loss,-328.3619999999981,325.062,1
2454,2455,2457,short,2061.93,2009.9200799999999,win,516.7991999999997,325.062,2
2457,2458,2458,long,1910.19,1877.6838,loss,-328.36200000000036,325.062,0
2459,2460,2461,short,1952.48,1984.9862,loss,-328.36200000000036,325.062,1
2488,2489,2495,long,1862.7,1914.70992,win,516.7991999999997,325.062,6
2563,2564,2564,long,1854.43,1821.9238,loss,-328.36200000000036,325.062,0
2568,2569,2582,long,1828.32,1795.8138,loss,-328.36200000000036,325.062,13
2601,2602,2631,long,1707.95,1759.95992,win,516.7991999999997,325.062,29
2668,2669,2673,short,1899.02,1847.01008,win,516.7991999999997,325.062,4
2676,2677,2695,long,1773.63,1825.63992,win,516.7991999999997,325.062,18
2713,2714,2718,long,1729.59,1781.5999199999999,win,516.7991999999997,325.062,4
2732,2733,2741,short,1828.17,1776.16008,win,516.7991999999997,325.062,8
2746,2747,2761,long,1744.31,1796.31992,win,516.7991999999997,325.062,14
2768,2769,2780,short,1807.34,1839.8462,loss,-328.36200000000036,325.062,11
2789,2790,2805,long,1789.14,1756.6338,loss,-328.36200000000036,325.062,15
2820,2821,2829,long,1790.99,1842.99992,win,516.7991999999997,325.062,8
2833,2834,2835,short,1847.7,1795.69008,win,516.7991999999997,325.062,1
2835,2836,2846,long,1797.6,1849.6099199999999,win,516.7991999999997,325.062,10
2847,2848,2852,short,1871.33,1903.8362,loss,-328.36200000000036,325.062,4
2861,2862,2863,short,1976.11,2008.6162,loss,-328.36200000000036,325.062,1
2867,2868,2868,long,1951.74,1919.2338,loss,-328.36200000000036,325.062,0
2932,2933,2947,long,1808.35,1775.8437999999999,loss,-328.36200000000036,325.062,14
2948,2949,2954,long,1739.29,1706.7838,loss,-328.36200000000036,325.062,5
2960,2961,2965,short,1726.56,1759.0662,loss,-328.36200000000036,325.062,4
3005,3006,3011,long,1643.86,1695.8699199999999,win,516.7991999999997,325.062,5
3011,3012,3019,short,1698.18,1646.17008,win,516.7991999999997,325.062,7
3037,3038,3039,short,1710.87,1743.3762,loss,-328.36200000000036,325.062,1
3039,3040,3042,short,1753.45,1785.9562,loss,-328.36200000000036,325.062,2
3080,3081,3084,short,1870.64,1903.1462000000001,loss,-328.36200000000036,325.062,3
3099,3100,3107,long,1864.59,1832.0837999999999,loss,-328.36200000000036,325.062,7
3125,3126,3129,short,1913.28,1945.7862,loss,-328.36200000000036,325.062,3
3129,3130,3141,short,1984.25,2016.7562,loss,-328.36200000000036,325.062,11
