signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
1061,1062,1096,short,1283.65,1291.1193250000001,loss,-77.99325000000026,74.69325000000009,34
1611,1612,1636,short,1306.52,1313.989325,loss,-77.99325000000026,74.69325000000009,24
2982,2983,2995,short,1279.37,1286.839325,loss,-77.99325000000026,74.69325000000009,12
4658,4659,4684,short,1501.05,1508.519325,loss,-77.99325000000026,74.69325000000009,25
4745,4746,4754,short,1494.41,1501.879325,loss,-77.99325000000026,74.69325000000009,8
6216,6217,6264,short,1460.86,1459.24,win,12.899999999998908,74.69325000000009,47
6333,6334,6339,short,1455.8,1463.269325,loss,-77.99325000000026,74.69325000000009,5
6979,6980,6986,short,1537.62,1545.089325,loss,-77.99325000000026,74.69325000000009,6
11549,11550,11557,short,1913.56,1902.3560125,win,108.7398750000004,74.69325000000009,7
13314,13315,13319,short,1837.42,1844.889325,loss,-77.99325000000026,74.69325000000009,4
13330,13331,13342,short,1824.39,1813.1860125,win,108.7398750000004,74.69325000000009,11
14250,14251,14273,short,1738.35,1727.1460124999999,win,108.7398750000004,74.69325000000009,22
14519,14520,14537,short,1771.71,1779.179325,loss,-77.99325000000026,74.69325000000009,17
16133,16134,16143,short,1810.95,1799.7460125,win,108.7398750000004,74.69325000000009,9
16159,16160,16165,short,1799.99,1788.7860125,win,108.7398750000004,74.69325000000009,5
17134,17135,17141,short,1751.03,1758.499325,loss,-77.99325000000026,74.69325000000009,6
18980,18981,19002,short,1785.51,1792.979325,loss,-77.99325000000026,74.69325000000009,21
20572,20573,20576,short,1871.16,1859.9560125,win,108.7398750000004,74.69325000000009,3
21457,21458,21463,short,1797.2,1785.9960125,win,108.7398750000004,74.69325000000009,5
22165,22166,22213,short,1779.42,1768.2160125,win,108.7398750000004,74.69325000000009,47
22457,22458,22467,short,1702.87,1691.6660124999999,win,108.7398750000004,74.69325000000009,9
22639,22640,22645,short,1721.35,1728.819325,loss,-77.99325000000026,74.69325000000009,5
22684,22685,22694,short,1687.29,1676.0860125,win,108.7398750000004,74.69325000000009,9
23277,23278,23285,short,1621.64,1629.1093250000001,loss,-77.99325000000026,74.69325000000009,7
25168,25169,25176,short,1823.96,1831.429325,loss,-77.99325000000026,74.69325000000009,7
25288,25289,25334,short,1812.8,1820.269325,loss,-77.99325000000026,74.69325000000009,45
25808,25809,25811,short,1961.59,1969.059325,loss,-77.99325000000026,74.69325000000009,2
26173,26174,26180,short,1986.3,1993.769325,loss,-77.99325000000026,74.69325000000009,6
27442,27443,27461,short,1920.09,1927.559325,loss,-77.99325000000026,74.69325000000009,18
27937,27938,27976,short,1924.79,1913.5860125,win,108.7398750000004,74.69325000000009,38
28036,28037,28072,short,1904.93,1893.7260125,win,108.7398750000004,74.69325000000009,35
28694,28695,28718,short,1921.6,1910.3960124999999,win,108.7398750000004,74.69325000000009,23
29480,29481,29485,short,1946.11,1934.9060124999999,win,108.7398750000004,74.69325000000009,4
30428,30429,30435,short,2024.66,2032.129325,loss,-77.99325000000026,74.69325000000009,6
30506,30507,30514,short,2041.0,2029.7960125,win,108.7398750000004,74.69325000000009,7
32205,32206,32207,short,2322.23,2311.0260125,win,108.7398750000004,74.69325000000009,1
32256,32257,32258,short,2298.83,2287.6260125,win,108.7398750000004,74.69325000000009,1
32413,32414,32421,short,2348.62,2337.4160125,win,108.7398750000004,74.69325000000009,7
32986,32987,32992,short,2316.96,2324.429325,loss,-77.99325000000026,74.69325000000009,5
37153,37154,37154,short,2855.85,2863.319325,loss,-77.99325000000026,74.69325000000009,0
38121,38122,38124,short,3275.74,3283.209325,loss,-77.99325000000026,74.69325000000009,2
39915,39916,39924,short,3333.43,3340.899325,loss,-77.99325000000026,74.69325000000009,8
43260,43261,43261,short,5075.61,5083.079325,loss,-77.99325000000026,74.69325000000009,0
44531,44532,44532,short,4518.01,4506.8060125,win,108.7398750000004,74.69325000000009,0
44916,44917,44918,short,4062.75,4070.219325,loss,-77.99325000000026,74.69325000000009,1
45032,45033,45034,short,3976.37,3965.1660125,win,108.7398750000004,74.69325000000009,1
