signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
956,957,1020,long,1237.53,1240.57,win,27.099999999999635,51.930000000000035,63
1766,1767,1814,long,1287.96,1295.7495000000001,win,74.5950000000009,51.930000000000035,47
2174,2175,2238,long,1289.15,1291.74,win,22.59999999999918,51.930000000000035,63
2664,2665,2699,long,1316.98,1324.7695,win,74.5950000000009,51.930000000000035,34
3217,3218,3274,long,1321.01,1328.7995,win,74.5950000000009,51.930000000000035,56
4254,4255,4293,long,1315.09,1309.897,loss,-55.22999999999983,51.930000000000035,38
5582,5583,5583,long,1286.26,1281.067,loss,-55.22999999999983,51.930000000000035,0
5678,5679,5706,long,1284.73,1279.537,loss,-55.22999999999983,51.930000000000035,27
5866,5867,5930,long,1284.2,1283.7,loss,-8.3,51.930000000000035,63
6542,6543,6562,long,1290.39,1298.1795000000002,win,74.5950000000009,51.930000000000035,19
6583,6584,6603,long,1307.6,1315.3895,win,74.5950000000009,51.930000000000035,19
7145,7146,7171,long,1346.32,1354.1095,win,74.5950000000009,51.930000000000035,25
7171,7172,7175,long,1351.62,1359.4095,win,74.5950000000009,51.930000000000035,3
7175,7176,7182,long,1360.15,1367.9395000000002,win,74.5950000000009,51.930000000000035,6
7182,7183,7183,long,1371.32,1379.1095,win,74.5950000000009,51.930000000000035,0
7183,7184,7213,long,1379.83,1387.6195,win,74.5950000000009,51.930000000000035,29
7222,7223,7227,long,1387.11,1394.8995,win,74.5950000000009,51.930000000000035,4
7227,7228,7230,long,1394.12,1401.9095,win,74.5950000000009,51.930000000000035,2
7230,7231,7238,long,1404.44,1399.247,loss,-55.22999999999983,51.930000000000035,7
7248,7249,7255,long,1394.77,1389.577,loss,-55.22999999999983,51.930000000000035,6
7268,7269,7301,long,1405.19,1412.9795000000001,win,74.5950000000009,51.930000000000035,32
7314,7315,7323,long,1422.76,1430.5495,win,74.5950000000009,51.930000000000035,8
7323,7324,7325,long,1430.28,1438.0695,win,74.5950000000009,51.930000000000035,1
7325,7326,7327,long,1436.36,1431.167,loss,-55.22999999999983,51.930000000000035,1
7352,7353,7360,long,1422.53,1417.337,loss,-55.22999999999983,51.930000000000035,7
