signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held,t_entry,t_exit,src_card
70,1,89,long,1234.85,1249.76255,win,145.8255000000001,149.12549999999985,22,1543896000000000000,1544212800000000000,H4-long
144,393,529,long,1256.89,1271.80255,win,145.8255000000001,149.12549999999985,15,1545307200000000000,1545796800000000000,H4-long
294,1337,1385,long,1303.19,1318.10255,win,145.8255000000001,149.12549999999985,12,1548705600000000000,1548878400000000000,H4-long
379,1821,1861,long,1320.95,1335.86255,win,145.8255000000001,149.12549999999985,9,1550448000000000000,1550592000000000000,H4-long
517,2569,2733,long,1317.68,1307.69,loss,-103.20000000000009,149.12549999999985,29,1553140800000000000,1553731200000000000,H4-long
605,3065,3081,long,1309.89,1294.97745,loss,-152.4255000000001,149.12549999999985,4,1554926400000000000,1554984000000000000,H4-long
435,3207,3417,short,1276.57,1279.61,loss,-33.69999999999963,187.0530000000001,23,1555437600000000000,1556193600000000000,H6-short
737,3857,3925,long,1300.27,1285.35745,loss,-152.4255000000001,149.12549999999985,17,1557777600000000000,1558022400000000000,H4-long
820,4285,4345,long,1297.18,1312.09255,win,145.8255000000001,149.12549999999985,3,1559318400000000000,1559534400000000000,H4-long
879,4617,4625,long,1353.97,1339.05745,loss,-152.4255000000001,149.12549999999985,2,1560513600000000000,1560542400000000000,H4-long
900,4749,4753,long,1360.21,1375.12255,win,145.8255000000001,149.12549999999985,1,1560988800000000000,1561003200000000000,H4-long
920,4877,4877,long,1435.94,1421.02745,loss,-152.4255000000001,149.12549999999985,0,1561449600000000000,1561449600000000000,H4-long
1025,5445,5461,long,1446.61,1431.69745,loss,-152.4255000000001,149.12549999999985,4,1563494400000000000,1563552000000000000,H4-long
1090,5801,5865,long,1446.91,1461.82255,win,145.8255000000001,149.12549999999985,4,1564776000000000000,1565006400000000000,H4-long
1098,5881,5905,long,1470.02,1484.93255,win,145.8255000000001,149.12549999999985,6,1565064000000000000,1565150400000000000,H4-long
1107,5917,6041,long,1497.34,1512.25255,win,145.8255000000001,149.12549999999985,19,1565193600000000000,1565640000000000000,H4-long
1300,7029,7069,long,1513.04,1527.95255,win,145.8255000000001,149.12549999999985,10,1569196800000000000,1569340800000000000,H4-long
1311,7073,7093,long,1534.15,1519.23745,loss,-152.4255000000001,149.12549999999985,5,1569355200000000000,1569427200000000000,H4-long
682,7229,7253,short,1466.06,1488.1643,loss,-224.34299999999968,221.04299999999984,3,1569916800000000000,1570003200000000000,H8-short
1438,7793,7813,long,1501.04,1515.95255,win,145.8255000000001,149.12549999999985,5,1571947200000000000,1572019200000000000,H4-long
1021,8205,8391,short,1460.2,1471.13,loss,-112.60000000000063,187.0530000000001,23,1573430400000000000,1574100000000000000,H6-short
1692,9245,9289,long,1490.17,1505.08255,win,145.8255000000001,149.12549999999985,4,1577174400000000000,1577332800000000000,H4-long
1728,9489,9549,long,1546.78,1561.69255,win,145.8255000000001,149.12549999999985,3,1578052800000000000,1578268800000000000,H4-long
1732,9553,9565,long,1577.79,1562.87745,loss,-152.4255000000001,149.12549999999985,3,1578283200000000000,1578326400000000000,H4-long
1744,9601,9609,long,1593.43,1578.51745,loss,-152.4255000000001,149.12549999999985,2,1578456000000000000,1578484800000000000,H4-long
1821,10057,10097,long,1581.1,1566.18745,loss,-152.4255000000001,149.12549999999985,10,1580097600000000000,1580241600000000000,H4-long
1920,10601,10641,long,1601.47,1616.38255,win,145.8255000000001,149.12549999999985,10,1582056000000000000,1582200000000000000,H4-long
1935,10661,10665,long,1628.18,1643.09255,win,145.8255000000001,149.12549999999985,1,1582272000000000000,1582286400000000000,H4-long
1372,11175,11175,short,1534.61,1515.9046999999998,win,183.75300000000078,187.0530000000001,0,1584122400000000000,1584122400000000000,H6-short
1375,11241,11241,short,1526.97,1508.2647,win,183.75300000000078,187.0530000000001,0,1584360000000000000,1584360000000000000,H6-short
1379,11265,11265,short,1470.56,1489.2653,loss,-190.3530000000008,187.0530000000001,0,1584446400000000000,1584446400000000000,H6-short
2286,12665,12685,long,1731.3,1746.21255,win,145.8255000000001,149.12549999999985,5,1589486400000000000,1589558400000000000,H4-long
2294,12745,12757,long,1754.81,1739.89745,loss,-152.4255000000001,149.12549999999985,3,1589774400000000000,1589817600000000000,H4-long
1600,13143,13161,short,1693.69,1712.3953000000001,loss,-190.3530000000008,187.0530000000001,3,1591207200000000000,1591272000000000000,H6-short
1207,13189,13277,short,1687.07,1709.1743,loss,-224.34299999999968,221.04299999999984,5,1591372800000000000,1591689600000000000,H8-short
