signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
91,92,131,long,1241.66,1247.19,win,51.99999999999973,111.35925000000007,39
170,171,183,short,1234.74,1245.875925,loss,-114.65925000000043,111.35925000000007,12
190,191,223,long,1249.4,1266.1038875000002,win,163.73887500000063,111.35925000000007,32
235,236,263,long,1263.72,1280.4238875,win,163.73887500000063,111.35925000000007,27
271,272,298,long,1281.24,1297.9438875,win,163.73887500000063,111.35925000000007,26
410,411,445,short,1278.92,1290.0559250000001,loss,-114.65925000000043,111.35925000000007,34
446,447,474,long,1298.7,1315.4038875,win,163.73887500000063,111.35925000000007,27
480,481,520,long,1316.6,1314.16,loss,-27.699999999998273,111.35925000000007,39
611,612,638,long,1318.58,1335.2838875,win,163.73887500000063,111.35925000000007,26
644,645,664,long,1344.51,1333.374075,loss,-114.65925000000043,111.35925000000007,19
715,716,741,short,1320.75,1304.0461125,win,163.73887500000063,111.35925000000007,25
741,742,749,short,1303.94,1287.2361125,win,163.73887500000063,111.35925000000007,7
754,755,794,short,1285.43,1291.92,loss,-68.20000000000009,111.35925000000007,39
827,828,837,long,1308.44,1297.304075,loss,-114.65925000000043,111.35925000000007,9
883,884,923,long,1312.71,1322.27,win,92.29999999999946,111.35925000000007,39
959,960,999,short,1300.32,1290.74,win,92.49999999999928,111.35925000000007,39
1016,1017,1032,short,1284.27,1295.405925,loss,-114.65925000000043,111.35925000000007,15
1060,1061,1075,long,1305.6,1294.4640749999999,loss,-114.65925000000043,111.35925000000007,14
1107,1108,1147,short,1281.23,1273.51,win,73.90000000000028,111.35925000000007,39
1149,1150,1173,short,1268.1,1279.235925,loss,-114.65925000000043,111.35925000000007,23
1282,1283,1322,long,1286.56,1287.76,win,8.700000000000454,111.35925000000007,39
1331,1332,1371,long,1294.85,1286.4,loss,-87.79999999999818,111.35925000000007,39
1380,1381,1420,short,1278.77,1283.84,loss,-53.99999999999936,111.35925000000007,39
1474,1475,1490,long,1288.26,1304.9638875,win,163.73887500000063,111.35925000000007,15
1502,1503,1526,long,1318.63,1335.3338875000002,win,163.73887500000063,111.35925000000007,23
1530,1531,1534,long,1343.76,1332.624075,loss,-114.65925000000043,111.35925000000007,3
1560,1561,1570,long,1343.9,1332.764075,loss,-114.65925000000043,111.35925000000007,9
1623,1624,1641,long,1345.88,1334.744075,loss,-114.65925000000043,111.35925000000007,17
1680,1681,1683,long,1357.78,1374.4838875,win,163.73887500000063,111.35925000000007,2
1688,1689,1707,long,1383.84,1400.5438875,win,163.73887500000063,111.35925000000007,18
1707,1708,1712,long,1407.48,1396.344075,loss,-114.65925000000043,111.35925000000007,4
1739,1740,1749,long,1409.02,1425.7238875,win,163.73887500000063,111.35925000000007,9
1751,1752,1772,long,1426.34,1415.2040749999999,loss,-114.65925000000043,111.35925000000007,20
1833,1834,1862,short,1396.6,1407.735925,loss,-114.65925000000043,111.35925000000007,28
1865,1866,1876,long,1428.42,1417.284075,loss,-114.65925000000043,111.35925000000007,10
1987,1988,1998,long,1425.59,1442.2938875,win,163.73887500000063,111.35925000000007,10
