entry_bar,exit_bar,outcome,pnl_pip,sl_pip,tp_pip,direction,t_entry,t_exit,src_card
1,22,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1297814400000000000,1298268000000000000,XAUUSD-H6
32,36,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1298484000000000000,1298570400000000000,XAUUSD-H6
54,79,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1298959200000000000,1299499200000000000,XAUUSD-H6
144,162,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1300903200000000000,1301292000000000000,XAUUSD-H6
196,233,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1302026400000000000,1302825600000000000,XAUUSD-H6
236,273,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1302890400000000000,1303689600000000000,XAUUSD-H6
285,292,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1303948800000000000,1304100000000000000,XAUUSD-H6
302,305,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1304316000000000000,1304380800000000000,XAUUSD-H6
432,459,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1307124000000000000,1307707200000000000,XAUUSD-H6
505,511,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1308700800000000000,1308830400000000000,XAUUSD-H6
596,614,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1310666400000000000,1311055200000000000,XAUUSD-H6
637,671,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1311552000000000000,1312286400000000000,XAUUSD-H6
693,697,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1312761600000000000,1312848000000000000,XAUUSD-H6
701,702,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1312934400000000000,1312956000000000000,XAUUSD-H6
729,735,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1313539200000000000,1313668800000000000,XAUUSD-H6
740,749,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1313776800000000000,1313971200000000000,XAUUSD-H6
752,754,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1314036000000000000,1314079200000000000,XAUUSD-H6
808,810,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1315245600000000000,1315288800000000000,XAUUSD-H6
1009,1015,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1319587200000000000,1319716800000000000,XAUUSD-H6
1016,1029,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1319738400000000000,1320019200000000000,XAUUSD-H6
1044,1047,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1320343200000000000,1320408000000000000,XAUUSD-H6
1058,1060,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1320645600000000000,1320688800000000000,XAUUSD-H6
1342,1345,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1326780000000000000,1326844800000000000,XAUUSD-H6
