entry_bar,exit_bar,pnl_pip,outcome,sl_pip,tp_pip,exit_kind,direction
4714,4718,23.700000000000454,win,160.52000000000058,160.52000000000058,0,long
7690,7692,-163.8200000000006,loss,160.52000000000058,160.52000000000058,2,long
7836,7840,40.69999999999864,win,160.52000000000058,160.52000000000058,0,long
7937,7941,-96.30000000000182,loss,160.52000000000058,160.52000000000058,0,long
8020,8024,43.20000000000091,win,160.52000000000058,160.52000000000058,0,long
8209,8213,44.69999999999955,win,160.52000000000058,160.52000000000058,0,long
8488,8492,83.19999999999864,win,160.52000000000058,160.52000000000058,0,long
8587,8591,-9.80000000000091,loss,160.52000000000058,160.52000000000058,0,long
11848,11852,44.2,win,160.52000000000058,160.52000000000058,0,long
13195,13199,36.7,win,160.52000000000058,160.52000000000058,0,long
13261,13265,54.2,win,160.52000000000058,160.52000000000058,0,long
14104,14108,48.20000000000091,win,160.52000000000058,160.52000000000058,0,long
14193,14197,-7.800000000000455,loss,160.52000000000058,160.52000000000058,0,long
14230,14234,35.20000000000137,win,160.52000000000058,160.52000000000058,0,long
14241,14245,-10.300000000000455,loss,160.52000000000058,160.52000000000058,0,long
15188,15192,-17.800000000000455,loss,160.52000000000058,160.52000000000058,0,long
17954,17958,17.199999999999545,win,160.52000000000058,160.52000000000058,0,long
17975,17979,-23.3,loss,160.52000000000058,160.52000000000058,0,long
18047,18051,39.2,win,160.52000000000058,160.52000000000058,0,long
18144,18148,-40.30000000000045,loss,160.52000000000058,160.52000000000058,0,long
19554,19558,8.700000000000454,win,160.52000000000058,160.52000000000058,0,long
19620,19624,3.700000000000455,win,160.52000000000058,160.52000000000058,0,long
19882,19886,29.70000000000182,win,160.52000000000058,160.52000000000058,0,long
19962,19966,-4.29999999999909,loss,160.52000000000058,160.52000000000058,0,long
20729,20733,69.69999999999955,win,160.52000000000058,160.52000000000058,0,long
20910,20914,28.199999999998635,win,160.52000000000058,160.52000000000058,0,long
20980,20984,-27.30000000000091,loss,160.52000000000058,160.52000000000058,0,long
21176,21180,-65.8,loss,160.52000000000058,160.52000000000058,0,long
21269,21273,129.69999999999953,win,160.52000000000058,160.52000000000058,0,long
