entry_bar,exit_bar,pnl_pip,outcome,sl_pip,tp_pip,exit_kind,direction,t_entry,t_exit,src_card
1,5,23.700000000000454,win,160.52000000000058,160.52000000000058,0,long,1300199400000000000,1300203000000000000,XAUUSD-M15
4553,4555,-163.8200000000006,loss,160.52000000000058,160.52000000000058,2,long,1304296200000000000,1304298000000000000,XAUUSD-M15
4569,4577,58.70000000000046,win,307.89599999999876,307.89599999999876,0,long,1304310600000000000,1304317800000000000,XAUUSD-M30
4702,4706,40.69999999999864,win,160.52000000000058,160.52000000000058,0,long,1304430300000000000,1304433900000000000,XAUUSD-M15
4797,4805,38.70000000000046,win,307.89599999999876,307.89599999999876,0,long,1304515800000000000,1304523000000000000,XAUUSD-M30
4806,4810,-96.30000000000182,loss,160.52000000000058,160.52000000000058,0,long,1304523900000000000,1304527500000000000,XAUUSD-M15
4887,4895,56.20000000000046,win,307.89599999999876,307.89599999999876,0,long,1304596800000000000,1304604000000000000,XAUUSD-M30
5280,5284,44.69999999999955,win,160.52000000000058,160.52000000000058,0,long,1304950500000000000,1304954100000000000,XAUUSD-M15
5568,5572,83.19999999999864,win,160.52000000000058,160.52000000000058,0,long,1305209700000000000,1305213300000000000,XAUUSD-M15
5573,5581,-2.3000000000009093,loss,307.89599999999876,307.89599999999876,0,long,1305214200000000000,1305221400000000000,XAUUSD-M30
5670,5674,-9.80000000000091,loss,160.52000000000058,160.52000000000058,0,long,1305301500000000000,1305305100000000000,XAUUSD-M15
11597,11605,90.70000000000091,win,307.89599999999876,307.89599999999876,0,long,1310635800000000000,1310643000000000000,XAUUSD-M30
13566,13570,36.7,win,160.52000000000058,160.52000000000058,0,long,1312407900000000000,1312411500000000000,XAUUSD-M15
13635,13639,54.2,win,160.52000000000058,160.52000000000058,0,long,1312470000000000000,1312473600000000000,XAUUSD-M15
14891,14895,48.20000000000091,win,160.52000000000058,160.52000000000058,0,long,1313600400000000000,1313604000000000000,XAUUSD-M15
14979,14987,34.69999999999955,win,307.89599999999876,307.89599999999876,0,long,1313679600000000000,1313686800000000000,XAUUSD-M30
15023,15027,35.20000000000137,win,160.52000000000058,160.52000000000058,0,long,1313719200000000000,1313722800000000000,XAUUSD-M15
15034,15038,-10.300000000000455,loss,160.52000000000058,160.52000000000058,0,long,1313729100000000000,1313732700000000000,XAUUSD-M15
16397,16401,-17.800000000000455,loss,160.52000000000058,160.52000000000058,0,long,1314955800000000000,1314959400000000000,XAUUSD-M15
20427,20431,17.199999999999545,win,160.52000000000058,160.52000000000058,0,long,1318582800000000000,1318586400000000000,XAUUSD-M15
20448,20452,-23.3,loss,160.52000000000058,160.52000000000058,0,long,1318601700000000000,1318605300000000000,XAUUSD-M15
