signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
476,477,524,long,1374.05,1372.6,loss,-17.800000000000455,295.0,47
747,748,795,long,1385.0,1380.15,loss,-51.79999999999909,295.0,47
1213,1214,1261,long,1369.85,1347.95,loss,-222.29999999999865,295.0,47
2547,2548,2595,long,1362.3,1356.25,loss,-63.79999999999954,295.0,47
4405,4406,4453,long,1429.75,1405.25,loss,-248.3,295.0,47
6611,6612,6659,long,1459.2,1457.35,loss,-21.800000000001365,295.0,47
7042,7043,7090,long,1494.3,1504.3,win,96.7,295.0,47
8249,8250,8297,long,1509.35,1513.85,win,41.7,295.0,47
8528,8529,8576,long,1504.75,1508.55,win,34.69999999999955,295.0,47
8992,8993,9040,long,1496.1,1496.4,loss,-0.29999999999818083,295.0,47
10368,10369,10416,long,1543.45,1540.2,loss,-35.8,295.0,47
10924,10925,10972,long,1538.75,1537.0,loss,-20.8,295.0,47
13576,13577,13624,long,1755.55,1760.4,win,45.20000000000137,295.0,47
17554,17555,17602,long,1645.95,1665.45,win,191.7,295.0,47
17829,17830,17877,long,1678.25,1668.65,loss,-99.29999999999909,295.0,47
22235,22236,22283,long,1597.1,1604.0,win,65.70000000000091,295.0,47
23442,23443,23490,long,1615.46,1635.91,win,201.20000000000044,295.0,47
23713,23714,23761,long,1646.95,1639.58,loss,-77.00000000000118,295.0,47
24195,24196,24243,long,1657.49,1665.81,win,79.89999999999937,295.0,47
25671,25672,25719,long,1727.49,1726.09,loss,-17.30000000000091,295.0,47
26119,26120,26167,long,1734.45,1734.53,loss,-2.5000000000007274,295.0,47
27605,27606,27653,long,1703.43,1686.17,loss,-175.89999999999992,295.0,47
28059,28060,28107,long,1662.81,1643.73,loss,-194.09999999999928,295.0,47
29352,29353,29400,long,1642.39,1643.38,win,6.600000000000091,295.0,47
29631,29632,29679,long,1675.68,1674.73,loss,-12.800000000000455,295.0,47
30111,30112,30159,long,1644.1,1641.53,loss,-28.999999999999364,295.0,47
33602,33603,33650,long,1610.64,1609.15,loss,-18.20000000000009,295.0,47
35393,35394,35441,long,1589.7,1566.3,loss,-237.30000000000092,295.0,47
35664,35665,35712,long,1572.2,1592.36,win,198.29999999999853,295.0,47
36096,36097,36144,long,1582.25,1582.13,loss,-4.499999999998908,295.0,47
37488,37489,37536,long,1617.02,1609.06,loss,-82.90000000000036,295.0,47
37580,37581,37628,long,1620.48,1624.12,win,33.09999999999873,295.0,47
38044,38045,38092,long,1617.33,1614.58,loss,-30.8,295.0,47
39418,39419,39466,long,1734.69,1732.07,loss,-29.500000000001183,295.0,47
39701,39702,39749,long,1732.68,1735.18,win,21.7,295.0,47
40158,40159,40206,long,1771.35,1760.24,loss,-114.399999999999,295.0,47
44112,44113,44160,long,1731.61,1733.98,win,20.40000000000118,295.0,47
45376,45377,45424,long,1703.42,1711.41,win,76.6000000000001,295.0,47
47271,47272,47319,long,1659.8,1677.05,win,169.2,295.0,47
51273,51274,51321,long,1593.94,1596.55,win,22.799999999999,295.0,47
51729,51730,51777,long,1612.65,1607.8,loss,-51.80000000000136,295.0,47
53012,53013,53060,long,1585.26,1579.82,loss,-57.70000000000054,295.0,47
58288,58289,58336,long,1248.53,1256.44,win,75.80000000000082,295.0,47
60499,60500,60547,long,1336.2,1329.23,loss,-73.00000000000027,295.0,47
60959,60960,61007,long,1365.48,1363.34,loss,-24.700000000001,295.0,47
62329,62330,62377,long,1387.0,1371.45,loss,-158.79999999999956,295.0,47
63067,63068,63115,long,1367.67,1358.37,loss,-96.30000000000182,295.0,47
68293,68294,68341,long,1238.59,1248.04,win,91.20000000000046,295.0,47
70135,70136,70183,long,1228.3,1234.4,win,57.70000000000137,295.0,47
70219,70220,70267,long,1248.44,1246.16,loss,-26.099999999999728,295.0,47
70676,70677,70724,long,1258.8,1254.59,loss,-45.40000000000036,295.0,47
72041,72042,72089,long,1269.08,1272.43,win,30.200000000001364,295.0,47
72317,72318,72365,long,1290.35,1291.91,win,12.300000000001727,295.0,47
74145,74146,74193,long,1366.02,1369.21,win,28.600000000000545,295.0,47
75981,75982,76029,long,1312.26,1322.71,win,101.20000000000046,295.0,47
78005,78006,78053,long,1295.76,1292.61,loss,-34.80000000000091,295.0,47
79841,79842,79889,long,1253.74,1261.18,win,71.10000000000055,295.0,47
80105,80106,80153,long,1273.19,1273.07,loss,-4.500000000001182,295.0,47
80565,80566,80613,long,1321.79,1310.74,loss,-113.79999999999954,295.0,47
81837,81838,81885,long,1327.59,1341.36,win,134.3999999999998,295.0,47
84077,84078,84125,long,1310.5,1312.3,win,14.699999999999545,295.0,47
87893,87894,87941,long,1223.96,1222.67,loss,-16.199999999999637,295.0,47
87985,87986,88033,long,1227.77,1227.51,loss,-5.899999999999909,295.0,47
88477,88478,88525,long,1238.01,1244.55,win,62.09999999999964,295.0,47
89825,89826,89873,long,1173.67,1171.13,loss,-28.699999999999637,295.0,47
90117,90118,90165,long,1161.37,1162.18,win,4.800000000001728,295.0,47
90597,90598,90645,long,1187.89,1195.0,win,67.799999999999,295.0,47
91820,91821,91868,long,1230.08,1227.91,loss,-24.999999999998455,295.0,47
93748,93749,93796,long,1232.6,1239.27,win,63.40000000000073,295.0,47
94192,94193,94240,long,1275.67,1290.19,win,141.8999999999998,295.0,47
95864,95865,95912,long,1227.01,1233.97,win,66.30000000000037,295.0,47
97684,97685,97732,long,1157.66,1156.99,loss,-10.000000000000728,295.0,47
98136,98137,98184,long,1171.26,1172.75,win,11.60000000000009,295.0,47
99464,99465,99512,long,1201.76,1207.39,win,53.000000000001094,295.0,47
99512,99513,99560,long,1207.25,1198.6,loss,-89.8000000000009,295.0,47
99972,99973,100020,long,1205.3,1204.19,loss,-14.399999999999,295.0,47
101536,101537,101584,long,1192.98,1194.52,win,12.099999999999635,295.0,47
103359,103360,103407,long,1176.85,1188.94,win,117.60000000000146,295.0,47
105386,105387,105434,long,1161.56,1161.19,loss,-6.999999999998908,295.0,47
105458,105459,105506,long,1162.71,1156.13,loss,-69.09999999999927,295.0,47
107298,107299,107346,long,1092.45,1094.35,win,15.699999999998635,295.0,47
107574,107575,107622,long,1125.14,1117.48,loss,-79.90000000000082,295.0,47
108034,108035,108082,long,1133.93,1139.25,win,49.899999999999366,295.0,47
111515,111516,111563,long,1163.29,1154.96,loss,-86.59999999999927,295.0,47
112011,112012,112059,long,1174.87,1176.96,win,17.600000000001454,295.0,47
114086,114087,114134,long,1081.71,1085.85,win,38.09999999999873,295.0,47
115358,115359,115406,long,1075.44,1071.71,loss,-40.60000000000018,295.0,47
117775,117776,117823,long,1088.85,1095.85,win,66.7,295.0,47
119145,119146,119193,long,1188.95,1183.46,loss,-58.20000000000009,295.0,47
123149,123150,123197,long,1256.07,1242.78,loss,-136.19999999999965,295.0,47
123600,123601,123648,long,1250.24,1248.68,loss,-18.899999999999455,295.0,47
125168,125169,125216,long,1271.43,1272.82,win,10.599999999998726,295.0,47
126955,126956,127003,long,1269.3,1268.67,loss,-9.599999999998818,295.0,47
127047,127048,127095,long,1275.66,1283.42,win,74.29999999999991,295.0,47
127511,127512,127559,long,1291.79,1278.18,loss,-139.399999999999,295.0,47
129515,129516,129563,long,1331.68,1325.5,loss,-65.10000000000063,295.0,47
130895,130896,130943,long,1340.34,1352.85,win,121.79999999999991,295.0,47
133102,133103,133150,long,1331.51,1324.57,loss,-72.70000000000054,295.0,47
133562,133563,133610,long,1315.48,1313.87,loss,-19.400000000001274,295.0,47
134806,134807,134854,long,1261.07,1261.38,loss,-0.19999999999827178,295.0,47
135090,135091,135138,long,1257.78,1257.13,loss,-9.799999999998636,295.0,47
135526,135527,135574,long,1269.23,1269.75,win,1.8999999999998183,295.0,47
136945,136946,136976,long,1290.62,1261.12,loss,-298.3,295.0,30
138992,138993,139040,long,1163.27,1157.95,loss,-56.49999999999936,295.0,47
139464,139465,139512,long,1138.54,1128.59,loss,-102.80000000000045,295.0,47
140645,140646,140693,long,1182.0,1184.78,win,24.499999999999726,295.0,47
140925,140926,140973,long,1194.53,1197.49,win,26.300000000000363,295.0,47
141371,141372,141419,long,1205.9,1200.88,loss,-53.499999999999815,295.0,47
142835,142836,142883,long,1231.63,1230.79,loss,-11.700000000001456,295.0,47
143339,143340,143387,long,1236.34,1233.06,loss,-36.099999999999724,295.0,47
144663,144664,144711,long,1205.88,1208.08,win,18.69999999999818,295.0,47
145123,145124,145171,long,1230.39,1232.24,win,15.19999999999909,295.0,47
146775,146776,146823,long,1286.36,1288.02,win,13.300000000000818,295.0,47
152068,152069,152116,long,1221.46,1220.25,loss,-15.400000000000365,295.0,47
152496,152497,152544,long,1241.18,1237.16,loss,-43.499999999999815,295.0,47
153522,153523,153570,long,1276.89,1285.87,win,86.49999999999791,295.0,47
155592,155593,155640,long,1312.44,1311.59,loss,-11.800000000001365,295.0,47
156346,156347,156394,long,1283.3,1290.43,win,68.0000000000011,295.0,47
156608,156609,156656,long,1293.91,1294.06,loss,-1.800000000001364,295.0,47
157067,157068,157115,long,1290.27,1280.65,loss,-99.4999999999989,295.0,47
158443,158444,158491,long,1285.73,1284.11,loss,-19.500000000001183,295.0,47
158995,158996,159043,long,1292.64,1291.73,loss,-12.40000000000082,295.0,47
160990,160991,161038,long,1261.6,1265.55,win,36.20000000000046,295.0,47
162162,162163,162210,long,1314.85,1317.56,win,23.800000000000363,295.0,47
164313,164314,164361,long,1324.05,1329.04,win,46.600000000000094,295.0,47
166140,166141,166188,long,1324.43,1318.74,loss,-60.20000000000054,295.0,47
166600,166601,166648,long,1317.57,1312.87,loss,-50.30000000000045,295.0,47
167884,167885,167932,long,1336.68,1335.59,loss,-14.200000000001456,295.0,47
169908,169909,169956,long,1312.58,1315.09,win,21.79999999999991,295.0,47
173834,173835,173882,long,1258.27,1248.38,loss,-102.19999999999872,295.0,47
174606,174607,174654,long,1224.49,1230.96,win,61.400000000000276,295.0,47
176034,176035,176082,long,1212.66,1201.53,loss,-114.60000000000109,295.0,47
176490,176491,176538,long,1183.08,1187.95,win,45.400000000001185,295.0,47
178118,178119,178166,long,1206.34,1205.27,loss,-13.999999999999364,295.0,47
178574,178575,178622,long,1203.54,1202.62,loss,-12.500000000000728,295.0,47
182498,182499,182546,long,1223.67,1222.68,loss,-13.200000000000092,295.0,47
183749,183750,183797,long,1249.56,1247.04,loss,-28.49999999999982,295.0,47
184025,184026,184073,long,1245.81,1242.36,loss,-37.80000000000045,295.0,47
184513,184514,184561,long,1247.05,1265.7,win,183.2000000000009,295.0,47
185645,185646,185693,long,1292.86,1293.24,win,0.5000000000010916,295.0,47
187817,187818,187865,long,1311.26,1310.74,loss,-8.499999999999819,295.0,47
