signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
320,321,368,short,1357.6,1337.55,win,197.19999999999953,581.8,47
497,498,545,short,1336.2,1329.05,win,68.20000000000091,581.8,47
554,555,602,long,1351.15,1350.35,loss,-11.30000000000182,581.8,47
831,832,879,long,1402.2,1407.85,win,53.19999999999864,581.8,47
945,946,993,short,1411.25,1429.55,loss,-186.29999999999956,581.8,47
1114,1115,1162,long,1433.7,1406.1,loss,-279.3000000000014,581.8,47
1327,1328,1375,short,1423.9,1442.05,loss,-184.79999999999865,581.8,47
1910,1911,1958,long,1506.1,1536.0,win,295.7000000000009,581.8,47
1972,1973,2020,long,1536.65,1538.65,win,16.7,581.8,47
2048,2049,2096,short,1519.5,1489.5,win,296.7,581.8,47
2282,2283,2330,short,1491.8,1495.25,loss,-37.80000000000045,581.8,47
2334,2335,2382,long,1509.5,1520.9,win,110.70000000000091,581.8,47
2495,2496,2543,long,1538.1,1536.0,loss,-24.29999999999909,581.8,47
2994,2995,3042,short,1503.8,1483.35,win,201.20000000000044,581.8,47
3148,3149,3196,short,1587.5,1594.35,loss,-71.79999999999909,581.8,47
3295,3296,3343,short,1607.65,1629.6,loss,-222.7999999999982,581.8,47
4078,4079,4126,long,1828.5,1780.5,loss,-483.3,581.8,47
4239,4240,4264,short,1751.6,1693.4199999999998,win,578.5000000000007,581.8,24
4504,4505,4552,short,1646.25,1665.35,loss,-194.2999999999991,581.8,47
4831,4832,4879,short,1715.0,1717.8,loss,-31.299999999999546,581.8,47
4935,4936,4983,short,1730.95,1757.2,loss,-265.8,581.8,47
5106,5107,5154,long,1795.05,1778.4,loss,-169.79999999999865,581.8,47
5282,5283,5330,short,1696.35,1679.45,win,165.69999999999862,581.8,47
5338,5339,5386,long,1699.4,1720.6,win,208.69999999999817,581.8,47
5498,5499,5546,long,1724.65,1709.0,loss,-159.80000000000092,581.8,47
5697,5698,5745,short,1587.25,1628.8,loss,-418.79999999999956,581.8,47
5771,5772,5819,long,1614.86,1597.83,loss,-173.59999999999974,581.8,47
5866,5867,5914,short,1534.97,1593.15,loss,-585.1000000000006,581.8,47
5914,5915,5962,long,1595.12,1609.26,win,138.100000000001,581.8,47
5991,5992,6039,short,1617.92,1632.28,loss,-146.899999999999,581.8,47
6200,6201,6248,short,1657.43,1673.3,loss,-161.99999999999892,581.8,47
6393,6394,6441,short,1728.88,1758.43,loss,-298.79999999999956,581.8,47
6980,6981,7028,short,1668.84,1692.1,loss,-235.89999999999992,581.8,47
7419,7420,7467,short,1666.21,1637.95,win,279.2999999999999,581.8,47
8042,8043,8090,long,1593.62,1586.25,loss,-76.9999999999989,581.8,47
8278,8279,8326,short,1541.53,1562.19,loss,-209.90000000000083,581.8,47
8443,8444,8491,long,1613.95,1618.93,win,46.500000000000185,581.8,47
8586,8587,8634,long,1592.77,1614.82,win,217.19999999999953,581.8,47
8794,8795,8842,long,1570.22,1584.14,win,135.90000000000072,581.8,47
