pnl_pip,outcome,sl_pip,tp_pip,entry_bar,exit_bar,direction
519.4064999999994,win,348.4709999999999,522.7064999999999,418,427,long
520.574249999999,win,349.2494999999998,523.8742499999997,429,435,long
-354.97349999999943,loss,351.6735000000001,527.5102500000002,443,453,long
425.8650000000004,win,286.11000000000024,429.1650000000004,812,815,long
-283.6334999999993,loss,280.3335,420.50025000000005,1032,1040,long
344.4262500000006,win,231.81750000000025,347.7262500000004,1306,1307,long
-235.83300000000082,loss,232.53300000000024,348.79950000000036,1308,1309,long
-260.3835000000011,loss,257.0835000000003,385.6252500000005,1323,1327,long
-291.59099999999927,loss,288.2910000000001,432.43650000000014,1364,1369,long
477.9502500000005,win,320.8334999999998,481.2502499999997,1405,1411,long
320.2027500000001,win,215.66850000000002,323.50275,1604,1610,long
-194.1705000000009,loss,190.8704999999998,286.3057499999997,1649,1650,long
247.35675000000055,win,167.10449999999975,250.65674999999962,1698,1704,long
-170.75999999999868,loss,167.45999999999975,251.18999999999963,1709,1710,long
-184.1265000000006,loss,180.8265000000002,271.2397500000003,1801,1803,long
-193.53300000000064,loss,190.2330000000002,285.34950000000026,1817,1819,long
265.83150000000086,win,179.42099999999982,269.13149999999973,2024,2035,long
259.96575000000047,win,175.51049999999978,263.2657499999997,2037,2042,long
257.4255000000009,win,173.81699999999995,260.7254999999999,2049,2062,long
-170.166,loss,166.86600000000016,250.29900000000026,2076,2084,long
252.35399999999953,win,170.43600000000004,255.65400000000005,2159,2162,long
-200.19750000000005,loss,196.89749999999995,295.34624999999994,2172,2173,long
-215.57100000000065,loss,212.271,318.4065,2183,2183,long
-222.18750000000074,loss,218.88749999999996,328.33124999999995,2191,2192,long
336.227250000001,win,226.3515,339.52725,2194,2195,long
-251.39700000000022,loss,248.09700000000007,372.1455000000001,2203,2204,long
-259.57950000000056,loss,256.2794999999999,384.41924999999986,2210,2219,long
386.4810000000004,win,259.85399999999987,389.78099999999984,2303,2304,long
-258.6015000000005,loss,255.30149999999998,382.95225,2318,2323,long
353.3249999999991,win,237.74999999999983,356.6249999999998,2333,2335,long
-271.5120000000009,loss,268.2119999999999,402.3179999999998,2348,2348,long
-412.15050000000093,loss,408.8504999999998,613.2757499999997,2372,2377,long
-445.6485000000005,loss,442.34849999999983,663.5227499999997,2381,2385,long
-473.99099999999936,loss,470.6909999999999,706.0364999999998,2395,2410,long
750.1867499999996,win,502.3245000000001,753.4867500000001,2422,2442,long
723.0022500000011,win,484.2015000000002,726.3022500000002,2451,2454,long
-400.5225000000003,loss,397.2224999999999,595.8337499999999,2655,2675,long
-325.02600000000103,loss,321.726,482.589,2781,2788,long
468.5970000000013,win,314.59800000000007,471.89700000000016,2851,2855,long
491.092499999999,win,329.5949999999999,494.39249999999987,2859,2862,long
542.2057499999999,win,363.6704999999998,545.5057499999996,3061,3077,long
554.5582499999994,win,371.90549999999985,557.8582499999998,3081,3085,long
-380.18249999999927,loss,376.88249999999994,565.3237499999999,3090,3099,long
-378.6404999999998,loss,375.3404999999998,563.0107499999997,3131,3131,long
576.1312500000001,win,386.2874999999998,579.4312499999997,3135,3147,long
-389.9069999999991,loss,386.6069999999998,579.9104999999997,3148,3148,long
-410.2589999999994,loss,406.95899999999983,610.4384999999997,3163,3163,long
-292.4730000000007,loss,289.173,433.7595,3284,3297,long
436.3522499999992,win,293.10150000000004,439.65225000000004,3309,3311,long
-330.23849999999885,loss,326.9384999999998,490.40774999999974,3329,3337,long
543.1912499999992,win,364.32749999999976,546.4912499999997,3378,3381,long
553.8315000000005,win,371.4209999999997,557.1314999999995,3396,3398,long
572.9317500000018,win,384.15449999999964,576.2317499999995,3402,3405,long
-417.1034999999991,loss,413.8034999999997,620.7052499999995,3408,3411,long
-444.2220000000005,loss,440.9219999999998,661.3829999999997,3431,3434,long
-516.1665,loss,512.8664999999997,769.2997499999997,3473,3475,long
450.5999999999987,win,556.2284999999998,834.3427499999998,3493,3513,long
771.8227500000005,win,516.7485,775.1227500000001,3515,3522,long
754.6665000000023,win,505.31100000000015,757.9665000000002,3539,3543,long
-495.9299999999992,loss,492.63000000000017,738.9450000000002,3547,3553,long
774.5564999999981,win,518.571,777.8565,3614,3616,long
787.5277499999986,win,527.2185,790.8277499999999,3619,3620,long
-536.0685000000019,loss,532.7684999999999,799.1527499999999,3623,3632,long
842.2792500000007,win,563.7194999999998,845.5792499999998,3643,3653,long
-570.6270000000002,loss,567.3269999999998,850.9904999999998,3654,3658,long
910.2742500000015,win,609.0495,913.57425,3664,3666,long
-882.6735000000015,loss,879.3734999999998,1319.0602499999995,3708,3710,long
-905.2349999999985,loss,901.935,1352.9025000000001,3735,3737,long
1318.6132499999978,win,881.2754999999999,1321.9132499999996,3762,3765,long
1278.5227500000012,win,854.5484999999999,1281.82275,3768,3778,long
1182.6209999999985,win,790.6139999999999,1185.9209999999998,3779,3784,long
1100.60175,win,735.9345000000002,1103.9017500000002,3789,3793,long
1117.902000000003,win,747.4680000000001,1121.202,3794,3796,long
-799.0574999999997,loss,795.7575000000004,1193.6362500000007,3799,3799,long
1542.314999999998,win,1030.41,1545.6150000000002,3838,3844,long
1739.3789999999983,win,1161.7860000000003,1742.6790000000005,3857,3863,long
-1828.3904999999966,loss,1825.0905,2737.63575,3891,3892,long
