signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
396,397,397,long,1615.53,1622.61,win,67.49999999999928,243.0567077416985,0
397,398,398,long,1622.31,1621.5,loss,-11.399999999999455,239.89686451590336,0
414,415,415,long,1637.7,1653.87,win,158.39999999999844,201.89358651768984,0
1130,1131,1131,short,1170.58,1173.99,loss,-37.400000000000816,148.56313354599635,0
1842,1843,1843,long,1347.85,1353.44,win,52.60000000000146,140.4382640461867,0
1843,1844,1844,long,1353.65,1344.59,loss,-93.90000000000173,139.66025147255868,0
1865,1866,1866,short,1317.23,1322.91,loss,-60.100000000000634,139.07814495191175,0
1867,1868,1868,short,1315.55,1304.0,win,112.19999999999955,137.61509746205155,0
1868,1869,1869,short,1304.46,1304.92,loss,-7.900000000000364,138.00485472576332,0
3226,3227,3227,short,1933.67,1933.96,loss,-6.199999999999636,211.18481846750328,0
3231,3232,3232,short,1914.63,1912.2,win,21.000000000000636,201.14171329161806,0
3232,3233,3233,short,1911.76,1913.42,loss,-19.90000000000082,200.1302031348743,0
