signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
247,248,248,short,1622.86,1623.048083270674,loss,-5.1808327067404205,1.8808327067406978,0
736,737,740,long,1625.37,1626.4913425087564,win,7.913425087564701,6.930423416294949,3
1884,1885,1896,long,1640.17,1640.5602965995056,win,0.6029659950551833,2.4122163133841257,11
4397,4398,4401,long,1657.59,1657.442504443241,loss,-4.774955567589404,1.4749555675898451,3
5135,5136,5138,short,1658.37,1657.665611010649,win,3.7438898935094587,4.353454816755042,2
5592,5593,5595,short,1656.36,1656.701243966346,loss,-6.712439663461555,3.4124396634604808,2
5763,5764,5764,short,1658.55,1658.7734418198495,loss,-5.534418198495405,2.2344181984945375,0
5768,5769,5770,short,1658.25,1658.4669353606873,loss,-5.469353606873301,2.1693536068726385,1
6765,6766,6768,long,1674.1,1673.4904842174262,loss,-9.395157825736806,6.095157825736922,2
6783,6784,6785,short,1673.32,1673.8965702827043,loss,-9.065702827043243,5.7657028270432,1
7296,7297,7297,long,1675.67,1676.0239834006627,win,0.23983400662627918,2.1877836876560024,0
8771,8772,8773,short,1651.2,1651.4293858639712,loss,-5.593858639711743,2.2938586397106917,1
8783,8784,8794,short,1651.05,1651.2592096218266,loss,-5.392096218266306,2.0920962182654357,10
9164,9165,9165,long,1646.9,1647.670839337572,win,4.408393375719425,4.7641491815318595,0
9335,9336,9337,long,1648.21,1647.633126236339,loss,-9.068737636610695,5.768737636611134,1
9731,9732,9747,long,1650.99,1651.853583629588,win,5.335836295879926,5.337352469641887,15
10253,10254,10257,short,1649.29,1649.407091112678,loss,-4.470911126780538,1.1709111267795986,3
10561,10562,10565,short,1651.65,1652.091654300443,loss,-7.716543004429059,4.416543004428625,3
10573,10574,10577,long,1653.09,1652.6837642967487,loss,-7.362357032512409,4.062357032511279,3
10980,10981,10993,long,1652.44,1651.8261907421472,loss,-9.438092578528359,6.138092578528658,12
11097,11098,11107,long,1650.96,1651.6016667339902,win,3.1166673399017784,3.9658018169969487,9
11172,11173,11173,long,1650.71,1650.4435330691774,loss,-5.964669308226166,2.664669308225306,0
11183,11184,11202,short,1650.28,1649.9255425897288,win,0.24457410271152202,2.1907132896853767,18
12003,12004,12008,short,1646.32,1645.7646829242244,win,2.253170757755197,3.4321203694412787,4
13352,13353,13358,long,1642.84,1642.2972152760783,loss,-8.727847239216135,5.427847239217094,5
13730,13731,13731,short,1644.95,1643.929143054764,win,6.908569452361189,6.309375434091825,0
13883,13884,13885,short,1638.65,1639.190393043606,loss,-8.703930436059455,5.4039304360600555,1
13887,13888,13889,long,1640.18,1639.6471678622747,loss,-8.62832137725336,5.328321377253255,1
13951,13952,13960,long,1641.09,1640.7045537677218,loss,-7.154462322781273,3.8544623227805928,8
13962,13963,13963,long,1641.59,1641.2278815595362,loss,-6.921184404637461,3.621184404637378,0
